Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 40 mg/ml  Code: tmp
Parent(s): /Users/admin/Dropbox/research/data/SAXS/ESRF-2016/XX35EtOH2040/ednaSub/XX35EtOH_085_sub.dat
  4.892800e-03   1.246860e+04   2.387040e+01
  5.363920e-03   1.008430e+04   2.026820e+01
  5.835050e-03   8.401550e+03   1.741170e+01
  6.306170e-03   7.101880e+03   1.505870e+01
  6.777300e-03   6.090440e+03   1.340710e+01
  7.248430e-03   5.365910e+03   1.210820e+01
  7.719550e-03   4.789980e+03   1.106530e+01
  8.190680e-03   4.325110e+03   1.014280e+01
  8.661800e-03   3.955030e+03   9.412940e+00
  9.132930e-03   3.673990e+03   8.829900e+00
  9.604050e-03   3.458860e+03   8.353250e+00
  1.007520e-02   3.287160e+03   7.933580e+00
  1.054630e-02   3.150780e+03   7.574930e+00
  1.101740e-02   3.061550e+03   7.302940e+00
  1.148860e-02   2.985720e+03   7.059650e+00
  1.195970e-02   2.958660e+03   6.872130e+00
  1.243080e-02   2.934060e+03   6.696700e+00
  1.290190e-02   2.939460e+03   6.578510e+00
  1.337310e-02   2.957920e+03   6.481410e+00
  1.384420e-02   2.987830e+03   6.395040e+00
  1.431530e-02   3.041550e+03   6.328350e+00
  1.478640e-02   3.098710e+03   6.285800e+00
  1.525760e-02   3.175350e+03   6.263950e+00
  1.572870e-02   3.255810e+03   6.245350e+00
  1.619980e-02   3.352080e+03   6.226360e+00
  1.667090e-02   3.445360e+03   6.224000e+00
  1.714210e-02   3.548360e+03   6.227580e+00
  1.761320e-02   3.646710e+03   6.222730e+00
  1.808430e-02   3.748110e+03   6.211050e+00
  1.855540e-02   3.856380e+03   6.224840e+00
  1.902660e-02   3.955560e+03   6.229070e+00
  1.949770e-02   4.041520e+03   6.220390e+00
  1.996880e-02   4.109440e+03   6.187350e+00
  2.043990e-02   4.170450e+03   6.158730e+00
  2.091110e-02   4.229910e+03   6.133230e+00
  2.138220e-02   4.275510e+03   6.098590e+00
  2.185330e-02   4.294740e+03   6.039390e+00
  2.232450e-02   4.307780e+03   5.979870e+00
  2.279560e-02   4.306010e+03   5.917810e+00
  2.326670e-02   4.296210e+03   5.851850e+00
  2.373780e-02   4.270580e+03   5.772320e+00
  2.420900e-02   4.235590e+03   5.686920e+00
