ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"21.05.2007"
Time :	"17:47:17"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     293.50313
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      69.99800
Duration [s]    :	        90
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     407.99548
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  7.28594E-001
  2.50000E-004	  8.47338E-001
  3.75000E-004	  8.46952E-001
  5.00000E-004	  8.44083E-001
  6.25000E-004	  8.43154E-001
  7.50000E-004	  8.40485E-001
  8.75000E-004	  8.38028E-001
  1.00000E-003	  8.36642E-001
  1.12500E-003	  8.34920E-001
  1.25000E-003	  8.32012E-001
  1.37500E-003	  8.28528E-001
  1.50000E-003	  8.27478E-001
  1.62500E-003	  8.25143E-001
  1.75000E-003	  8.22321E-001
  1.87500E-003	  8.20028E-001
  2.00000E-003	  8.17241E-001
  2.25000E-003	  8.13168E-001
  2.50000E-003	  8.07172E-001
  2.75000E-003	  8.02101E-001
  3.00000E-003	  7.98765E-001
  3.25000E-003	  7.94691E-001
  3.50000E-003	  7.89401E-001
  3.75000E-003	  7.86063E-001
  4.00000E-003	  7.81923E-001
  4.50000E-003	  7.73020E-001
  5.00000E-003	  7.64779E-001
  5.50000E-003	  7.56293E-001
  6.00000E-003	  7.47792E-001
  6.50000E-003	  7.40311E-001
  7.00000E-003	  7.33203E-001
  7.50000E-003	  7.24820E-001
  8.00000E-003	  7.18269E-001
  9.00000E-003	  7.03002E-001
  1.00000E-002	  6.88189E-001
  1.10000E-002	  6.74649E-001
  1.20000E-002	  6.60778E-001
  1.30000E-002	  6.47869E-001
  1.40000E-002	  6.34449E-001
  1.50000E-002	  6.22864E-001
  1.60000E-002	  6.10942E-001
  1.80000E-002	  5.88422E-001
  2.00000E-002	  5.66746E-001
  2.20000E-002	  5.46697E-001
  2.40000E-002	  5.27375E-001
  2.60000E-002	  5.09811E-001
  2.80000E-002	  4.92850E-001
  3.00000E-002	  4.76728E-001
  3.20000E-002	  4.61990E-001
  3.60000E-002	  4.34244E-001
  4.00000E-002	  4.09309E-001
  4.40000E-002	  3.87384E-001
  4.80000E-002	  3.67223E-001
  5.20000E-002	  3.49235E-001
  5.60000E-002	  3.33143E-001
  6.00000E-002	  3.18463E-001
  6.40000E-002	  3.05492E-001
  7.20000E-002	  2.82486E-001
  8.00000E-002	  2.63437E-001
  8.80000E-002	  2.47982E-001
  9.60000E-002	  2.34932E-001
  1.04000E-001	  2.24473E-001
  1.12000E-001	  2.15163E-001
  1.20000E-001	  2.07613E-001
  1.28000E-001	  2.01033E-001
  1.44000E-001	  1.90252E-001
  1.60000E-001	  1.82092E-001
  1.76000E-001	  1.75810E-001
  1.92000E-001	  1.70575E-001
  2.08000E-001	  1.66399E-001
  2.24000E-001	  1.62606E-001
  2.40000E-001	  1.59473E-001
  2.56000E-001	  1.56674E-001
  2.88000E-001	  1.51709E-001
  3.20000E-001	  1.47625E-001
  3.52000E-001	  1.43874E-001
  3.84000E-001	  1.40649E-001
  4.16000E-001	  1.37528E-001
  4.48000E-001	  1.35055E-001
  4.80000E-001	  1.33109E-001
  5.12000E-001	  1.30674E-001
  5.76000E-001	  1.25602E-001
  6.40000E-001	  1.20798E-001
  7.04000E-001	  1.16945E-001
  7.68000E-001	  1.12981E-001
  8.32000E-001	  1.09103E-001
  8.96000E-001	  1.06344E-001
  9.60000E-001	  1.04056E-001
  1.02400E+000	  1.00757E-001
  1.15200E+000	  9.58588E-002
  1.28000E+000	  9.13465E-002
  1.40800E+000	  8.74031E-002
  1.53600E+000	  8.41219E-002
  1.66400E+000	  8.10736E-002
  1.79200E+000	  7.87343E-002
  1.92000E+000	  7.58352E-002
  2.01600E+000	  7.42824E-002
  2.27200E+000	  7.11292E-002
