ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"04.12.2007"
Time :	"17:07:34"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      15.00100
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     455.51379
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  6.95466E-001
  2.50000E-004	  8.17694E-001
  3.75000E-004	  8.18175E-001
  5.00000E-004	  8.18690E-001
  6.25000E-004	  8.18423E-001
  7.50000E-004	  8.17840E-001
  8.75000E-004	  8.16374E-001
  1.00000E-003	  8.19724E-001
  1.12500E-003	  8.19568E-001
  1.25000E-003	  8.18668E-001
  1.37500E-003	  8.19738E-001
  1.50000E-003	  8.18272E-001
  1.62500E-003	  8.17562E-001
  1.75000E-003	  8.18081E-001
  1.87500E-003	  8.16261E-001
  2.00000E-003	  8.16977E-001
  2.25000E-003	  8.16678E-001
  2.50000E-003	  8.17698E-001
  2.75000E-003	  8.17659E-001
  3.00000E-003	  8.18599E-001
  3.25000E-003	  8.18188E-001
  3.50000E-003	  8.19186E-001
  3.75000E-003	  8.19194E-001
  4.00000E-003	  8.18065E-001
  4.50000E-003	  8.17991E-001
  5.00000E-003	  8.17635E-001
  5.50000E-003	  8.18544E-001
  6.00000E-003	  8.17643E-001
  6.50000E-003	  8.18778E-001
  7.00000E-003	  8.18712E-001
  7.50000E-003	  8.18285E-001
  8.00000E-003	  8.17812E-001
  9.00000E-003	  8.18186E-001
  1.00000E-002	  8.18551E-001
  1.10000E-002	  8.17748E-001
  1.20000E-002	  8.17910E-001
  1.30000E-002	  8.17977E-001
  1.40000E-002	  8.17711E-001
  1.50000E-002	  8.17744E-001
  1.60000E-002	  8.17525E-001
  1.80000E-002	  8.17428E-001
  2.00000E-002	  8.17365E-001
  2.20000E-002	  8.17404E-001
  2.40000E-002	  8.17424E-001
  2.60000E-002	  8.17345E-001
  2.80000E-002	  8.17332E-001
  3.00000E-002	  8.17861E-001
  3.20000E-002	  8.17311E-001
  3.60000E-002	  8.17034E-001
  4.00000E-002	  8.16838E-001
  4.40000E-002	  8.16405E-001
  4.80000E-002	  8.16292E-001
  5.20000E-002	  8.16209E-001
  5.60000E-002	  8.15949E-001
  6.00000E-002	  8.15794E-001
  6.40000E-002	  8.15502E-001
  7.20000E-002	  8.14859E-001
  8.00000E-002	  8.14703E-001
  8.80000E-002	  8.14331E-001
  9.60000E-002	  8.13963E-001
  1.04000E-001	  8.13417E-001
  1.12000E-001	  8.12908E-001
  1.20000E-001	  8.12569E-001
  1.28000E-001	  8.12203E-001
  1.44000E-001	  8.11062E-001
  1.60000E-001	  8.10247E-001
