ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"04.12.2007"
Time :	"16:47:21"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      50.00100
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     344.97168
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  7.37567E-001
  2.50000E-004	  8.60458E-001
  3.75000E-004	  8.60777E-001
  5.00000E-004	  8.61749E-001
  6.25000E-004	  8.60406E-001
  7.50000E-004	  8.59703E-001
  8.75000E-004	  8.61239E-001
  1.00000E-003	  8.60177E-001
  1.12500E-003	  8.61048E-001
  1.25000E-003	  8.59109E-001
  1.37500E-003	  8.60630E-001
  1.50000E-003	  8.60356E-001
  1.62500E-003	  8.60540E-001
  1.75000E-003	  8.60399E-001
  1.87500E-003	  8.59040E-001
  2.00000E-003	  8.59531E-001
  2.25000E-003	  8.58251E-001
  2.50000E-003	  8.59444E-001
  2.75000E-003	  8.57876E-001
  3.00000E-003	  8.57416E-001
  3.25000E-003	  8.58199E-001
  3.50000E-003	  8.58903E-001
  3.75000E-003	  8.60053E-001
  4.00000E-003	  8.58022E-001
  4.50000E-003	  8.57952E-001
  5.00000E-003	  8.57394E-001
  5.50000E-003	  8.57796E-001
  6.00000E-003	  8.57704E-001
  6.50000E-003	  8.56579E-001
  7.00000E-003	  8.57204E-001
  7.50000E-003	  8.55577E-001
  8.00000E-003	  8.55350E-001
  9.00000E-003	  8.54520E-001
  1.00000E-002	  8.53346E-001
  1.10000E-002	  8.52906E-001
  1.20000E-002	  8.52365E-001
  1.30000E-002	  8.52040E-001
  1.40000E-002	  8.51659E-001
  1.50000E-002	  8.50424E-001
  1.60000E-002	  8.49873E-001
  1.80000E-002	  8.48388E-001
  2.00000E-002	  8.47452E-001
  2.20000E-002	  8.45507E-001
  2.40000E-002	  8.43628E-001
  2.60000E-002	  8.42584E-001
  2.80000E-002	  8.41531E-001
  3.00000E-002	  8.39549E-001
  3.20000E-002	  8.38450E-001
  3.60000E-002	  8.35267E-001
  4.00000E-002	  8.32941E-001
  4.40000E-002	  8.29868E-001
  4.80000E-002	  8.27254E-001
  5.20000E-002	  8.24588E-001
  5.60000E-002	  8.22054E-001
  6.00000E-002	  8.18886E-001
  6.40000E-002	  8.16220E-001
  7.20000E-002	  8.10388E-001
  8.00000E-002	  8.04843E-001
  8.80000E-002	  7.99450E-001
  9.60000E-002	  7.94186E-001
  1.04000E-001	  7.88754E-001
  1.12000E-001	  7.83463E-001
  1.20000E-001	  7.78021E-001
  1.28000E-001	  7.72665E-001
  1.44000E-001	  7.62416E-001
  1.60000E-001	  7.52073E-001
  1.76000E-001	  7.42020E-001
  1.92000E-001	  7.32197E-001
  2.08000E-001	  7.22263E-001
  2.24000E-001	  7.12663E-001
  2.40000E-001	  7.03258E-001
  2.56000E-001	  6.93850E-001
  2.88000E-001	  6.75444E-001
  3.20000E-001	  6.57551E-001
  3.52000E-001	  6.40212E-001
  3.84000E-001	  6.23457E-001
  4.16000E-001	  6.07192E-001
  4.48000E-001	  5.91177E-001
  4.80000E-001	  5.75413E-001
  5.12000E-001	  5.60547E-001
  5.76000E-001	  5.31332E-001
  6.40000E-001	  5.03764E-001
  7.04000E-001	  4.77781E-001
  7.68000E-001	  4.53514E-001
  8.32000E-001	  4.30496E-001
  8.96000E-001	  4.08799E-001
  9.60000E-001	  3.88240E-001
  1.02400E+000	  3.68764E-001
  1.15200E+000	  3.32469E-001
  1.28000E+000	  3.00110E-001
  1.40800E+000	  2.70873E-001
  1.53600E+000	  2.45009E-001
  1.66400E+000	  2.22482E-001
  1.79200E+000	  2.02504E-001
  1.92000E+000	  1.84711E-001
  2.01600E+000	  1.72843E-001
  2.27200E+000	  1.44072E-001
  2.52800E+000	  1.20410E-001
  2.78400E+000	  1.01327E-001
  3.04000E+000	  8.49882E-002
  3.29600E+000	  7.09858E-002
  3.55200E+000	  5.89101E-002
  3.80800E+000	  4.91338E-002
  4.06400E+000	  4.13198E-002
  4.57600E+000	  2.84474E-002
  5.08800E+000	  2.14876E-002
  5.60000E+000	  1.66925E-002
  6.11200E+000	  1.58105E-002
  6.62400E+000	  1.58778E-002
  7.13600E+000	  1.48627E-002
  7.64800E+000	  1.41302E-002
  8.16000E+000	  1.28411E-002
  9.18400E+000	  9.81824E-003
  1.02080E+001	  8.41974E-003
  1.12320E+001	  5.77603E-003
  1.22560E+001	  2.68936E-003
  1.32800E+001	 -1.83935E-003
  1.43040E+001	 -2.87697E-003
  1.53280E+001	 -2.88419E-003
  1.63520E+001	 -2.71255E-003
  1.84000E+001	 -2.56684E-003
  2.04480E+001	  1.23968E-003
  2.24960E+001	 -1.07262E-003
  2.45440E+001	  2.34230E-003
  2.65920E+001	  6.89007E-004
  2.86400E+001	 -1.73477E-004
  3.06880E+001	  3.80861E-003
  3.27360E+001	 -1.35801E-004
  3.68320E+001	 -7.22253E-004
  4.09280E+001	 -6.17417E-003
  4.50240E+001	  1.81080E-003
  4.91200E+001	  6.19909E-003
  5.32160E+001	  5.16873E-003
  5.73120E+001	  8.22682E-003
  6.14080E+001	  2.53487E-003
  6.55040E+001	 -1.69419E-003
  7.36960E+001	  1.27428E-003
  8.18880E+001	  5.90412E-004
  9.00800E+001	 -2.50033E-003
  9.82720E+001	  5.59022E-004
  1.06464E+002	  1.78426E-003
  1.14656E+002	  2.86327E-003
  1.22848E+002	  2.81721E-003
  1.31040E+002	  2.94460E-004
  1.47424E+002	 -1.59303E-003
  1.63808E+002	  1.03403E-003
  1.80192E+002	  2.43680E-003
  1.96576E+002	 -7.26954E-005
  2.12960E+002	  6.57616E-004
  2.29344E+002	  1.59976E-003
  2.45728E+002	 -9.11914E-004
  2.62112E+002	 -1.15165E-003
  2.94880E+002	  1.95800E-003
  3.27648E+002	  1.35294E-003
  3.60416E+002	 -8.21857E-004
  3.93184E+002	  1.80247E-003
  4.25952E+002	 -5.96229E-004
  4.58720E+002	  8.05271E-004
  4.91488E+002	  1.11974E-003
  5.24256E+002	 -9.95829E-004
  5.89792E+002	  8.41097E-004
  6.55328E+002	 -6.31971E-004
  7.20864E+002	  4.27927E-004
  7.86400E+002	  1.03671E-004
  8.51936E+002	 -6.67061E-004
  9.17472E+002	 -1.12832E-003
  9.83008E+002	  2.04889E-003
  1.04854E+003	 -7.95800E-004
  1.17962E+003	 -7.81171E-004
  1.31069E+003	  8.51473E-004
  1.44176E+003	 -4.75471E-004
  1.57283E+003	 -1.25520E-003
  1.70390E+003	  1.40507E-003
  1.83498E+003	  1.37099E-003
  1.96605E+003	  2.26591E-004
  2.09712E+003	 -2.75641E-004
  2.35926E+003	 -7.65545E-004
  2.62141E+003	 -1.08510E-003
  2.88355E+003	 -4.26902E-004
  3.14570E+003	 -1.09523E-003
  3.40784E+003	  8.47435E-005
  3.66998E+003	 -6.40507E-006
  3.93213E+003	  7.40034E-004
  4.19427E+003	  3.47798E-005
  4.71856E+003	 -3.47468E-004
  5.24285E+003	 -4.04773E-004
  5.76714E+003	  4.44308E-004
  6.29142E+003	 -3.32096E-004
  6.81571E+003	 -2.40257E-004
  7.34000E+003	  2.77107E-004
  7.86429E+003	 -3.66541E-004
  8.38858E+003	  1.27178E-004
  9.43715E+003	 -3.22938E-004
  1.04857E+004	 -3.88601E-004
  1.15343E+004	  6.12584E-004
  1.25829E+004	  9.99783E-005
  1.36315E+004	  7.77338E-006
  1.46800E+004	 -1.69343E-004
  1.57286E+004	  1.13945E-004

"Count Rate"
       0.23438	     389.47235
       0.46875	     439.52786
       0.70313	     394.41174
       0.93750	     393.65182
       1.17188	     388.68683
       1.40625	     373.74063
       1.64063	     342.35828
       1.87500	     378.64584
       2.10938	     324.88901
       2.34375	     425.52512
       2.57813	     384.14023
       2.81250	     280.14005
       3.04688	     338.15320
       3.28125	     367.72543
       3.51563	     330.12296
       3.75000	     316.13730
       3.98438	     314.85229
       4.21875	     334.83182
       4.45313	     295.08624
       4.68750	     344.76181
       4.92188	     391.52155
       5.15625	     298.16003
       5.39063	     328.21039
       5.62500	     364.74985
       5.85938	     367.49063
       6.09375	     386.73157
       6.32813	     333.87125
       6.56250	     328.20612
       6.79688	     300.52084
       7.03125	     368.47253
       7.26563	     340.32617
       7.50000	     305.00342
       7.73438	     396.55911
       7.96875	     325.27750
       8.20313	     355.88715
       8.43750	     361.79987
       8.67188	     294.85999
       8.90625	     308.09427
       9.14063	     306.68118
       9.37500	     329.48260
       9.60938	     349.89755
       9.84375	     283.74744
      10.07813	     311.42419
      10.31250	     362.73907
      10.54688	     376.10144
      10.78125	     337.54697
      11.01563	     311.73584
      11.25000	     298.29663
      11.48438	     354.12399
      11.71875	     382.66736
      11.95313	     360.73688
      12.18750	     376.05023
      12.42188	     337.81168
      12.65625	     330.46875
      12.89063	     312.80313
      13.12500	     340.01453
      13.35938	     350.83676
      13.59375	     357.58197
      13.82813	     311.61203
      14.06250	     398.86017
      14.29688	     369.50992
      14.53125	     345.60281
      14.76563	     327.43768
      15.00000	     362.58966
      15.23438	     296.67862
      15.46875	     335.43802
      15.70313	     350.59341
      15.93750	     340.68906
      16.17188	     368.51523
      16.40625	     330.04611
      16.64063	     368.92078
      16.87500	     296.15353
      17.10938	     325.58487
      17.34375	     342.65286
      17.57813	     346.37979
      17.81250	     354.43137
      18.04688	     310.32703
      18.28125	     338.66977
      18.51563	     353.76965
      18.75000	     346.18341
      18.98438	     347.16959
      19.21875	     370.10333
      19.45313	     348.24539
      19.68750	     364.72424
      19.92188	     438.07635
      20.15625	     277.75787
      20.39063	     336.33881
      20.62500	     329.71741
      20.85938	     289.11801
      21.09375	     340.47986
      21.32813	     298.99249
      21.56250	     298.27954
      21.79688	     339.98465
      22.03125	     343.99335
      22.26563	     346.77682
      22.50000	     367.42233
      22.73438	     374.09924
      22.96875	     330.31506
      23.20313	     312.88852
      23.43750	     303.86783
      23.67188	     358.64499
      23.90625	     344.75754
      24.14063	     368.14807
      24.37500	     371.42676
      24.60938	     324.96158
      24.84375	     362.88425
      25.07813	     343.56644
      25.31250	     359.48175
      25.54688	     270.03500
      25.78125	     344.25378
      26.01563	     462.47440
      26.25000	     446.68292
      26.48438	     327.89874
      26.71875	     326.03741
      26.95313	     377.91583
      27.18750	     278.08658
      27.42188	     306.44214
      27.65625	     358.81149
      27.89063	     406.39090
      28.12500	     324.87622
      28.35938	     335.11359
      28.59375	     320.21005
      28.82813	     327.94998
      29.06250	     284.99829
      29.29688	     278.24454
      29.53125	     350.29031
      29.76563	     395.72235
      30.00000	     339.24609
      30.23438	     301.29355
      30.46875	     297.86118
      30.70313	     356.16891
      30.93750	     338.94299
      31.17188	     383.40591
      31.40625	     360.45511
      31.64063	     412.83301
      31.87500	     336.93222
      32.10938	     320.41071
      32.34375	     368.15234
      32.57813	     327.98840
      32.81250	     342.82361
      33.04688	     296.48224
      33.28125	     359.76352
      33.51563	     356.77512
      33.75000	     351.44299
      33.98438	     346.92197
      34.21875	     311.84683
      34.45313	     341.18427
      34.68750	     339.79681
      34.92188	     346.76828
      35.15625	     367.12775
      35.39063	     357.95340
      35.62500	     349.47491
      35.85938	     298.51010
      36.09375	     316.27820
      36.32813	     329.26913
      36.56250	     348.25821
      36.79688	     366.03485
      37.03125	     326.34906
      37.26563	     345.89313
      37.50000	     336.01437
      37.73438	     374.69690
      37.96875	     341.28674
      38.20313	     327.42062
      38.43750	     408.84564
      38.67188	     300.91360
      38.90625	     364.54492
      39.14063	     351.24661
      39.37500	     355.97681
      39.60938	     374.80365
      39.84375	     354.78143
      40.07813	     317.98584
      40.31250	     351.37466
      40.54688	     347.61359
      40.78125	     415.34753
      41.01563	     276.28928
