ALV-5000/E-WIN Data
Date :	"14-11-18"
Time :	"13:08:06"
Samplename : 	"loaded 20mW VV 5 ul do 300"
Temperature [K] :	     293.00000
Viscosity [cp]  :	       1.01016
Refractive Index:	       1.33200
Wavelength [nm] :	     532.00000
Angle [°]       :	     130.00000
Duration [s]    :	        60
Runs            :	         4
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     116.62865
MeanCR1 [kHz]   :	     100.08969

"Correlation (Multi)"
"Lag [ms]"	"Average"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	
  2.00000E-004	  7.95186E-001	  7.99464E-001	  8.00776E-001	  7.88951E-001	  7.91554E-001	
  4.00000E-004	  7.93180E-001	  7.95916E-001	  7.93155E-001	  7.92660E-001	  7.90990E-001	
  6.00000E-004	  7.91199E-001	  7.91934E-001	  7.90560E-001	  7.92476E-001	  7.89826E-001	
  8.00000E-004	  7.91951E-001	  7.97106E-001	  7.92054E-001	  7.87874E-001	  7.90769E-001	
  1.00000E-003	  7.92502E-001	  7.94926E-001	  7.93734E-001	  7.89531E-001	  7.91818E-001	
  1.20000E-003	  7.90371E-001	  7.97377E-001	  7.92018E-001	  7.85156E-001	  7.86934E-001	
  1.40000E-003	  7.88323E-001	  7.88415E-001	  7.91182E-001	  7.87527E-001	  7.86170E-001	
  1.60000E-003	  7.88749E-001	  7.84938E-001	  7.90760E-001	  7.96519E-001	  7.82777E-001	
  1.80000E-003	  7.87619E-001	  7.89854E-001	  7.88758E-001	  7.86345E-001	  7.85520E-001	
  2.00000E-003	  7.88011E-001	  7.94071E-001	  7.87171E-001	  7.88009E-001	  7.82792E-001	
  2.20000E-003	  7.87467E-001	  7.94149E-001	  7.86778E-001	  7.85276E-001	  7.83663E-001	
  2.40000E-003	  7.85013E-001	  7.84810E-001	  7.86334E-001	  7.80787E-001	  7.88119E-001	
  2.60000E-003	  7.83967E-001	  7.85124E-001	  7.85705E-001	  7.83053E-001	  7.81985E-001	
  2.80000E-003	  7.82964E-001	  7.85052E-001	  7.80965E-001	  7.82996E-001	  7.82842E-001	
  3.00000E-003	  7.79745E-001	  7.83699E-001	  7.85491E-001	  7.74805E-001	  7.74986E-001	
  3.20000E-003	  7.80299E-001	  7.86857E-001	  7.82507E-001	  7.78497E-001	  7.73336E-001	
  3.60000E-003	  7.77556E-001	  7.84645E-001	  7.79293E-001	  7.74692E-001	  7.71593E-001	
  4.00000E-003	  7.76645E-001	  7.77180E-001	  7.77263E-001	  7.73722E-001	  7.78417E-001	
  4.40000E-003	  7.74364E-001	  7.79092E-001	  7.76269E-001	  7.72922E-001	  7.69172E-001	
  4.80000E-003	  7.74143E-001	  7.79548E-001	  7.74027E-001	  7.72079E-001	  7.70915E-001	
  5.20000E-003	  7.72074E-001	  7.78426E-001	  7.68637E-001	  7.70483E-001	  7.70751E-001	
  5.60000E-003	  7.68632E-001	  7.71531E-001	  7.68104E-001	  7.66110E-001	  7.68783E-001	
  6.00000E-003	  7.67163E-001	  7.71043E-001	  7.67997E-001	  7.63778E-001	  7.65834E-001	
  6.40000E-003	  7.65284E-001	  7.67858E-001	  7.68039E-001	  7.61810E-001	  7.63430E-001	
  7.20000E-003	  7.62737E-001	  7.64134E-001	  7.65603E-001	  7.59266E-001	  7.61946E-001	
  8.00000E-003	  7.57119E-001	  7.57609E-001	  7.60337E-001	  7.55392E-001	  7.55139E-001	
  8.80000E-003	  7.53440E-001	  7.53883E-001	  7.54382E-001	  7.54785E-001	  7.50711E-001	
  9.60000E-003	  7.51124E-001	  7.52173E-001	  7.51910E-001	  7.50140E-001	  7.50274E-001	
  1.04000E-002	  7.46234E-001	  7.50951E-001	  7.46935E-001	  7.43326E-001	  7.43725E-001	
  1.12000E-002	  7.42241E-001	  7.44027E-001	  7.42926E-001	  7.40104E-001	  7.41906E-001	
  1.20000E-002	  7.39590E-001	  7.40435E-001	  7.41723E-001	  7.38617E-001	  7.37584E-001	
  1.28000E-002	  7.35590E-001	  7.37485E-001	  7.37366E-001	  7.34136E-001	  7.33373E-001	
  1.44000E-002	  7.27405E-001	  7.28701E-001	  7.29370E-001	  7.25023E-001	  7.26528E-001	
  1.60000E-002	  7.21889E-001	  7.24602E-001	  7.24141E-001	  7.18867E-001	  7.19948E-001	
  1.76000E-002	  7.13727E-001	  7.16281E-001	  7.14754E-001	  7.11904E-001	  7.11970E-001	
