{ red  grn  blu }
   17   17   17
   20   17   17
   23   18   17
   25   18   16
   28   18   16
   30   18   16
   32   19   16
   34   19   16
   36   19   16
   38   19   16
   40   19   15
   42   19   15
   44   19   15
   46   19   15
   48   19   15
   50   19   15
   52   19   14
   54   19   14
   57   19   14
   59   18   14
   61   18   14
   63   18   14
   65   18   13
   67   17   13
   69   17   13
   71   17   13
   73   16   13
   75   16   13
   77   15   13
   79   14   12
   81   14   12
   83   13   12
   85   13   12
   87   12   12
   89   11   12
   91   10   12
   93    9   12
   95    8   12
   97    8   12
   98    7   12
  100    6   12
  102    5   12
  104    5   13
  106    4   13
  107    4   13
  109    3   13
  111    3   14
  112    2   14
  114    2   14
  116    2   15
  117    1   15
  119    1   15
  121    1   16
  122    1   16
  124    1   16
  125    1   17
  127    1   17
  128    1   17
  130    1   18
  131    1   18
  133    1   18
  134    2   19
  136    2   19
  137    2   20
  139    2   20
  141    2   20
  142    2   21
  144    3   21
  145    3   21
  147    3   22
  148    3   22
  150    4   23
  151    4   23
  153    4   23
  155    4   24
  156    5   24
  158    5   25
  159    5   25
  161    5   25
  162    6   26
  164    6   26
  166    6   27
  167    7   27
  169    7   27
  170    7   28
  172    8   28
  173    8   29
  175    8   29
  177    9   29
  178    9   30
  180    9   30
  182   10   31
  183   10   31
  185   11   31
  186   11   32
  188   11   32
  190   12   33
  191   12   33
  193   12   33
  194   13   34
  196   13   34
  198   14   35
  199   14   35
  201   14   35
  203   15   36
  204   15   36
  206   15   37
  208   16   37
  209   16   37
  211   17   38
  213   17   38
  214   17   39
  216   18   39
  218   18   40
  219   18   40
  221   19   40
  223   19   41
  224   20   41
  226   20   42
  228   21   42
  229   21   43
  231   22   43
  232   22   44
  234   23   44
  236   24   45
  237   25   45
  239   26   46
  240   27   46
  242   28   47
  243   30   48
  244   31   48
  246   33   49
  247   35   50
  248   37   51
  249   40   52
  250   42   53
  250   45   55
  251   48   56
  252   51   58
  252   54   59
  252   57   61
  252   60   63
  252   64   65
  252   67   67
  251   71   69
  251   74   72
  250   78   74
  249   81   77
  248   84   79
  247   88   82
  246   91   85
  245   95   88
  243   98   91
  242  101   94
  240  105   97
  239  108  100
  237  111  103
  235  114  106
  233  117  109
  231  120  113
  229  123  116
  227  126  119
  225  128  122
  222  131  126
  220  134  129
  218  137  132
  215  139  136
  212  142  139
  210  144  142
  207  147  146
  204  149  149
  201  152  152
  198  154  156
  195  157  159
  192  159  163
  188  161  166
  185  164  169
  181  166  173
  177  168  176
  173  170  180
  169  173  183
  165  175  187
  161  177  190
  156  179  193
  151  181  197
  146  183  200
  141  186  204
  135  188  207
  130  190  210
  124  192  213
  118  193  216
  111  195  220
  105  197  222
   98  199  225
   91  201  228
   84  202  231
   77  204  233
   70  206  235
   63  207  238
   56  209  240
   49  210  242
   43  211  243
   38  213  245
   35  214  246
   33  215  247
   34  216  249
   37  217  249
   42  218  250
   47  219  251
   53  220  252
   59  221  252
   66  222  252
   72  222  253
   78  223  253
   84  224  253
   90  225  253
   96  225  253
  102  226  253
  107  227  253
  113  227  253
  118  228  253
  123  229  253
  128  229  253
  133  230  253
  137  231  253
  142  231  253
  146  232  253
  151  233  253
  155  233  252
  159  234  252
  163  234  252
  167  235  252
  171  236  252
  175  236  252
  179  237  252
  182  237  252
  186  238  252
  190  239  251
  193  239  251
  197  240  251
  200  241  251
  204  241  251
  207  242  251
  211  242  251
  214  243  251
  217  243  250
  221  244  250
  224  245  250
  227  245  250
  230  246  250
  233  246  250
  237  247  250
  240  248  250
  243  248  249
  246  249  249
  249  249  249
