{ red  grn  blu }
   17   17   17
   19   17   21
   20   17   24
   22   18   27
   23   18   31
   24   18   34
   25   19   37
   26   19   40
   27   19   43
   28   19   47
   29   19   50
   30   19   53
   30   19   56
   31   19   60
   31   19   63
   32   20   66
   33   20   69
   33   20   73
   33   20   76
   34   20   79
   34   20   82
   34   20   86
   34   20   89
   35   20   92
   35   20   95
   35   20   98
   35   20  101
   35   21  105
   34   21  108
   34   21  111
   34   21  114
   34   21  117
   33   21  120
   33   22  123
   33   22  126
   32   22  129
   32   23  131
   31   23  134
   31   23  137
   30   24  140
   29   24  142
   29   25  145
   28   25  148
   27   26  150
   26   26  153
   25   27  155
   24   28  157
   23   28  159
   22   29  162
   21   30  164
   20   31  166
   19   32  168
   18   33  169
   17   34  171
   15   35  173
   14   36  174
   13   37  176
   12   39  177
   11   40  178
   10   41  179
   10   43  180
    9   44  180
    9   46  181
    8   47  181
    8   49  182
    8   50  182
    8   52  182
    7   53  183
    7   55  183
    7   56  183
    7   57  183
    7   59  184
    7   60  184
    7   62  184
    7   63  184
    7   65  184
    7   66  184
    7   68  184
    7   69  184
    7   70  184
    7   72  183
    7   73  183
    7   75  183
    7   76  182
    7   78  182
    7   79  182
    7   81  181
    7   82  181
    7   83  180
    7   85  179
    7   86  178
    7   88  178
    7   89  177
    7   91  176
    7   92  175
    6   94  173
    6   95  172
    6   97  171
    6   98  169
    7  100  168
    9  101  166
   11  103  165
   13  104  163
   15  105  161
   17  107  160
   19  108  158
   21  110  156
   23  111  154
   25  112  152
   27  114  150
   29  115  148
   30  116  146
   32  118  144
   34  119  141
   35  120  139
   36  121  137
   38  123  135
   39  124  132
   40  125  130
   41  127  128
   42  128  125
   43  129  123
   44  131  120
   45  132  117
   45  133  115
   46  134  112
   47  136  109
   47  137  107
   47  138  104
   48  140  101
   48  141   98
   48  142   95
   49  143   92
   49  145   90
   49  146   87
   50  147   85
   50  148   82
   51  149   80
   52  151   77
   53  152   75
   54  153   73
   55  154   71
   56  155   68
   57  156   66
   58  157   64
   60  158   62
   61  159   60
   63  160   58
   64  161   56
   66  162   55
   68  163   53
   69  164   51
   71  165   49
   73  166   47
   75  167   46
   77  168   44
   79  169   42
   81  170   40
   83  171   39
   85  172   37
   87  173   35
   89  174   34
   91  175   32
   94  176   31
   96  176   29
   98  177   27
  101  178   26
  103  179   24
  105  180   23
  108  181   21
  110  182   19
  112  182   18
  115  183   16
  117  184   15
  120  185   13
  122  186   12
  125  186   10
  127  187    9
  130  188    7
  133  189    6
  135  189    5
  138  190    4
  140  191    4
  143  191    3
  146  192    3
  148  193    3
  151  193    2
  154  194    2
  156  195    2
  159  195    2
  161  196    3
  164  197    3
  166  198    3
  169  198    3
  171  199    4
  174  200    4
  176  200    5
  179  201    5
  181  202    6
  183  202    7
  186  203    7
  188  204    8
  190  204    9
  193  205   11
  195  206   12
  197  206   13
  199  207   14
  201  208   15
  204  209   17
  206  209   18
  208  210   19
  210  211   21
  212  211   22
  214  212   24
  216  213   25
  218  214   27
  220  215   28
  222  215   30
  224  216   31
  225  217   33
  227  218   35
  229  219   36
  231  219   38
  232  220   40
  234  221   42
  235  222   44
  237  223   46
  238  224   48
  240  225   50
  241  226   52
  242  227   55
  243  228   57
  244  229   60
  245  230   63
  245  231   66
  246  232   69
  247  233   73
  247  234   77
  248  235   82
  249  236   88
  250  237   93
  250  238   99
  251  239  106
  252  240  113
  253  241  120
  253  242  128
  254  243  137
  255  244  146
  255  245  156
  255  245  166
  255  246  178
  255  247  190
  254  247  203
  253  248  217
  252  249  232
  249  249  249
