0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
A;A;Symbol;Name;Z;abundance;Re[bc_coh];Im[bc_coh];Re[bc_inc];Im[bc_inc];sigma_coh;sigma_inc;sigma_scatt;sigma_abs;Symbol;Z;CrKafp;CrKafpp;FeKafp;FeKafpp;CuKafp;CuKafpp;MoKafp;MoKafpp;AgKafp;AgKafpp
;;;;;;;;;;;;;;;;5989eV;5989eV;7112eV;7112eV;8979eV;8979eV;20000eV;20000eV;25514eV;25514eV
n;1.00794;H;Hydrogen;1; ;-3.739;; ;;1.7568;80.26;82.02;0.3326;H;1;0;0;0;0;0;0;0;0;0;0
n;2.014101778;D;Deuterium;1;0.0115;6.671;;4.04;;5.592;2.05;7.64;0.000519;D;1;0;0;0;0;0;0;0;0;0;0
1;1.007825032;H;Hydrogen;1;99.9885;-3.7406;;25.274;;1.7583;80.27;82.03;0.3326;H;1;0;0;0;0;0;0;0;0;0;0
2;2.014101778;D;Deuterium;1;0.0115;6.671;;4.04;;5.592;2.05;7.64;0.000519;D;1;0;0;0;0;0;0;0;0;0;0
2;2.014101778;H;Deuterium;1;0.0115;6.671;;4.04;;5.592;2.05;7.64;0.000519;H;1;0;0;0;0;0;0;0;0;0;0
3;3.016049268;H;Tritium;1;0;4.792;;-1.04;;2.89;0.14;3.03;0;H;1;0;0;0;0;0;0;0;0;0;0
n;4.002602;He;Helium;2; ;3.26;; ;;1.34;0;1.34;0.00747;He;2;0;0;0;0;0;0;0;0;0;0
3;3.01602931;He;Helium;2;0.00014;5.74;-1.483;-2.5;2.568;4.42;1.6;6;5333;He;2;0;0;0;0;0;0;0;0;0;0
4;4.00260325;He;Helium;2;99.99986;3.26;;0;;1.34;0;1.34;0;He;2;0;0;0;0;0;0;0;0;0;0
n;6.941;Li;Lithium;3; ;-1.9;; ;;0.454;0.92;1.37;70.5;Li;3;0.002;0.001;0.002;0.001;0.001;0;0;0;0;0
