  Element 89: Ac      Atomic mass:  227.0278

  Edge          keV         A
    K       106.7553    0.1161
    L-I      19.8400    0.6249
    L-II     19.0832    0.6497
    L-III    15.8710    0.7812
    M1        5.0020    2.4787
    M2        4.6560    2.6629
    M3        3.9090    3.1718
    M4        3.3702    3.6788
    M5        3.2190    3.8516
    N1        1.2690    9.7702
    N2        1.0800   11.4800

Scattering factors as a function of energy: 

   1000.000      -33.75020       33.31556    
   1100.000      -30.62099       31.38107    
   1172.000      -28.69925       29.68836    
   1177.000      -28.58813       29.57449    
   1182.000      -28.75211       29.46216    
   1187.000      -28.65144       29.35242    
   1192.000      -28.55326       29.24323    
   1197.000      -28.45760       29.13457    
   1200.000      -28.40143       29.06964    
   1202.000      -28.36450       29.02645    
   1207.000      -28.27405       28.91887    
   1212.000      -28.18638       28.81183    
   1217.000      -28.34115       28.70600    
   1222.000      -28.26322       28.60278    
   1227.000      -28.18868       28.50017    
   1232.000      -28.11803       28.39815    
   1237.000      -28.05192       28.29672    
   1242.000      -27.99143       28.19587    
   1247.000      -27.93827       28.09561    
   1252.000      -27.89553       27.99592    
   1257.000      -27.86961       27.89681    
   1262.000      -27.87771       27.79827    
   1267.000      -28.00968       27.70030    
   1272.000      -27.85738       28.14468    
   1277.000      -27.60717       28.04822    
   1282.000      -27.44338       27.95231    
   1287.000      -27.30824       27.85695    
   1292.000      -27.18798       27.76212    
   1297.000      -27.07711       27.66784    
   1300.000      -27.01389       27.61153    
   1302.000      -26.97285       27.57409    
   1307.000      -26.87361       27.48088    
   1312.000      -26.77836       27.38820    
   1317.000      -26.68645       27.29605    
   1322.000      -26.59737       27.20443    
   1327.000      -26.51079       27.11333    
   1332.000      -26.42642       27.02275    
   1337.000      -26.34407       26.93269    
   1342.000      -26.26355       26.84315    
   1347.000      -26.18473       26.75412    
   1352.000      -26.10751       26.66561    
   1357.000      -26.03176       26.57760    
   1362.000      -25.95743       26.49011    
   1367.000      -25.88443       26.40312    
   1400.000      -25.43223       25.84157    
   1500.000      -24.23862       24.19732    
   1600.000      -23.44620       22.70436    
   1700.000      -22.80534       21.33866    
   1800.000      -22.34315       20.08421    
   1900.000      -22.03486       18.92884    
   2000.000      -21.86307       17.86239    
   2100.000      -21.81657       16.87603    
   2200.000      -21.89500       15.96267    
   2300.000      -22.08681       15.11599    
   2400.000      -22.40145       14.32927    
   2500.000      -22.85036       13.59721    
   2600.000      -23.68898       12.92846    
   2700.000      -24.66587       12.31695    
   2800.000      -25.71426       11.76439    
   2900.000      -27.12920       11.24838    
   3000.000      -29.15973       10.76567    
   3100.000      -32.49603       10.32952    
   3122.000      -33.60609       10.23741    
   3127.000      -33.89217       10.21667    
   3132.000      -34.19358       10.19599    
   3137.000      -34.51211       10.17537    
   3142.000      -34.84980       10.15483    
   3147.000      -35.20918       10.13435    
   3152.000      -35.59325       10.11394    
   3157.000      -36.00577       10.09360    
   3162.000      -36.45139       10.07332    
   3167.000      -36.93609       10.05311    
   3172.000      -37.46758       10.03297    
   3177.000      -38.05628       10.01288    
   3182.000      -38.71644       9.992869    
   3187.000      -39.46870       9.972919    
   3192.000      -40.34408       9.953032    
   3197.000      -41.39301       9.933209    
   3200.000      -42.14015       9.921347    
   3202.000      -42.70511       9.913452    
   3207.000      -44.46581       9.893757    
   3212.000      -47.17107       9.874125    
   3217.000      -53.41292       9.854556    
   3222.000      -51.44522       25.43551    
   3227.000      -46.59443       25.36963    
   3232.000      -44.22201       25.30405    
   3237.000      -42.65624       25.23878    
   3242.000      -41.49862       25.17381    
   3247.000      -40.59004       25.10915    
   3252.000      -39.85056       25.04478    
   3257.000      -39.23457       24.98072    
   3262.000      -38.71355       24.91694    
   3267.000      -38.26869       24.85346    
   3272.000      -37.88695       24.79027    
   3273.000      -37.81733       24.77767    
   3277.000      -37.55916       24.72738    
   3278.000      -37.49944       24.71483    
   3282.000      -37.27865       24.66477    
   3283.000      -37.22778       24.65228    
   3287.000      -37.04068       24.60244    
   3288.000      -36.99786       24.59001    
   3292.000      -36.84185       24.54040    
   3293.000      -36.80657       24.52803    
   3297.000      -36.67997       24.47864    
   3298.000      -36.65190       24.46632    
   3300.000      -36.60002       24.44172    
   3302.000      -36.55379       24.41716    
   3303.000      -36.53279       24.40490    
   3307.000      -36.46298       24.35597    
   3308.000      -36.44910       24.34376    
   3312.000      -36.40815       24.29504    
   3313.000      -36.40163       24.28289    
   3317.000      -36.39095       24.23440    
   3318.000      -36.39226       24.22230    
   3323.000      -36.42418       24.16198    
   3328.000      -36.50234       24.10193    
   3333.000      -36.63421       24.04215    
   3338.000      -36.83110       23.98264    
   3343.000      -37.11063       23.92340    
   3348.000      -37.50193       23.86441    
   3353.000      -38.05720       23.80570    
   3358.000      -38.88435       23.74724    
   3363.000      -40.26894       23.68904    
   3368.000      -43.63197       23.63110    
   3373.000      -42.72886       33.00351    
   3378.000      -39.48134       32.95432    
   3383.000      -37.82601       32.90506    
   3388.000      -36.67072       32.85575    
   3393.000      -35.76598       32.80637    
   3398.000      -35.01294       32.75693    
   3400.000      -34.74229       32.73713    
   3403.000      -34.36230       32.70742    
   3408.000      -33.78588       32.65785    
   3413.000      -33.26589       32.60821    
   3418.000      -32.79052       32.55851    
   3423.000      -32.35139       32.50873    
   3428.000      -31.94243       32.45889    
