  Element 47: Ag      Atomic mass:  107.8682

  Edge          keV         A
    K        25.5140    0.4859
    L-I       3.8058    3.2578
    L-II      3.5237    3.5186
    L-III     3.3511    3.6998

Scattering factors as a function of energy: 

   1000.000      -7.935904       17.39064    
   1100.000      -6.899405       15.52683    
   1200.000      -6.208765       13.93687    
   1300.000      -5.763420       12.57603    
   1400.000      -5.472655       11.40256    
   1500.000      -5.387574       10.38850    
   1600.000      -5.305234       9.517872    
   1700.000      -5.286952       8.754119    
   1800.000      -5.322636       8.079901    
   1900.000      -5.396902       7.481548    
   2000.000      -5.507080       6.947594    
   2100.000      -5.649725       6.468875    
   2200.000      -5.823312       6.037842    
   2300.000      -6.072729       5.649004    
   2400.000      -6.310784       5.300811    
   2500.000      -6.612989       4.986920    
   2600.000      -6.930527       4.700926    
   2700.000      -7.301167       4.439295    
   2800.000      -7.741024       4.199265    
   2900.000      -8.286263       3.978750    
   3000.000      -8.962955       3.776069    
   3100.000      -9.873347       3.591248    
   3200.000      -11.24237       3.420275    
   3254.000      -12.41060       3.333211    
   3259.000      -12.54840       3.325325    
   3264.000      -12.69344       3.317470    
   3269.000      -12.84655       3.309643    
   3274.000      -13.00871       3.301846    
   3279.000      -13.18109       3.294076    
   3284.000      -13.36510       3.286336    
   3289.000      -13.56254       3.278625    
   3294.000      -13.77555       3.270941    
   3299.000      -14.00697       3.263286    
   3300.000      -14.05575       3.261759    
   3304.000      -14.26040       3.255659    
   3309.000      -14.54072       3.248060    
   3314.000      -14.85461       3.240489    
   3319.000      -15.21171       3.232945    
   3324.000      -15.62649       3.225429    
   3329.000      -16.12245       3.217940    
   3334.000      -16.74127       3.210479    
   3339.000      -17.56866       3.203045    
   3344.000      -18.83266       3.195637    
   3349.000      -21.69339       3.188257    
   3354.000      -20.96567       10.51790    
   3359.000      -18.64892       10.50880    
   3364.000      -17.52874       10.49956    
   3369.000      -16.79008       10.49020    
   3374.000      -16.24242       10.48071    
   3379.000      -15.81021       10.47108    
   3384.000      -15.45566       10.46133    
   3389.000      -15.15723       10.45145    
   3394.000      -14.90142       10.44144    
   3399.000      -14.67934       10.43131    
   3400.000      -14.63838       10.42927    
   3404.000      -14.48474       10.42105    
   3409.000      -14.31318       10.41067    
   3414.000      -14.16134       10.40016    
   3419.000      -14.02677       10.38953    
   3424.000      -13.90760       10.37878    
   3426.000      -13.86391       10.37444    
   3429.000      -13.80241       10.36791    
   3431.000      -13.76401       10.36352    
   3434.000      -13.71017       10.35691    
   3436.000      -13.67671       10.35248    
   3439.000      -13.63011       10.34579    
   3441.000      -13.60137       10.34131    
   3444.000      -13.56173       10.33456    
   3446.000      -13.53758       10.33003    
   3449.000      -13.50477       10.32320    
   3451.000      -13.48517       10.31863    
   3456.000      -13.44419       10.30711    
   3461.000      -13.41494       10.29548    
   3466.000      -13.39802       10.28372    
   3471.000      -13.39435       10.27186    
   3476.000      -13.40533       10.25988    
   3481.000      -13.43297       10.24778    
   3486.000      -13.48020       10.23558    
   3491.000      -13.55132       10.22326    
   3496.000      -13.65301       10.21083    
   3500.000      -13.76338       10.20080    
   3501.000      -13.79604       10.19829    
   3506.000      -13.99955       10.18564    
   3511.000      -14.30224       10.17288    
   3516.000      -14.80437       10.16001    
   3521.000      -15.94370       10.14704    
   3526.000      -16.05472       13.80017    
   3531.000      -14.63104       13.78550    
   3536.000      -13.94872       13.77067    
   3541.000      -13.47930       13.75567    
   3546.000      -13.11361       13.74051    
   3551.000      -12.80997       13.72519    
   3556.000      -12.54792       13.70971    
   3561.000      -12.31585       13.69406    
   3566.000      -12.10658       13.67826    
   3571.000      -11.91530       13.66231    
   3576.000      -11.73866       13.64619    
   3581.000      -11.57422       13.62993    
   3586.000      -11.42015       13.61351    
   3591.000      -11.27502       13.59693    
   3596.000      -11.13774       13.58021    
   3600.000      -11.03295       13.56673    
   3601.000      -11.00740       13.56334    
   3606.000      -10.88330       13.54632    
   3611.000      -10.76482       13.52915    
   3616.000      -10.65148       13.51184    
   3621.000      -10.54286       13.49438    
   3700.000      -9.283556       13.20027    
   3708.000      -9.196133       13.16868    
   3713.000      -9.145270       13.14878    
   3718.000      -9.097446       13.12875    
   3723.000      -9.052805       13.10861    
   3728.000      -9.011539       13.08834    
   3733.000      -8.973884       13.06796    
   3738.000      -8.940146       13.04747    
   3743.000      -8.910709       13.02685    
   3748.000      -8.886071       13.00613    
   3753.000      -8.866872       12.98529    
   3758.000      -8.853959       12.96434    
   3763.000      -8.848475       12.94328    
   3768.000      -8.852003       12.92211    
   3773.000      -8.866819       12.90083    
   3778.000      -8.896353       12.87945    
   3783.000      -8.946100       12.85796    
   3788.000      -9.025723       12.83637    
   3793.000      -9.154616       12.81467    
   3798.000      -9.382032       12.79288    
   3800.000      -9.531170       12.78413    
   3803.000      -9.922900       12.77098    
   3808.000      -10.00279       14.61071    
   3813.000      -9.236075       14.58684    
   3818.000      -8.860742       14.56287    
   3823.000      -8.595389       14.53881    
   3828.000      -8.383232       14.51466    
   3833.000      -8.202754       14.49042    
   3838.000      -8.043417       14.46609    
   3843.000      -7.899295       14.44168    
   3848.000      -7.766687       14.41719    
   3853.000      -7.643157       14.39261    
   3858.000      -7.526981       14.36795    
   3863.000      -7.416927       14.34321    
   3868.000      -7.312051       14.31838    
