  Element 33: As      Atomic mass:   74.9216

  Edge          keV         A
    K        11.8667    1.0448
    L-I       1.5265    8.1221
    L-II      1.3586    9.1259
    L-III     1.3231    9.3707

Scattering factors as a function of energy: 

   1000.000      -9.429335       3.484835    
   1100.000      -10.50740       3.068583    
   1200.000      -12.45976       2.726221    
   1226.000      -13.32295       2.647042    
   1231.000      -13.52381       2.632231    
   1236.000      -13.73969       2.617549    
   1241.000      -13.97290       2.602995    
   1246.000      -14.22623       2.588568    
   1251.000      -14.50320       2.574266    
   1256.000      -14.80822       2.560088    
   1261.000      -15.14697       2.546031    
   1261.000      -15.14697       2.546031    
   1266.000      -15.52682       2.532096    
   1266.000      -15.52682       2.532096    
   1271.000      -15.95758       2.518280    
   1271.000      -15.95758       2.518280    
   1276.000      -16.45258       2.504581    
   1276.000      -16.45258       2.504581    
   1281.000      -17.03035       2.490999    
   1281.000      -17.03035       2.490999    
   1286.000      -17.71758       2.477531    
   1286.000      -17.71758       2.477531    
   1291.000      -18.55410       2.464178    
   1291.000      -18.55410       2.464178    
   1296.000      -19.60247       2.450936    
   1296.000      -19.60247       2.450936    
   1300.000      -20.66173       2.440423    
   1301.000      -20.96742       2.437805    
   1301.000      -20.96742       2.437805    
   1306.000      -22.84129       2.424784    
   1306.000      -22.84129       2.424784    
   1311.000      -25.63062       2.411871    
   1311.000      -25.63062       2.411871    
   1316.000      -30.43916       2.399066    
   1316.000      -30.43916       2.399066    
   1321.000      -42.96489       2.386366    
   1321.000      -42.96489       2.386366    
   1326.000      -36.88134       37.12148    
   1326.000      -36.88134       37.12148    
   1331.000      -23.81698       32.86283    
   1331.000      -23.81698       32.86283    
   1336.000      -18.21088       29.21878    
   1336.000      -18.21088       29.21878    
   1341.000      -15.38761       26.09086    
   1341.000      -15.38761       26.09086    
   1346.000      -14.29931       23.39770    
   1346.000      -14.29931       23.39770    
   1351.000      -14.89571       21.07187    
   1351.000      -14.89571       21.07187    
   1356.000      -19.10551       19.05730    
   1356.000      -19.10551       19.05730    
   1361.000      -17.71439       34.55799    
   1361.000      -17.71439       34.55799    
   1366.000      -9.902804       30.98588    
   1366.000      -9.902804       30.98588    
   1371.000      -6.451541       27.89469    
   1371.000      -6.451541       27.89469    
   1376.000      -4.473392       25.21188    
   1376.000      -4.473392       25.21188    
   1381.000      -3.272238       22.87692    
   1381.000      -3.272238       22.87692    
   1386.000      -2.547956       20.83909    
   1386.000      -2.547956       20.83909    
   1391.000      -2.139610       19.05578    
   1391.000      -2.139610       19.05578    
   1396.000      -1.947594       17.49110    
   1396.000      -1.947594       17.49110    
   1400.000      -1.906566       16.37623    
   1401.000      -1.908722       16.11472    
   1401.000      -1.908722       16.11472    
   1406.000      -1.979324       14.90097    
   1406.000      -1.979324       14.90097    
   1411.000      -2.128795       13.82806    
   1411.000      -2.128795       13.82806    
   1416.000      -2.335210       12.87744    
   1416.000      -2.335210       12.87744    
   1421.000      -2.582657       12.03327    
   1421.000      -2.582657       12.03327    
   1426.000      -2.858711       11.28202    
   1429.000      -3.035664       10.87096    
   1431.000      -3.156718       10.61208    
   1434.000      -3.342456       10.24493    
   1436.000      -3.468604       10.01348    
   1439.000      -3.660655       9.684943    
   1441.000      -3.790241       9.477643    
   1444.000      -3.986477       9.183137    
   1446.000      -4.118299       8.997155    
   1449.000      -4.317206       8.732725    
   1451.000      -4.450428       8.565610    
   1454.000      -4.650976       8.327834    
   1456.000      -4.785047       8.177460    
   1459.000      -4.986594       7.963365    
   1464.000      -5.323416       7.634889    
   1469.000      -5.661268       7.338550    
   1474.000      -6.000402       7.070988    
   1479.000      -6.341493       6.829267    
   1484.000      -6.685682       6.610822    
   1489.000      -7.034696       6.413407    
   1494.000      -7.391076       6.235057    
   1499.000      -7.758647       6.074046    
   1500.000      -7.833984       6.043787    
   1504.000      -8.143474       5.928864    
   1509.000      -8.556079       5.798186    
   1514.000      -9.017524       5.680850    
   1519.000      -9.581702       5.575845    
   1524.000      -10.49753       5.482283    
   1529.000      -10.74992       7.293207    
   1534.000      -10.33972       7.215660    
   1539.000      -10.28549       7.147589    
   1544.000      -10.33768       7.088501    
   1549.000      -10.44271       7.037976    
   1554.000      -10.58016       6.995667    
   1559.000      -10.74015       6.961286    
   1564.000      -10.91732       6.934611    
   1569.000      -11.10853       6.915473    
   1574.000      -11.31185       6.903756    
   1579.000      -11.52614       6.899396    
   1584.000      -11.75070       6.902381    
   1589.000      -11.98520       6.912745    
   1594.000      -12.22952       6.930571    
   1599.000      -12.48373       6.955991    
   1600.000      -12.53578       6.962002    
   1604.000      -12.74801       6.989188    
   1609.000      -13.02272       7.030393    
   1614.000      -13.30825       7.079892    
   1619.000      -13.60511       7.138022    
   1624.000      -13.91390       7.205182    
   1700.000      -20.74950       9.869416    
   1800.000      -3.552651       11.95705    
   1900.000      -2.690663       11.04163    
   2000.000      -2.021769       10.23876    
   2100.000      -1.535833       9.514412    
   2200.000      -1.162870       8.867381    
   2300.000     -0.8732193       8.286686    
   2400.000     -0.6465170       7.763263    
   2500.000     -0.4682811       7.289583    
   2600.000     -0.3279317       6.859340    
   2700.000     -0.2076773       6.464999    
   2800.000     -0.1174221       6.100526    
   2900.000     -5.1044028E-02   5.765710    
   3000.000     -3.8216980E-03   5.457530    
   3100.000      3.1523775E-02   5.175311    
