  Element 85: At      Atomic mass:  210.0000

  Edge          keV         A
    K        95.7299    0.1295
    L-I      17.4930    0.7088
    L-II     16.7847    0.7387
    L-III    14.2135    0.8723
    M1        4.3170    2.8720
    M2        4.0080    3.0934
    M3        3.4260    3.6189
    M4        2.9087    4.2625
    M5        2.7867    4.4491
    N1        1.0420   11.8987

Scattering factors as a function of energy: 

   1000.000      -30.16965       27.94595    
   1100.000      -28.07165       26.43858    
   1200.000      -26.36502       24.57545    
   1300.000      -25.13891       22.88076    
   1400.000      -24.22934       21.33656    
   1500.000      -23.58269       19.92382    
   1600.000      -23.15131       18.63012    
   1700.000      -22.90836       17.44294    
   1800.000      -22.83631       16.35172    
   1900.000      -22.92647       15.34721    
   2000.000      -23.42604       14.45552    
   2100.000      -23.86398       13.63572    
   2200.000      -24.68753       12.89876    
   2300.000      -25.54687       12.22730    
   2400.000      -26.73421       11.60685    
   2500.000      -28.45748       11.03223    
   2600.000      -31.32846       10.49891    
   2689.000      -37.14799       10.05573    
   2694.000      -37.73254       10.03166    
   2699.000      -38.37136       10.00767    
   2700.000      -38.50638       10.00288    
   2704.000      -39.07296       9.983768    
   2709.000      -39.84760       9.959949    
   2714.000      -40.70786       9.936215    
   2719.000      -41.66951       9.912564    
   2724.000      -42.75219       9.888997    
   2729.000      -43.98123       9.865511    
   2734.000      -45.38929       9.842109    
   2739.000      -47.01996       9.818788    
   2744.000      -48.93215       9.795548    
   2749.000      -51.20866       9.772389    
   2754.000      -53.96926       9.749312    
   2759.000      -57.39690       9.726315    
   2764.000      -61.78758       9.703398    
   2769.000      -67.66721       9.680559    
   2774.000      -76.10204       9.657801    
   2779.000      -89.83134       9.635120    
   2784.000      -121.0840       9.612519    
   2789.000      -124.4476       112.4560    
   2794.000      -79.30419       101.1891    
   2799.000      -59.57150       91.44521    
   2800.000      -56.77449       89.65852    
   2804.000      -47.87098       82.99573    
   2809.000      -40.26799       75.64818    
   2811.000      -37.97924       72.98086    
   2814.000      -35.14656       69.24262    
   2816.000      -33.59079       66.91290    
   2819.000      -31.66781       63.64346    
   2821.000      -30.61889       61.60352    
   2824.000      -29.33973       58.73751    
   2826.000      -28.65676       56.94701    
   2829.000      -27.85063       54.42831    
   2831.000      -27.44124       52.85310    
   2834.000      -26.99450       50.63479    
   2836.000      -26.79633       49.24608    
   2839.000      -26.62984       47.28810    
   2841.000      -26.60031       46.06095    
   2844.000      -26.66510       44.32925    
   2846.000      -26.77567       43.24298    
   2849.000      -27.03544       41.70847    
   2851.000      -27.26808       40.74492    
   2854.000      -27.70246       39.38276    
   2856.000      -28.04768       38.52683    
   2859.000      -28.64840       37.31574    
   2861.000      -29.10468       36.55408    
   2864.000      -29.87533       35.47578    
   2866.000      -30.44911       34.79729    
   2869.000      -31.40644       33.83606    
   2871.000      -32.11425       33.23085    
   2874.000      -33.29214       32.37316    
   2876.000      -34.16382       31.83299    
   2879.000      -35.62142       31.06715    
   2881.000      -36.70860       30.58466    
   2884.000      -38.54746       29.90058    
   2886.000      -39.93944       29.46962    
   2891.000      -44.20617       28.47361    
   2896.000      -50.22847       27.58447    
   2900.000      -57.46263       26.94284    
   2901.000      -59.86667       26.79150    
   2906.000      -81.44388       26.08556    
   2911.000      -84.60630       96.18852    
   2916.000      -52.38234       84.51274    
   2921.000      -39.21894       75.04675    
   2926.000      -32.10177       67.33070    
   2931.000      -27.97454       61.00992    
   2936.000      -25.56649       55.80873    
   2941.000      -24.22531       51.51328    
   2946.000      -23.57627       47.95528    
   2951.000      -23.38972       45.00299    
   2956.000      -23.51866       42.55173    
   2961.000      -23.89247       40.51899    
   2966.000      -24.39402       38.83875    
   2971.000      -25.00535       37.45858    
   2976.000      -25.69648       36.33647    
   2981.000      -26.44691       35.43914    
   2986.000      -27.24301       34.74002    
   2991.000      -28.07572       34.21830    
   2996.000      -28.93956       33.85771    
   3000.000      -29.65088       33.67687    
   3001.000      -29.73406       33.58202    
   3006.000      -30.14973       33.15042    
   3100.000      -24.91087       31.66025    
   3200.000      -22.33870       29.90698    
   3300.000      -21.02575       28.37274    
   3329.000      -20.89316       27.96364    
   3334.000      -20.88593       27.89462    
   3339.000      -20.88422       27.82603    
   3344.000      -20.88852       27.75787    
   3349.000      -20.89943       27.69014    
   3354.000      -20.91768       27.62283    
   3359.000      -20.94415       27.55595    
   3364.000      -20.97996       27.48948    
   3369.000      -21.02650       27.42342    
   3374.000      -21.08557       27.35778    
   3379.000      -21.15949       27.29254    
   3384.000      -21.25143       27.22771    
   3389.000      -21.36574       27.16328    
   3394.000      -21.50872       27.09925    
   3399.000      -21.68989       27.03561    
   3400.000      -21.73192       27.02292    
   3404.000      -21.92472       26.97236    
   3409.000      -22.24078       26.90950    
   3414.000      -22.69515       26.84703    
   3419.000      -23.44062       26.78494    
   3424.000      -25.27588       26.72323    
   3429.000      -24.58205       31.46980    
   3434.000      -22.99744       31.39270    
   3439.000      -22.17705       31.31616    
   3444.000      -21.60513       31.24016    
   3449.000      -21.15879       31.16471    
   3454.000      -20.78871       31.08980    
   3459.000      -20.47014       31.01543    
   3464.000      -20.18885       30.94159    
   3469.000      -19.93585       30.86828    
   3474.000      -19.70515       30.79549    
   3479.000      -19.49252       30.72322    
   3484.000      -19.29486       30.65146    
   3489.000      -19.10981       30.58021    
