  Element 79: Au      Atomic mass:  196.9665

  Edge          keV         A
    K        80.7249    0.1536
    L-I      14.3528    0.8638
    L-II     13.7336    0.9028
    L-III    11.9187    1.0402
    M1        3.4249    3.6201
    M2        3.1478    3.9388
    M3        2.7430    4.5200
    M4        2.2911    5.4116
    M5        2.2057    5.6211

Scattering factors as a function of energy: 

   1000.000      -27.07822       20.80327    
   1100.000      -25.91527       19.21436    
   1200.000      -25.13757       17.73887    
   1300.000      -24.69306       16.37703    
   1400.000      -24.74085       15.15569    
   1500.000      -25.05004       14.09253    
   1600.000      -25.63365       13.14674    
   1700.000      -26.45094       12.31265    
   1800.000      -27.47042       11.56011    
   1900.000      -28.99584       10.87565    
   2000.000      -31.46797       10.25067    
   2100.000      -36.83363       9.678119    
   2108.000      -37.61783       9.634389    
   2113.000      -38.16402       9.607208    
   2118.000      -38.76136       9.580140    
   2123.000      -39.41806       9.553185    
   2128.000      -40.14430       9.526342    
   2133.000      -40.95257       9.499613    
   2138.000      -41.85863       9.472992    
   2143.000      -42.88232       9.446484    
   2148.000      -44.04939       9.420084    
   2153.000      -45.39336       9.393792    
   2158.000      -46.95908       9.367611    
   2163.000      -48.80819       9.341537    
   2168.000      -51.02725       9.315570    
   2173.000      -53.74336       9.289709    
   2178.000      -57.15088       9.263955    
   2183.000      -61.59850       9.238359    
   2188.000      -67.59164       9.213009    
   2193.000      -76.31832       9.187761    
   2194.000      -78.58818       9.182725    
   2198.000      -90.75871       9.162620    
   2199.000      -94.99379       9.157603    
   2200.000      -100.0144       9.152591    
   2203.000      -124.2656       9.137579    
   2204.000      -139.8654       9.132584    
   2208.000      -125.9958       120.0295    
   2209.000      -111.0505       117.6245    
   2213.000      -77.75392       108.5859    
   2214.000      -72.42262       106.4635    
   2218.000      -56.57197       98.47851    
   2219.000      -53.56043       96.60150    
   2223.000      -43.96979       89.53574    
   2224.000      -42.05460       87.87383    
   2228.000      -35.80547       81.61124    
   2229.000      -34.53734       80.13669    
   2233.000      -30.38788       74.57702    
   2234.000      -29.54971       73.26721    
   2238.000      -26.84953       68.32361    
   2239.000      -26.31914       67.15773    
   2243.000      -24.69048       62.75495    
   2244.000      -24.39525       61.71603    
   2248.000      -23.60992       57.78869    
   2249.000      -23.50596       56.86100    
   2253.000      -23.43180       53.35231    
   2254.000      -23.49572       52.52305    
   2258.000      -24.07394       49.38348    
   2259.000      -24.29970       48.64071    
   2263.000      -25.54243       45.82711    
   2264.000      -25.94294       45.16111    
   2268.000      -27.95247       42.63579    
   2269.000      -28.56888       42.03742    
   2273.000      -31.59901       39.76741    
   2274.000      -32.52489       39.22926    
   2278.000      -37.16002       37.18556    
   2279.000      -38.62050       36.70073    
   2283.000      -46.42973       34.85826    
   2284.000      -49.12089       34.42081    
   2288.000      -67.00813       32.75712    
   2289.000      -75.79674       32.36184    
   2293.000      -76.78823       106.2556    
   2294.000      -65.12413       104.3139    
   2298.000      -40.77425       96.98614    
   2299.000      -36.99488       95.25887    
   2300.000      -33.69753       93.57124    
   2303.000      -25.86468       88.73581    
   2304.000      -23.76339       87.19688    
   2309.000      -15.74695       80.00703    
   2314.000      -10.48568       73.58559    
   2319.000      -6.931581       67.84105    
   2324.000      -4.520303       62.69467    
   2329.000      -2.914917       58.07675    
   2334.000      -1.894946       53.92702    
   2339.000      -1.308761       50.19266    
   2344.000      -1.048129       46.82683    
   2349.000      -1.033799       43.78904    
   2354.000      -1.206490       41.04312    
   2359.000      -1.521185       38.55774    
   2364.000      -1.943355       36.30481    
   2369.000      -2.446194       34.25995    
   2374.000      -3.008883       32.40123    
   2379.000      -3.615031       30.70959    
   2384.000      -4.251866       29.16781    
   2389.000      -4.909246       27.76090    
   2400.000      -6.391380       25.07603    
   2500.000      -18.21261       14.13769    
   2600.000      -27.30669       11.62484    
   2646.000      -31.62683       11.39371    
   2651.000      -32.13177       11.39452    
   2656.000      -32.64653       11.40041    
   2661.000      -33.17214       11.41143    
   2666.000      -33.70965       11.42766    
   2671.000      -34.26033       11.44917    
   2676.000      -34.82553       11.47608    
   2681.000      -35.40686       11.50852    
   2686.000      -36.00624       11.54662    
   2691.000      -36.62592       11.59056    
   2696.000      -37.26876       11.64053    
   2700.000      -37.80206       11.68497    
   2701.000      -37.93830       11.69672    
   2706.000      -38.63936       11.75937    
   2711.000      -39.37842       11.82874    
   2716.000      -40.16518       11.90511    
   2721.000      -41.01473       11.98877    
   2726.000      -41.95362       12.08008    
   2731.000      -43.03569       12.17939    
   2736.000      -44.40408       12.28711    
   2741.000      -46.80254       12.40365    
   2746.000      -46.86337       17.00172    
   2751.000      -46.12131       17.13327    
   2756.000      -46.10545       17.27520    
   2761.000      -46.33907       17.42808    
   2766.000      -46.70955       17.59257    
   2771.000      -47.17257       17.76936    
   2776.000      -47.70662       17.95920    
   2781.000      -48.29990       18.16290    
   2786.000      -48.94567       18.38133    
   2791.000      -49.63990       18.61545    
   2796.000      -50.38039       18.86628    
   2800.000      -51.00528       19.07970    
   2801.000      -51.16602       19.13492    
   2806.000      -51.99641       19.42256    
   2811.000      -52.87196       19.73050    
   2816.000      -53.79332       20.06013    
   2821.000      -54.76171       20.41298    
   2826.000      -55.77852       20.79066    
   2831.000      -56.84559       21.19496    
   2836.000      -57.96484       21.62778    
   2841.000      -59.13866       22.09121    
