  Element 56: Ba      Atomic mass:  137.3300

  Edge          keV         A
    K        37.4406    0.3311
    L-I       5.9888    2.0703
    L-II      5.6236    2.2047
    L-III     5.2470    2.3630
    M1        1.2928    9.5904
    M2        1.1367   10.9074
    M3        1.0622   11.6724

Scattering factors as a function of energy: 

   1000.000      -22.50987       27.61686    
   1100.000      -19.76816       28.03894    
   1195.000      -15.91881       26.63143    
   1200.000      -15.76623       26.48647    
   1205.000      -15.62247       26.34422    
   1210.000      -15.48690       26.20462    
   1215.000      -15.35903       26.06763    
   1220.000      -15.23851       25.93320    
   1225.000      -15.12508       25.80127    
   1230.000      -15.01860       25.67180    
   1235.000      -14.91905       25.54476    
   1240.000      -14.82652       25.42010    
   1245.000      -14.74129       25.29777    
   1250.000      -14.66381       25.17774    
   1255.000      -14.59486       25.05997    
   1260.000      -14.53564       24.94444    
   1265.000      -14.48810       24.83109    
   1270.000      -14.45548       24.71990    
   1275.000      -14.44359       24.61085    
   1280.000      -14.46427       24.50389    
   1285.000      -14.54783       24.39899    
   1290.000      -14.82710       24.29614    
   1295.000      -14.82066       25.34803    
   1300.000      -14.29326       25.24633    
   1305.000      -14.01047       25.14664    
   1310.000      -13.79761       25.04896    
   1315.000      -13.61932       24.95324    
   1320.000      -13.18669       24.85880    
   1325.000      -13.04101       24.76165    
   1330.000      -12.90650       24.66634    
   1335.000      -12.78048       24.57286    
   1340.000      -12.66133       24.48119    
   1345.000      -12.54789       24.39132    
   1350.000      -12.22688       24.29958    
   1355.000      -12.12080       24.20925    
   1360.000      -12.01855       24.12064    
   1365.000      -11.91969       24.03374    
   1370.000      -11.82390       23.94854    
   1375.000      -11.73089       23.86503    
   1380.000      -11.64041       23.78320    
   1385.000      -10.99886       23.68633    
   1390.000      -10.90132       23.58709    
   1400.000      -10.71326       23.39162    
   1500.000      -8.891019       21.60088    
   1600.000      -7.710529       19.92730    
   1700.000      -6.847774       18.44497    
   1800.000      -6.210616       17.11423    
   1900.000      -5.697395       15.92055    
   2000.000      -5.307000       14.84463    
   2100.000      -5.012712       13.87129    
   2200.000      -4.824657       12.99348    
   2300.000      -4.686803       12.19803    
   2400.000      -4.581717       11.47589    
   2500.000      -4.516646       10.81595    
   2600.000      -4.491701       10.21137    
   2700.000      -4.489719       9.657150    
   2800.000      -4.513659       9.146895    
   2900.000      -4.563311       8.676024    
   3000.000      -4.647170       8.240548    
   3100.000      -4.715938       7.847602    
   3200.000      -4.800720       7.483248    
   3300.000      -4.895973       7.144876    
   3400.000      -5.002856       6.829931    
   3500.000      -5.120974       6.536231    
   3600.000      -5.250496       6.261842    
   3700.000      -5.392191       6.005066    
   3800.000      -5.546089       5.764371    
   3900.000      -5.713569       5.538398    
   4000.000      -5.896114       5.325933    
   4100.000      -6.095723       5.125889    
   4200.000      -6.315062       4.937284    
   4300.000      -6.557701       4.759238    
   4400.000      -6.828477       4.590954    
   4500.000      -7.134099       4.431710    
   4600.000      -7.484061       4.280851    
   4700.000      -7.899642       4.138192    
   4800.000      -8.390896       4.002802    
   4900.000      -9.004017       3.874175    
   5000.000      -9.825839       3.752085    
   5100.000      -11.05701       3.635964    
   5150.000      -12.03180       3.579989    
   5155.000      -12.15535       3.574466    
   5160.000      -12.28568       3.568956    
   5165.000      -12.42364       3.563459    
   5170.000      -12.57016       3.557975    
   5175.000      -12.72640       3.552504    
   5180.000      -12.89375       3.547047    
   5185.000      -13.07398       3.541602    
   5190.000      -13.26925       3.536170    
   5195.000      -13.48233       3.530751    
   5200.000      -13.71683       3.525346    
   5205.000      -13.97764       3.519953    
   5210.000      -14.27144       3.514573    
   5215.000      -14.60789       3.509206    
   5220.000      -15.00154       3.503851    
   5225.000      -15.47613       3.498509    
   5230.000      -16.07378       3.493180    
   5235.000      -16.88161       3.487864    
   5240.000      -18.13274       3.482560    
   5245.000      -21.04550       3.477269    
   5250.000      -20.10872       10.80934    
   5255.000      -17.80339       10.78619    
   5260.000      -16.66092       10.76315    
   5265.000      -15.89555       10.74022    
   5270.000      -15.31987       10.71739    
   5275.000      -14.85900       10.69468    
   5280.000      -14.47530       10.67206    
   5285.000      -14.14714       10.64956    
   5290.000      -13.86088       10.62715    
   5295.000      -13.60747       10.60485    
   5300.000      -13.38050       10.58265    
   5305.000      -13.17535       10.56056    
   5310.000      -12.98846       10.53857    
   5315.000      -12.81716       10.51668    
   5320.000      -12.65932       10.49489    
   5325.000      -12.51324       10.47320    
   5330.000      -12.37753       10.45161    
   5335.000      -12.25105       10.43011    
   5340.000      -12.13285       10.40872    
   5345.000      -12.02214       10.38742    
   5400.000      -11.15674       10.15945    
   5500.000      -10.58538       9.772698    
   5526.000      -10.61723       9.677614    
   5531.000      -10.63440       9.659575    
   5536.000      -10.65575       9.641615    
   5541.000      -10.68166       9.623732    
   5546.000      -10.71256       9.605926    
   5551.000      -10.74901       9.588197    
   5556.000      -10.79165       9.570545    
   5561.000      -10.84131       9.552971    
   5566.000      -10.89903       9.535471    
   5571.000      -10.96614       9.518046    
   5576.000      -11.04435       9.500696    
   5581.000      -11.13598       9.483422    
   5586.000      -11.24424       9.466222    
   5591.000      -11.37370       9.449095    
   5596.000      -11.53126       9.432040    
   5600.000      -11.68471       9.418451    
   5601.000      -11.72792       9.415061    
   5606.000      -11.98571       9.398157    
