  Element 83: Bi      Atomic mass:  208.9804

  Edge          keV         A
    K        90.5259    0.1370
    L-I      16.3875    0.7566
    L-II     15.7111    0.7892
    L-III    13.4186    0.9240
    M1        3.9991    3.1003
    M2        3.6963    3.3543
    M3        3.1769    3.9027
    M4        2.6876    4.6132
    M5        2.5796    4.8063

Scattering factors as a function of energy: 

   1000.000      -28.92583       25.93918    
   1100.000      -27.05946       24.07631    
   1200.000      -25.71317       22.36768    
   1300.000      -24.72937       20.80092    
   1400.000      -24.04227       19.36260    
   1500.000      -23.59857       18.04181    
   1600.000      -23.39385       16.82844    
   1700.000      -23.36866       15.71882    
   1800.000      -23.80129       14.71514    
   1900.000      -24.37946       13.83174    
   2000.000      -24.97093       13.03881    
   2100.000      -25.81681       12.31184    
   2200.000      -27.01257       11.64354    
   2300.000      -28.78029       11.02754    
   2400.000      -31.78280       10.45846    
   2482.000      -37.32551       10.02349    
   2487.000      -37.91362       9.997828    
   2492.000      -38.55724       9.972266    
   2497.000      -39.26511       9.946800    
   2500.000      -39.72506       9.931566    
   2502.000      -40.04801       9.921430    
   2507.000      -40.91908       9.896153    
   2512.000      -41.89485       9.870972    
   2517.000      -42.99603       9.845884    
   2522.000      -44.24933       9.820889    
   2527.000      -45.68933       9.795988    
   2532.000      -47.36234       9.771178    
   2537.000      -49.33110       9.746462    
   2542.000      -51.68410       9.721835    
   2547.000      -54.54979       9.697301    
   2552.000      -58.12495       9.672856    
   2557.000      -62.72915       9.648502    
   2562.000      -68.93244       9.624238    
   2567.000      -77.89632       9.600063    
   2572.000      -92.62760       9.575976    
   2577.000      -126.8357       9.551979    
   2582.000      -126.7107       119.1968    
   2587.000      -80.14914       108.4065    
   2590.000      -66.22384       102.5436    
   2592.000      -59.24579       98.86700    
   2595.000      -51.00135       93.67616    
   2597.000      -46.58921       90.41843    
   2600.000      -41.17049       85.81415    
   2602.000      -38.19278       82.92155    
   2605.000      -34.47851       78.83013    
   2607.000      -32.41822       76.25740    
   2610.000      -29.84108       72.61546    
   2612.000      -28.41472       70.32314    
   2615.000      -26.64544       67.07504    
   2617.000      -25.68106       65.02898    
   2620.000      -24.51357       62.12752    
   2622.000      -23.90031       60.29808    
   2625.000      -23.19901       57.70139    
   2627.000      -22.86326       56.06286    
   2630.000      -22.53792       53.73518    
   2632.000      -22.43078       52.26534    
   2635.000      -22.42238       50.17531    
   2637.000      -22.51291       48.85428    
   2640.000      -22.78637       46.97458    
   2642.000      -23.05819       45.78566    
   2645.000      -23.59908       44.09238    
   2647.000      -24.04942       43.02040    
   2650.000      -24.86417       41.49265    
   2652.000      -25.50493       40.52482    
   2655.000      -26.62495       39.14429    
   2657.000      -27.48776       38.26895    
   2660.000      -28.98025       37.01957    
   2662.000      -30.12662       36.22688    
   2665.000      -32.11892       35.09451    
   2667.000      -33.66574       34.37546    
   2670.000      -36.40414       33.34767    
   2672.000      -38.58606       32.69464    
   2675.000      -42.60208       31.76046    
   2677.000      -45.97598       31.16644    
   2680.000      -52.72606       30.31620    
   2685.000      -76.00516       29.00039    
   2690.000      -76.31756       101.8997    
   2695.000      -44.87302       93.17661    
   2700.000      -30.92046       85.49509    
   2705.000      -22.58417       78.71609    
   2710.000      -17.13106       72.71970    
   2715.000      -13.42455       67.40462    
   2720.000      -10.90323       62.68322    
   2725.000      -9.159291       58.48094    
   2730.000      -7.994401       54.73296    
   2735.000      -7.255057       51.38413    
   2740.000      -6.832887       48.38621    
   2745.000      -6.649452       45.69801    
   2750.000      -6.646670       43.28334    
   2755.000      -6.780914       41.11108    
   2760.000      -7.018969       39.15418    
   2765.000      -7.335357       37.38876    
   2770.000      -7.710317       35.79431    
   2775.000      -8.128533       34.35260    
   2780.000      -8.577975       33.04793    
   2785.000      -9.049289       31.86628    
   2800.000      -10.52817       28.94507    
   2900.000      -18.99498       22.53312    
   3000.000      -22.16339       30.09947    
   3079.000      -21.17698       28.87595    
   3084.000      -21.14991       28.80081    
   3089.000      -21.12849       28.72599    
   3094.000      -21.11322       28.65147    
   3099.000      -21.10467       28.57726    
   3100.000      -21.10383       28.56245    
   3104.000      -21.10354       28.50335    
   3109.000      -21.11067       28.42974    
   3114.000      -21.12713       28.35644    
   3119.000      -21.15426       28.28344    
   3124.000      -21.19375       28.21074    
   3129.000      -21.24782       28.13833    
   3134.000      -21.31946       28.06622    
   3139.000      -21.41276       27.99440    
   3144.000      -21.53358       27.92287    
   3149.000      -21.69071       27.85163    
   3154.000      -21.89824       27.78069    
   3159.000      -22.18081       27.71002    
   3164.000      -22.58774       27.63965    
   3169.000      -23.24338       27.56956    
   3174.000      -24.68061       27.49974    
   3179.000      -25.08587       32.24150    
   3184.000      -23.12040       32.15486    
   3189.000      -22.21132       32.06871    
   3194.000      -21.59298       31.98305    
   3199.000      -21.11456       31.89788    
   3200.000      -21.02996       31.88090    
   3204.000      -20.71910       31.81318    
   3209.000      -20.37888       31.72897    
   3214.000      -20.07829       31.64523    
   3219.000      -19.80759       31.56195    
   3224.000      -19.56201       31.47915    
   3229.000      -19.33378       31.39682    
   3234.000      -19.12126       31.31494    
   3239.000      -18.92198       31.23352    
   3244.000      -18.73407       31.15255    
   3249.000      -18.55602       31.07202    
   3254.000      -18.38666       30.99194    
   3259.000      -18.22501       30.91230    
   3264.000      -18.07027       30.83310    
