  Element 35: Br      Atomic mass:   79.9040

  Edge          keV         A
    K        13.4737    0.9202
    L-I       1.7820    6.9576
    L-II      1.5960    7.7684
    L-III     1.5499    7.9995

Scattering factors as a function of energy: 

   1000.000      -8.036858       4.541822    
   1100.000      -8.491840       3.999297    
   1200.000      -9.148798       3.551347    
   1300.000      -10.13404       3.176816    
   1400.000      -11.77075       2.862523    
   1452.000      -13.28436       2.718071    
   1457.000      -13.48415       2.704786    
   1462.000      -13.69888       2.691602    
   1467.000      -13.93080       2.678519    
   1472.000      -14.18266       2.665535    
   1477.000      -14.45787       2.652649    
   1482.000      -14.76070       2.639860    
   1487.000      -15.09659       2.627168    
   1492.000      -15.47256       2.614571    
   1497.000      -15.89786       2.602067    
   1499.000      -16.08443       2.597092    
   1500.000      -16.18171       2.594610    
   1502.000      -16.38490       2.589657    
   1504.000      -16.60064       2.584719    
   1507.000      -16.95082       2.577339    
   1509.000      -17.20439       2.572438    
   1512.000      -17.61991       2.565112    
   1514.000      -17.92394       2.560247    
   1517.000      -18.42798       2.552976    
   1519.000      -18.80157       2.548146    
   1522.000      -19.43028       2.540929    
   1524.000      -19.90413       2.536134    
   1527.000      -20.71761       2.528970    
   1529.000      -21.34487       2.524211    
   1532.000      -22.45263       2.517099    
   1534.000      -23.33611       2.512375    
   1537.000      -24.96769       2.505314    
   1539.000      -26.34500       2.500624    
   1542.000      -29.11411       2.493615    
   1544.000      -31.75806       2.488960    
   1547.000      -38.57811       2.482001    
   1549.000      -50.49570       2.477379    
   1552.000      -40.44004       35.50607    
   1554.000      -32.31065       34.08927    
   1557.000      -25.63535       32.09894    
   1559.000      -22.70473       30.85601    
   1562.000      -19.50630       29.10798    
   1564.000      -17.90690       28.01516    
   1567.000      -16.06470       26.47656    
   1569.000      -15.12528       25.51361    
   1572.000      -14.06029       24.15639    
   1574.000      -13.54720       23.30604    
   1577.000      -13.04006       22.10626    
   1579.000      -12.86918       21.35375    
   1582.000      -12.87074       20.29091    
   1584.000      -13.06363       19.62359    
   1587.000      -13.72208       18.68010    
   1589.000      -14.51146       18.08711    
   1592.000      -16.69315       17.24786    
   1594.000      -19.83826       16.71985    
   1597.000      -22.96853       32.57865    
   1599.000      -16.37265       31.41839    
   1600.000      -14.57297       30.85911    
   1602.000      -11.99874       29.78049    
   1604.000      -10.16738       28.75266    
   1607.000      -8.177446       27.30023    
   1609.000      -7.170943       26.38785    
   1612.000      -5.981576       25.09726    
   1614.000      -5.348650       24.28573    
   1617.000      -4.579884       23.13667    
   1619.000      -4.164134       22.41342    
   1622.000      -3.656223       21.38836    
   1624.000      -3.381962       20.74254    
   1627.000      -3.049439       19.82635    
   1629.000      -2.873385       19.24857    
   1632.000      -2.665801       18.42815    
   1634.000      -2.560096       17.91029    
   1637.000      -2.443242       17.17429    
   1639.000      -2.389571       16.70926    
   1642.000      -2.340247       16.04782    
   1644.000      -2.325584       15.62953    
   1647.000      -2.327165       15.03404    
   1649.000      -2.342053       14.65713    
   1654.000      -2.419770       13.77993    
   1659.000      -2.544337       12.98729    
   1664.000      -2.704821       12.26993    
   1669.000      -2.892847       11.61970    
   1674.000      -3.101903       11.02945    
   1679.000      -3.327222       10.49288    
   1684.000      -3.564715       10.00446    
   1685.000      -3.613409       9.912112    
   1689.000      -3.811518       9.559278    
   1690.000      -3.861789       9.475039    
   1694.000      -4.065375       9.153027    
   1695.000      -4.116838       9.076099    
   1700.000      -4.376976       8.711550    
   1705.000      -4.641063       8.378082    
   1710.000      -4.908333       8.072757    
   1715.000      -5.178344       7.792965    
   1720.000      -5.450947       7.536383    
   1725.000      -5.726275       7.300941    
   1730.000      -6.004750       7.084795    
   1735.000      -6.287126       6.886295    
   1740.000      -6.574561       6.703973    
   1745.000      -6.868773       6.536510    
   1750.000      -7.172302       6.382732    
   1755.000      -7.489030       6.241585    
   1760.000      -7.825247       6.112125    
   1765.000      -8.192121       5.993511    
   1770.000      -8.612617       5.884986    
   1775.000      -9.148037       5.785875    
   1780.000      -10.11813       5.695576    
   1785.000      -10.07209       7.537114    
   1790.000      -9.672852       7.457200    
   1795.000      -9.578499       7.384732    
   1800.000      -9.583107       7.319335    
   1805.000      -9.637765       7.260674    
   1810.000      -9.723044       7.208460    
   1815.000      -9.829310       7.162437    
   1820.000      -9.951138       7.122391    
   1825.000      -10.08522       7.088134    
   1830.000      -10.22945       7.059514    
   1835.000      -10.38243       7.036406    
   1840.000      -10.54320       7.018716    
   1845.000      -10.71116       7.006373    
   1850.000      -10.88588       6.999335    
   1855.000      -11.06713       6.997584    
   1860.000      -11.25477       7.001127    
   1865.000      -11.44877       7.009995    
   1870.000      -11.64915       7.024246    
   1875.000      -11.85607       7.043959    
   1880.000      -12.06963       7.069240    
   1900.000      -12.99514       7.229058    
   2000.000      -20.28304       10.18979    
   2100.000      -3.428842       11.77834    
   2200.000      -2.692329       10.99608    
   2300.000      -2.131646       10.30473    
   2400.000      -1.617140       9.664959    
   2500.000      -1.260421       9.080627    
   2600.000     -0.9760800       8.548901    
   2700.000     -0.7479268       8.063488    
   2800.000     -0.5639918       7.619036    
   2900.000     -0.4148106       7.210950    
   3000.000     -0.2901239       6.835279    
   3100.000     -0.1928255       6.487295    
   3200.000     -0.1157074       6.165504    
   3300.000     -5.4228805E-02   5.867466    
