  Element 48: Cd      Atomic mass:  112.4100

  Edge          keV         A
    K        26.7112    0.4642
    L-I       4.0180    3.0857
    L-II      3.7270    3.3266
    L-III     3.5375    3.5049

Scattering factors as a function of energy: 

   1000.000      -8.823250       18.97439    
   1100.000      -7.509869       16.99037    
   1200.000      -6.612541       15.28803    
   1300.000      -6.008737       13.81915    
   1400.000      -5.608867       12.55004    
   1500.000      -5.340063       11.44427    
   1600.000      -5.177022       10.47541    
   1700.000      -5.210543       9.636207    
   1800.000      -5.188063       8.898671    
   1900.000      -5.212939       8.242898    
   2000.000      -5.277174       7.656940    
   2100.000      -5.379387       7.131240    
   2200.000      -5.508231       6.657531    
   2300.000      -5.665823       6.229008    
   2400.000      -5.851851       5.840010    
   2500.000      -6.119618       5.487723    
   2600.000      -6.367431       5.169758    
   2700.000      -6.682043       4.881777    
   2800.000      -7.009726       4.617664    
   2900.000      -7.392314       4.374723    
   3000.000      -7.850162       4.150704    
   3100.000      -8.397558       3.947763    
   3200.000      -9.091962       3.760025    
   3300.000      -10.03327       3.585961    
   3400.000      -11.48338       3.424232    
   3440.000      -12.38005       3.362727    
   3445.000      -12.51615       3.355161    
   3450.000      -12.65946       3.347622    
   3455.000      -12.81081       3.340109    
   3460.000      -12.97119       3.332622    
   3465.000      -13.14176       3.325162    
   3470.000      -13.32398       3.317728    
   3475.000      -13.51959       3.310320    
   3480.000      -13.73081       3.302938    
   3485.000      -13.96041       3.295582    
   3490.000      -14.21207       3.288251    
   3495.000      -14.49061       3.280946    
   3500.000      -14.80277       3.273666    
   3505.000      -15.15808       3.266411    
   3510.000      -15.57093       3.259182    
   3515.000      -16.06448       3.251978    
   3520.000      -16.67944       3.244799    
   3525.000      -17.49853       3.237644    
   3530.000      -18.73539       3.230515    
   3535.000      -21.38158       3.223409    
   3540.000      -21.39849       10.76738    
   3545.000      -18.76538       10.74802    
   3550.000      -17.55001       10.72867    
   3555.000      -16.75658       10.70934    
   3560.000      -16.17020       10.69001    
   3565.000      -15.70758       10.67069    
   3570.000      -15.32772       10.65139    
   3575.000      -15.00730       10.63209    
   3580.000      -14.73188       10.61281    
   3585.000      -14.49185       10.59353    
   3590.000      -14.28054       10.57427    
   3595.000      -14.09314       10.55502    
   3600.000      -13.92608       10.53578    
   3605.000      -13.77664       10.51655    
   3610.000      -13.64277       10.49733    
   3615.000      -13.52284       10.47813    
   3620.000      -13.41560       10.45894    
   3625.000      -13.32007       10.43976    
   3630.000      -13.23553       10.42059    
   3630.000      -13.23553       10.42059    
   3635.000      -13.16144       10.40143    
   3635.000      -13.16144       10.40143    
   3640.000      -13.09742       10.38229    
   3645.000      -13.04329       10.36316    
   3650.000      -12.99901       10.34405    
   3655.000      -12.96470       10.32495    
   3660.000      -12.94069       10.30586    
   3665.000      -12.92752       10.28679    
   3670.000      -12.92597       10.26773    
   3675.000      -12.93719       10.24868    
   3680.000      -12.96280       10.22965    
   3685.000      -13.00503       10.21063    
   3690.000      -13.06714       10.19163    
   3695.000      -13.15387       10.17264    
   3700.000      -13.27252       10.15367    
   3705.000      -13.43503       10.13471    
   3710.000      -13.66284       10.11576    
   3715.000      -14.00044       10.09684    
   3720.000      -14.56697       10.07792    
   3725.000      -15.98568       10.05903    
   3730.000      -15.43205       13.79229    
   3735.000      -14.18777       13.76774    
   3740.000      -13.53863       13.74320    
   3745.000      -13.08337       13.71867    
   3750.000      -12.72630       13.69415    
   3755.000      -12.42915       13.66965    
   3760.000      -12.17267       13.64516    
   3765.000      -11.94575       13.62068    
   3770.000      -11.74146       13.59621    
   3775.000      -11.55509       13.57175    
   3780.000      -11.38338       13.54731    
   3785.000      -11.22390       13.52288    
   3790.000      -11.07484       13.49846    
   3795.000      -10.93481       13.47406    
   3800.000      -10.80268       13.44967    
   3805.000      -10.67758       13.42530    
   3810.000      -10.55877       13.40094    
   3815.000      -10.44565       13.37660    
   3820.000      -10.33774       13.35227    
   3825.000      -10.23459       13.32795    
   3900.000      -9.105056       12.96520    
   3921.000      -8.902298       12.86434    
   3926.000      -8.861279       12.84038    
   3931.000      -8.823262       12.81643    
   3936.000      -8.788402       12.79251    
   3941.000      -8.756897       12.76861    
   3946.000      -8.728997       12.74472    
   3951.000      -8.705022       12.72086    
   3956.000      -8.685371       12.69701    
   3961.000      -8.670561       12.67319    
   3966.000      -8.661262       12.64939    
   3971.000      -8.658360       12.62561    
   3976.000      -8.663053       12.60185    
   3981.000      -8.677011       12.57811    
   3986.000      -8.702650       12.55439    
   3991.000      -8.743638       12.53070    
   3996.000      -8.805939       12.50702    
   4000.000      -8.877995       12.48810    
   4001.000      -8.900196       12.48337    
   4006.000      -9.048439       12.45974    
   4011.000      -9.309681       12.43613    
   4016.000      -9.992155       12.41255    
   4021.000      -9.699069       14.24475    
   4026.000      -9.064590       14.21965    
   4031.000      -8.723901       14.19458    
   4036.000      -8.478718       14.16953    
   4041.000      -8.281767       14.14451    
   4046.000      -8.114181       14.11952    
   4051.000      -7.966462       14.09455    
   4056.000      -7.833157       14.06961    
   4061.000      -7.710848       14.04470    
   4066.000      -7.597216       14.01982    
   4071.000      -7.490654       13.99496    
   4076.000      -7.389981       13.97013    
   4081.000      -7.294315       13.94532    
   4086.000      -7.202950       13.92055    
   4091.000      -7.115349       13.89580    
