  Element 58: Ce      Atomic mass:  140.1200

  Edge          keV         A
    K        40.4430    0.3066
    L-I       6.5488    1.8932
    L-II      6.1642    2.0114
    L-III     5.7234    2.1663
    M1        1.4346    8.6424
    M2        1.2728    9.7411
    M3        1.1854   10.4593

Scattering factors as a function of energy: 

   1000.000      -28.64749       32.60384    
   1100.000      -22.70432       28.03243    
   1175.000      -22.77847       25.40201    
   1180.000      -23.51438       25.24550    
   1185.000      -26.88535       25.09111    
   1190.000      -23.42013       29.16899    
   1195.000      -22.28643       28.97611    
   1200.000      -21.59769       28.78683    
   1205.000      -21.09044       28.60104    
   1210.000      -20.68533       28.41867    
   1215.000      -20.34775       28.23963    
   1220.000      -20.05962       28.06384    
   1225.000      -19.81057       27.89123    
   1230.000      -19.59445       27.72171    
   1235.000      -19.40777       27.55523    
   1240.000      -19.24916       27.39170    
   1245.000      -19.11923       27.23107    
   1250.000      -19.02128       27.07326    
   1255.000      -18.96309       26.91822    
   1260.000      -18.96236       26.76589    
   1265.000      -19.06639       26.61621    
   1270.000      -19.48610       26.46912    
   1275.000      -19.45118       28.15970    
   1280.000      -18.58933       27.99664    
   1285.000      -18.12666       27.83684    
   1290.000      -17.78160       27.68022    
   1295.000      -17.49664       27.52671    
   1300.000      -17.24961       27.37623    
   1305.000      -17.02945       27.22872    
   1310.000      -16.82981       27.08410    
   1315.000      -16.64663       26.94232    
   1320.000      -16.47718       26.80331    
   1325.000      -16.31950       26.66702    
   1330.000      -16.17212       26.53339    
   1335.000      -16.03394       26.40236    
   1337.000      -15.98108       26.35067    
   1340.000      -15.90415       26.27388    
   1342.000      -15.85441       26.22319    
   1345.000      -15.78202       26.14790    
   1347.000      -15.73520       26.09819    
   1350.000      -15.66707       26.02437    
   1352.000      -15.62300       25.97563    
   1355.000      -15.55888       25.90324    
   1357.000      -15.51744       25.85545    
   1360.000      -15.45718       25.78446    
   1362.000      -15.41826       25.73761    
   1365.000      -15.36175       25.66800    
   1367.000      -15.32531       25.62206    
   1370.000      -15.27250       25.55382    
   1372.000      -15.23853       25.50877    
   1377.000      -15.15796       25.39769    
   1382.000      -15.08375       25.28879    
   1387.000      -15.01624       25.18202    
   1392.000      -14.95595       25.07736    
   1397.000      -14.90371       24.97477    
   1400.000      -14.87673       24.91419    
   1402.000      -14.86079       24.87420    
   1407.000      -14.82924       24.77565    
   1412.000      -14.81240       24.67906    
   1417.000      -14.81633       24.58441    
   1422.000      -14.85340       24.49167    
   1427.000      -14.95562       24.40082    
   1432.000      -15.26892       24.31182    
   1437.000      -15.21637       25.38756    
   1442.000      -14.71944       25.29943    
   1447.000      -14.45092       25.21313    
   1452.000      -14.25022       25.12864    
   1457.000      -14.08330       25.04593    
   1462.000      -13.93703       24.96499    
   1467.000      -13.80491       24.88578    
   1472.000      -13.68323       24.80830    
   1477.000      -13.56963       24.73252    
   1482.000      -13.46256       24.65843    
   1487.000      -13.36088       24.58600    
   1492.000      -13.26362       24.51521    
   1497.000      -12.49119       24.43635    
   1500.000      -12.43497       24.38874    
   1502.000      -12.39817       24.35732    
   1507.000      -12.30840       24.27985    
   1512.000      -12.22152       24.20394    
   1517.000      -12.13727       24.12956    
   1522.000      -12.05551       24.05672    
   1527.000      -11.42284       23.97842    
   1532.000      -11.34261       23.89944    
   1600.000      -9.737353       22.71546    
   1700.000      -8.191876       21.11039    
   1800.000      -7.229443       19.60732    
   1900.000      -6.457988       18.26306    
   2000.000      -5.883067       17.04405    
   2100.000      -5.530411       15.94476    
   2200.000      -5.185652       14.95191    
   2300.000      -4.920824       14.04833    
   2400.000      -4.745120       13.22498    
   2500.000      -4.598607       12.47539    
   2600.000      -4.510445       11.78959    
   2700.000      -4.442779       11.16063    
   2800.000      -4.404726       10.58108    
   2900.000      -4.397740       10.04612    
   3000.000      -4.407748       9.551702    
   3100.000      -4.432357       9.099262    
   3200.000      -4.471935       8.679461    
   3300.000      -4.524789       8.289153    
   3400.000      -4.589618       7.925563    
   3500.000      -4.665445       7.586244    
   3600.000      -4.755152       7.269211    
   3700.000      -4.855419       6.972756    
   3800.000      -4.961529       6.694823    
   3900.000      -5.077651       6.433840    
   4000.000      -5.203027       6.188431    
   4100.000      -5.338552       5.957325    
   4200.000      -5.485722       5.739399    
   4300.000      -5.643892       5.533666    
   4400.000      -5.815090       5.339182    
   4500.000      -6.000983       5.155117    
   4600.000      -6.203743       4.980717    
   4700.000      -6.426210       4.815298    
   4800.000      -6.672161       4.658233    
   4900.000      -6.946693       4.508956    
   5000.000      -7.256903       4.366945    
   5100.000      -7.613030       4.231723    
   5200.000      -8.038206       4.103132    
   5300.000      -8.542641       3.980650    
   5400.000      -9.179435       3.863745    
   5500.000      -10.04587       3.752083    
   5600.000      -11.42287       3.645627    
   5626.000      -11.96471       3.618730    
   5631.000      -12.08514       3.613593    
   5636.000      -12.21220       3.608467    
   5641.000      -12.34665       3.603354    
   5646.000      -12.48945       3.598250    
   5651.000      -12.64171       3.593158    
   5656.000      -12.80478       3.588077    
   5661.000      -12.98034       3.583008    
   5666.000      -13.17050       3.577950    
   5671.000      -13.37794       3.572902    
   5676.000      -13.60613       3.567866    
   5681.000      -13.85974       3.562840    
   5686.000      -14.14516       3.557827    
   5691.000      -14.47164       3.552823    
   5696.000      -14.85302       3.547831    
