  Element 17: Cl      Atomic mass:   35.4530

  Edge          keV         A
    K         2.8224    4.3929

Scattering factors as a function of energy: 

   1000.000     -0.5094036       2.264047    
   1100.000     -0.5836217       1.945573    
   1200.000     -0.6630585       1.691453    
   1300.000     -0.7447295       1.485183    
   1400.000     -0.8275102       1.315281    
   1500.000     -0.9113036       1.173547    
   1600.000     -0.9966324       1.053989    
   1700.000      -1.084461      0.9521433    
   1800.000      -1.176147      0.8646266    
   1900.000      -1.273495      0.7888333    
   2000.000      -1.378905      0.7227301    
   2100.000      -1.495669      0.6647105    
   2200.000      -1.628514      0.6134903    
   2300.000      -1.784649      0.5680335    
   2400.000      -1.975974      0.5274955    
   2500.000      -2.224379      0.4911827    
   2600.000      -2.577353      0.4585206    
   2700.000      -3.173811      0.4290297    
   2725.000      -3.410601      0.4221040    
   2730.000      -3.465830      0.4207391    
   2735.000      -3.524365      0.4193808    
   2740.000      -3.586611      0.4180291    
   2745.000      -3.653035      0.4166840    
   2750.000      -3.724212      0.4153453    
   2755.000      -3.800832      0.4140131    
   2760.000      -3.883744      0.4126875    
   2765.000      -3.974025      0.4113681    
   2770.000      -4.073030      0.4100551    
   2775.000      -4.182546      0.4087484    
   2780.000      -4.304938      0.4074480    
   2785.000      -4.443494      0.4061537    
   2790.000      -4.602899      0.4048657    
   2795.000      -4.790251      0.4035838    
   2800.000      -5.016938      0.4023080    
   2805.000      -5.303148      0.4010383    
   2810.000      -5.689918      0.3997746    
   2815.000      -6.284248      0.3985169    
   2820.000      -7.593381      0.3972651    
   2825.000      -7.487523       4.091132    
   2830.000      -6.210019       4.081799    
   2835.000      -5.602006       4.072425    
   2840.000      -5.196812       4.063012    
   2845.000      -4.891421       4.053560    
   2850.000      -4.645709       4.044070    
   2855.000      -4.439748       4.034542    
   2860.000      -4.262229       4.024978    
   2865.000      -4.106061       4.015378    
   2870.000      -3.966549       4.005743    
   2875.000      -3.840379       3.996073    
   2880.000      -3.725159       3.986368    
   2885.000      -3.619092       3.976631    
   2890.000      -3.520782       3.966861    
   2895.000      -3.429147       3.957059    
   2900.000      -3.343309       3.947226    
   2905.000      -3.262563       3.937362    
   2910.000      -3.186320       3.927468    
   2915.000      -3.114097       3.917545    
   2920.000      -3.045478       3.907593    
   3000.000      -2.253173       3.744969    
   3100.000      -1.672992       3.552518    
   3200.000      -1.283600       3.376419    
   3300.000     -0.9974625       3.214800    
   3400.000     -0.7763457       3.066056    
   3500.000     -0.5998362       2.928802    
   3600.000     -0.4556484       2.801837    
   3700.000     -0.3218608       2.682946    
   3800.000     -0.2202149       2.569443    
   3900.000     -0.1338592       2.463078    
   4000.000     -6.0256433E-02   2.363246    
   4100.000      2.8289550E-03   2.269413    
   4200.000      5.7141654E-02   2.181099    
   4300.000      0.1040675       2.097874    
   4400.000      0.1447227       2.019347    
   4500.000      0.1800185       1.945166    
   4600.000      0.2107062       1.875012    
   4700.000      0.2374109       1.808594    
   4800.000      0.2606572       1.745648    
   4900.000      0.2808881       1.685933    
   5000.000      0.2984809       1.629229    
   5100.000      0.3127290       1.575342    
   5200.000      0.3259596       1.524103    
   5300.000      0.3373913       1.475318    
   5400.000      0.3472326       1.428832    
   5500.000      0.3556640       1.384501    
   5600.000      0.3628433       1.342193    
   5700.000      0.3705744       1.301696    
   5800.000      0.3756659       1.262913    
   5900.000      0.3798597       1.225814    
   6000.000      0.3832512       1.190300    
   6100.000      0.3859250       1.156284    
   6200.000      0.3879561       1.123681    
   6300.000      0.3894114       1.092414    
   6400.000      0.3903505       1.062411    
   6500.000      0.3908268       1.033604    
   6600.000      0.3908879       1.005931    
   6700.000      0.3905766      0.9793319    
   6800.000      0.3899312      0.9537525    
   6900.000      0.3889863      0.9291412    
   7000.000      0.3877727      0.9054496    
   7100.000      0.3863186      0.8826324    
   7200.000      0.3846491      0.8606471    
   7300.000      0.3827869      0.8394537    
   7400.000      0.3807526      0.8190148    
   7500.000      0.3785648      0.7992949    
   7600.000      0.3762403      0.7802607    
   7700.000      0.3737943      0.7618809    
   7800.000      0.3712406      0.7441257    
   7900.000      0.3685916      0.7269674    
   8000.000      0.3657462      0.7103800    
   8100.000      0.3629403      0.6943383    
   8200.000      0.3600700      0.6788188    
   8300.000      0.3571436      0.6637985    
   8400.000      0.3541687      0.6492569    
   8500.000      0.3511521      0.6351735    
   8600.000      0.3481000      0.6215295    
   8700.000      0.3450179      0.6083070    
   8800.000      0.3419108      0.5954887    
   8900.000      0.3387833      0.5830586    
   9000.000      0.3356797      0.5711015    
   9100.000      0.3325737      0.5595018    
   9200.000      0.3294690      0.5482453    
   9300.000      0.3263683      0.5373185    
   9400.000      0.3232746      0.5267088    
   9500.000      0.3201903      0.5164040    
   9600.000      0.3171177      0.5063925    
   9700.000      0.3140588      0.4966634    
   9800.000      0.3110154      0.4872060    
   9900.000      0.3079892      0.4780105    
   10000.00      0.3049815      0.4690671    
   10100.00      0.3019938      0.4603669    
   10200.00      0.2990272      0.4519012    
   10300.00      0.2960827      0.4436614    
   10400.00      0.2931612      0.4356399    
   10500.00      0.2902635      0.4278287    
   10600.00      0.2873904      0.4202208    
   10700.00      0.2845424      0.4128093    
   10800.00      0.2817201      0.4055872    
   10900.00      0.2789240      0.3985484    
   11000.00      0.2761543      0.3916866    
