  Element 27: Co      Atomic mass:   58.9332

  Edge          keV         A
    K         7.7089    1.6083

Scattering factors as a function of energy: 

   1000.000      -5.849933       13.31912    
   1100.000      -3.756015       11.71902    
   1200.000      -2.530938       10.41375    
   1300.000      -1.723545       9.327439    
   1400.000      -1.064670       8.378441    
   1500.000     -0.6692704       7.548138    
   1600.000     -0.4996130       6.835463    
   1700.000     -0.3188915       6.234347    
   1800.000     -0.1943357       5.709337    
   1900.000     -0.1132984       5.248006    
   2000.000     -5.9808154E-02   4.840550    
   2100.000     -2.8781427E-02   4.478692    
   2200.000     -1.4669727E-02   4.155824    
   2300.000     -1.3396024E-02   3.866503    
   2400.000     -2.1937484E-02   3.606211    
   2500.000     -3.8047634E-02   3.371170    
   2600.000     -6.0075201E-02   3.158201    
   2700.000     -8.6865894E-02   2.964612    
   2800.000     -0.1177801       2.788115    
   2900.000     -0.1530453       2.626747    
   3000.000     -0.1961309       2.478824    
   3100.000     -0.2297283       2.345901    
   3200.000     -0.2650143       2.223553    
   3300.000     -0.3002272       2.110712    
   3400.000     -0.3357012       2.006388    
   3500.000     -0.3713091       1.909731    
   3600.000     -0.4069621       1.819995    
   3700.000     -0.4426017       1.736526    
   3800.000     -0.4800513       1.658876    
   3900.000     -0.5157267       1.586421    
   4000.000     -0.5513203       1.518698    
   4100.000     -0.5868475       1.455298    
   4200.000     -0.6223349       1.395856    
   4300.000     -0.6578191       1.340044    
   4400.000     -0.6933448       1.287568    
   4500.000     -0.7289654       1.238165    
   4600.000     -0.7647413       1.191596    
   4700.000     -0.8007404       1.147644    
   4800.000     -0.8370385       1.106116    
   4900.000     -0.8737184       1.066833    
   5000.000     -0.9108722       1.029635    
   5100.000     -0.9486011      0.9943741    
   5200.000     -0.9870170      0.9609174    
   5300.000      -1.026244      0.9291417    
   5400.000      -1.066421      0.8989352    
   5500.000      -1.107702      0.8701948    
   5600.000      -1.150263      0.8428261    
   5700.000      -1.194302      0.8167419    
   5800.000      -1.240046      0.7918622    
   5900.000      -1.287760      0.7681132    
   6000.000      -1.337748      0.7454265    
   6100.000      -1.390373      0.7237390    
   6200.000      -1.446064      0.7029921    
   6300.000      -1.505341      0.6831316    
   6400.000      -1.568838      0.6641073    
   6500.000      -1.637342      0.6458722    
   6600.000      -1.711848      0.6283829    
   6700.000      -1.793640      0.6115988    
   6800.000      -1.884412      0.5954820    
   6900.000      -1.986466      0.5799973    
   7000.000      -2.103040      0.5651118    
   7100.000      -2.238894      0.5507945    
   7200.000      -2.401426      0.5370167    
   7300.000      -2.603051      0.5237512    
   7400.000      -2.867022      0.5109728    
   7500.000      -3.245148      0.4986577    
   7600.000      -3.897786      0.4867836    
   7611.000      -4.006832      0.4855034    
   7616.000      -4.060732      0.4849232    
   7621.000      -4.117757      0.4843440    
   7626.000      -4.178290      0.4837659    
   7631.000      -4.242766      0.4831888    
   7636.000      -4.311714      0.4826127    
   7641.000      -4.385768      0.4820377    
   7646.000      -4.465732      0.4814637    
   7651.000      -4.552587      0.4808907    
   7656.000      -4.647586      0.4803187    
   7661.000      -4.752351      0.4797478    
   7666.000      -4.869074      0.4791779    
   7671.000      -5.000730      0.4786090    
   7676.000      -5.151574      0.4780411    
   7681.000      -5.327983      0.4774742    
   7686.000      -5.540119      0.4769084    
   7691.000      -5.805814      0.4763435    
   7696.000      -6.160638      0.4757797    
   7700.000      -6.564262      0.4753293    
   7701.000      -6.694223      0.4752168    
   7706.000      -7.790147      0.4746550    
   7711.000      -8.149016       3.938778    
   7716.000      -6.796508       3.933333    
   7721.000      -6.201208       3.927910    
   7726.000      -5.813246       3.922508    
   7731.000      -5.524355       3.917127    
   7736.000      -5.293825       3.911767    
   7741.000      -5.101821       3.906427    
   7746.000      -4.937198       3.901108    
   7751.000      -4.793014       3.895809    
   7756.000      -4.664707       3.890531    
   7761.000      -4.549087       3.885273    
   7766.000      -4.443851       3.880036    
   7771.000      -4.347250       3.874819    
   7776.000      -4.257964       3.869622    
   7781.000      -4.174951       3.864444    
   7786.000      -4.097384       3.859287    
   7791.000      -4.024573       3.854150    
   7796.000      -3.955968       3.849032    
   7800.000      -3.903797       3.844952    
   7801.000      -3.891105       3.843934    
   7806.000      -3.829594       3.838855    
   7900.000      -3.036007       3.746922    
   8000.000      -2.540188       3.656107    
   8100.000      -2.194275       3.571942    
   8200.000      -1.930572       3.493919    
   8300.000      -1.718818       3.421579    
   8400.000      -1.542683       3.354512    
   8500.000      -1.392197       3.292344    
   8600.000      -1.260736       3.234740    
   8700.000      -1.143574       3.181395    
   8800.000      -1.037108       3.132033    
   8900.000     -0.9384080       3.086399    
   9000.000     -0.8489729       3.031965    
   9100.000     -0.7675005       2.978807    
   9200.000     -0.6929511       2.926887    
   9300.000     -0.6244767       2.876168    
   9400.000     -0.5613791       2.826616    
   9500.000     -0.5030725       2.778196    
   9600.000     -0.4490630       2.730877    
   9700.000     -0.3989289       2.684626    
   9800.000     -0.3523059       2.639413    
   9900.000     -0.3088792       2.595210    
   10000.00     -0.2683665       2.551987    
   10100.00     -0.2379220       2.510294    
   10200.00     -0.2030224       2.469759    
   10300.00     -0.1703271       2.430200    
   10400.00     -0.1396617       2.391585    
   10500.00     -0.1108697       2.353884    
   10600.00     -8.3811328E-02   2.317068    
   10700.00     -5.8360595E-02   2.281110    
