  Element 24: Cr      Atomic mass:   51.9960

  Edge          keV         A
    K         5.9892    2.0701

Scattering factors as a function of energy: 

   1000.000      -1.641355       8.876564    
   1100.000      -1.028845       7.747235    
   1200.000     -0.6490342       6.820629    
   1300.000     -0.4072758       6.052445    
   1400.000     -0.2578248       5.407625    
   1500.000     -0.1676174       4.861020    
   1600.000     -0.1185472       4.393409    
   1700.000     -9.7926632E-02   3.990160    
   1800.000     -9.7203083E-02   3.639903    
   1900.000     -0.1104963       3.333688    
   2000.000     -0.1336996       3.064388    
   2100.000     -0.1639102       2.826271    
   2200.000     -0.1990579       2.614680    
   2300.000     -0.2533572       2.425842    
   2400.000     -0.3020200       2.258924    
   2500.000     -0.3436968       2.108986    
   2600.000     -0.3862950       1.973510    
   2700.000     -0.4294784       1.850672    
   2800.000     -0.4826859       1.739137    
   2900.000     -0.5264851       1.638116    
   3000.000     -0.5703479       1.545723    
   3100.000     -0.6147369       1.461408    
   3200.000     -0.6590905       1.383952    
   3300.000     -0.7034695       1.312621    
   3400.000     -0.7479603       1.246776    
   3500.000     -0.7926716       1.185858    
   3600.000     -0.8377322       1.129383    
   3700.000     -0.8832915       1.076921    
   3800.000     -0.9295194       1.028096    
   3900.000     -0.9766091      0.9825746    
   4000.000      -1.024779      0.9400609    
   4100.000      -1.074280      0.9002918    
   4200.000      -1.125399      0.8630330    
   4300.000      -1.178466      0.8280744    
   4400.000      -1.233871      0.7952283    
   4500.000      -1.292073      0.7643253    
   4600.000      -1.353625      0.7352131    
   4700.000      -1.419201      0.7077542    
   4800.000      -1.489636      0.6818238    
   4900.000      -1.565986      0.6573095    
   5000.000      -1.649613      0.6341085    
   5100.000      -1.742324      0.6121275    
   5200.000      -1.846588      0.5912814    
   5300.000      -1.965901      0.5714921    
   5400.000      -2.105449      0.5526890    
   5500.000      -2.273406      0.5348065    
   5600.000      -2.483746      0.5177850    
   5700.000      -2.763391      0.5015692    
   5800.000      -3.175297      0.4861086    
   5892.000      -3.847977      0.4725116    
   5897.000      -3.902502      0.4717892    
   5900.000      -3.936740      0.4713565    
   5902.000      -3.960243      0.4710684    
   5907.000      -4.021579      0.4703493    
   5912.000      -4.086967      0.4696318    
   5917.000      -4.156950      0.4689160    
   5922.000      -4.232212      0.4682018    
   5927.000      -4.313569      0.4674892    
   5932.000      -4.402054      0.4667783    
   5937.000      -4.498976      0.4660691    
   5942.000      -4.606071      0.4653614    
   5947.000      -4.725627      0.4646554    
   5952.000      -4.860817      0.4639509    
   5957.000      -5.016176      0.4632482    
   5962.000      -5.198609      0.4625470    
   5967.000      -5.419202      0.4618473    
   5972.000      -5.697656      0.4611493    
   5977.000      -6.074358      0.4604529    
   5982.000      -6.655844      0.4597581    
   5987.000      -7.971486      0.4590648    
   5992.000      -7.701416       3.972856    
   5997.000      -6.544862       3.966452    
   6000.000      -6.175548       3.962620    
   6002.000      -5.982195       3.960070    
   6007.000      -5.605624       3.953709    
   6012.000      -5.321630       3.947369    
   6017.000      -5.093252       3.941051    
   6022.000      -4.902060       3.934755    
   6027.000      -4.737474       3.928479    
   6032.000      -4.592914       3.922225    
   6037.000      -4.463970       3.915991    
   6042.000      -4.347564       3.909779    
   6047.000      -4.241420       3.903588    
   6052.000      -4.143860       3.897417    
   6057.000      -4.053579       3.891267    
   6062.000      -3.969560       3.885138    
   6067.000      -3.890966       3.879029    
   6072.000      -3.817135       3.872940    
   6077.000      -3.747517       3.866872    
   6082.000      -3.681657       3.860824    
   6087.000      -3.619155       3.854796    
   6100.000      -3.470161       3.839217    
   6200.000      -2.695788       3.723755    
   6300.000      -2.226828       3.615580    
   6400.000      -1.892985       3.514108    
   6500.000      -1.636572       3.418812    
   6600.000      -1.430639       3.329216    
   6700.000      -1.260272       3.244888    
   6800.000      -1.116289       3.165439    
   6900.000     -0.9926071       3.090514    
   7000.000     -0.8849720       3.019791    
   7100.000     -0.7902848       2.952977    
   7200.000     -0.7062141       2.889804    
   7300.000     -0.6309590       2.830026    
   7400.000     -0.5630992       2.773420    
   7500.000     -0.5014924       2.719779    
   7600.000     -0.4452063       2.668916    
   7700.000     -0.3934691       2.620657    
   7800.000     -0.2737756       2.573532    
   7900.000     -0.2259492       2.520370    
   8000.000     -0.1819416       2.468801    
   8100.000     -0.1413795       2.418764    
   8200.000     -0.1039345       2.370198    
   8300.000     -6.9318116E-02   2.323044    
   8400.000     -3.7278675E-02   2.277250    
   8500.000     -7.5927209E-03   2.232762    
   8600.000      1.9936925E-02   2.189532    
   8700.000      4.5485802E-02   2.147512    
   8800.000      6.9211394E-02   2.106657    
   8900.000      9.1253906E-02   2.066925    
   9000.000      0.1117982       2.028481    
   9100.000      0.1309316       1.991095    
   9200.000      0.1487589       1.954726    
   9300.000      0.1653759       1.919338    
   9400.000      0.1808693       1.884896    
   9500.000      0.1953186       1.851366    
   9600.000      0.2087959       1.818714    
   9700.000      0.2213677       1.786913    
   9800.000      0.2330949       1.755930    
   9900.000      0.2440334       1.725739    
   10000.00      0.2542349       1.696311    
   10100.00      0.2637469       1.667622    
   10200.00      0.2726132       1.639647    
   10300.00      0.2808746       1.612362    
   10400.00      0.2885686       1.585745    
   10500.00      0.2957302       1.559773    
   10600.00      0.3023919       1.534425    
   10700.00      0.3085834       1.509683    
   10800.00      0.3142233       1.485526    
