  Element 55: Cs      Atomic mass:  132.9054

  Edge          keV         A
    K        35.9846    0.3445
    L-I       5.7143    2.1697
    L-II      5.3594    2.3134
    L-III     5.0119    2.4738
    M1        1.2171   10.1869
    M2        1.0650   11.6417

Scattering factors as a function of energy: 

   1000.000      -24.04820       29.70484    
   1100.000      -16.56675       27.76693    
   1120.000      -15.74108       27.09472    
   1125.000      -15.56586       26.93343    
   1130.000      -15.40062       26.77471    
   1135.000      -15.24460       26.61852    
   1140.000      -15.09721       26.46480    
   1145.000      -14.95799       26.31349    
   1150.000      -14.82665       26.16456    
   1155.000      -14.70298       26.01795    
   1160.000      -14.58694       25.87361    
   1165.000      -14.47858       25.73149    
   1170.000      -14.37818       25.59157    
   1175.000      -14.28618       25.45378    
   1180.000      -14.20340       25.31811    
   1185.000      -14.13110       25.18449    
   1190.000      -14.07133       25.05290    
   1195.000      -14.02759       24.92330    
   1200.000      -14.00624       24.79565    
   1205.000      -14.02058       24.66993    
   1210.000      -14.10629       24.54609    
   1215.000      -14.44588       24.42412    
   1220.000      -14.22031       25.45960    
   1225.000      -13.74820       25.33751    
   1230.000      -13.21735       25.21325    
   1235.000      -12.99620       25.08961    
   1240.000      -12.80775       24.96765    
   1245.000      -12.63988       24.84735    
   1250.000      -12.30052       24.72851    
   1255.000      -12.15502       24.60767    
   1260.000      -12.01874       24.48836    
   1265.000      -11.88970       24.37056    
   1270.000      -11.76683       24.25426    
   1275.000      -11.64931       24.13943    
   1280.000      -11.53650       24.02607    
   1285.000      -11.42791       23.91416    
   1290.000      -11.32315       23.80368    
   1295.000      -11.22189       23.69462    
   1300.000      -11.12383       23.58697    
   1305.000      -11.02875       23.48072    
   1310.000      -10.93644       23.37585    
   1315.000      -10.84672       23.27235    
   1400.000      -9.260098       21.67487    
   1500.000      -8.207604       19.94648    
   1600.000      -7.340840       18.48243    
   1700.000      -6.253776       17.18834    
   1800.000      -5.721478       15.93904    
   1900.000      -5.320947       14.81946    
   2000.000      -5.022186       13.81207    
   2100.000      -4.803455       12.90222    
   2200.000      -4.667698       12.08097    
   2300.000      -4.565260       11.33628    
   2400.000      -4.504398       10.65776    
   2500.000      -4.485609       10.03883    
   2600.000      -4.488672       9.472461    
   2700.000      -4.516440       8.952386    
   2800.000      -4.565915       8.473656    
   2900.000      -4.635329       8.031968    
   3000.000      -4.800387       7.628476    
   3100.000      -4.896091       7.263247    
   3200.000      -5.004433       6.924741    
   3300.000      -5.125221       6.610330    
   3400.000      -5.258228       6.317703    
   3500.000      -5.403910       6.044829    
   3600.000      -5.562994       5.789909    
   3700.000      -5.736610       5.551353    
   3800.000      -5.926364       5.327745    
   3900.000      -6.134450       5.117825    
   4000.000      -6.371029       4.920510    
   4100.000      -6.626112       4.735213    
   4200.000      -6.911912       4.560585    
   4300.000      -7.236138       4.395798    
   4400.000      -7.610144       4.240107    
   4500.000      -8.050790       4.092834    
   4600.000      -8.586394       3.953365    
   4700.000      -9.273096       3.821403    
   4800.000      -10.21265       3.696231    
   4900.000      -11.74187       3.577337    
   4914.000      -12.05901       3.561168    
   4919.000      -12.18318       3.555421    
   4924.000      -12.31409       3.549689    
   4929.000      -12.45255       3.543970    
   4934.000      -12.59950       3.538266    
   4939.000      -12.75606       3.532577    
   4944.000      -12.92359       3.526902    
   4949.000      -13.10380       3.521240    
   4954.000      -13.29880       3.515594    
   4959.000      -13.51127       3.509960    
   4964.000      -13.74469       3.504341    
   4969.000      -14.00369       3.498737    
   4974.000      -14.29469       3.493146    
   4979.000      -14.62679       3.487569    
   4984.000      -15.01364       3.482005    
   4989.000      -15.47699       3.476456    
   4994.000      -16.05505       3.470921    
   4999.000      -16.82400       3.465399    
   5000.000      -17.01346       3.464296    
   5004.000      -17.97593       3.459890    
   5009.000      -20.33294       3.454396    
   5014.000      -21.10592       10.87634    
   5019.000      -18.21040       10.85176    
   5024.000      -16.94144       10.82731    
   5029.000      -16.11869       10.80298    
   5034.000      -15.50959       10.77876    
   5039.000      -15.02662       10.75467    
   5044.000      -14.62715       10.73069    
   5049.000      -14.28717       10.70684    
   5054.000      -13.99176       10.68310    
   5059.000      -13.73108       10.65948    
   5064.000      -13.49828       10.63597    
   5069.000      -13.28839       10.61258    
   5074.000      -13.09765       10.58930    
   5079.000      -12.92321       10.56614    
   5084.000      -12.76283       10.54309    
   5089.000      -12.61473       10.52015    
   5094.000      -12.47747       10.49732    
   5099.000      -12.34983       10.47461    
   5100.000      -12.32537       10.47008    
   5104.000      -12.23083       10.45200    
   5109.000      -12.11963       10.42950    
   5200.000      -10.96448       10.03841    
   5262.000      -10.82166       9.790629    
   5267.000      -10.83362       9.771265    
   5272.000      -10.85004       9.751992    
   5277.000      -10.87340       9.732810    
   5282.000      -10.89989       9.713719    
   5287.000      -10.93216       9.694716    
   5292.000      -10.97089       9.675803    
   5297.000      -11.01690       9.656975    
   5300.000      -11.04843       9.645720    
   5302.000      -11.07124       9.638234    
   5307.000      -11.13526       9.619578    
   5312.000      -11.21070       9.601010    
   5317.000      -11.29996       9.582525    
   5322.000      -11.40629       9.564125    
   5327.000      -11.53438       9.545809    
   5332.000      -11.69131       9.527578    
   5337.000      -11.88852       9.509429    
   5342.000      -12.14620       9.491362    
   5347.000      -12.50548       9.473377    
   5352.000      -13.07347       9.455474    
