  Element 29: Cu      Atomic mass:   63.5460

  Edge          keV         A
    K         8.9789    1.3808
    L-I       1.0961   11.3114

Scattering factors as a function of energy: 

   1000.000      -11.88396       15.93741    
   1100.000      -8.689785       14.46938    
   1200.000      -5.179951       12.84940    
   1300.000      -3.617002       11.52763    
   1400.000      -2.659106       10.33003    
   1500.000      -2.572897       9.517266    
   1600.000      -1.451776       8.907343    
   1700.000     -0.6990443       8.140284    
   1800.000     -0.4362242       7.462347    
   1900.000     -0.2471104       6.866064    
   2000.000     -0.1119459       6.338509    
   2100.000     -1.6984615E-02   5.869271    
   2200.000      3.0905614E-02   5.450206    
   2300.000      6.7837447E-02   5.078173    
   2400.000      9.1014206E-02   4.743593    
   2500.000      0.1010314       4.441439    
   2600.000      0.1008722       4.167588    
   2700.000      9.2817500E-02   3.918560    
   2800.000      7.8626409E-02   3.691400    
   2900.000      5.9665404E-02   3.483586    
   3000.000      3.7003338E-02   3.292953    
   3100.000      1.1165971E-02   3.118332    
   3200.000     -1.6755981E-02   2.957417    
   3300.000     -4.6249848E-02   2.808793    
   3400.000     -7.6911844E-02   2.671224    
   3500.000     -0.1084236       2.543627    
   3600.000     -0.1405348       2.425051    
   3700.000     -0.1730496       2.314655    
   3800.000     -0.2080681       2.211820    
   3900.000     -0.2425742       2.115914    
   4000.000     -0.2756727       2.026214    
   4100.000     -0.3087072       1.942184    
   4200.000     -0.3416350       1.863349    
   4300.000     -0.3744286       1.789282    
   4400.000     -0.4070727       1.719603    
   4500.000     -0.4395629       1.653965    
   4600.000     -0.4719031       1.592057    
   4700.000     -0.5041052       1.533598    
   4800.000     -0.5386567       1.478412    
   4900.000     -0.5706960       1.426268    
   5000.000     -0.6026538       1.376877    
   5100.000     -0.6345630       1.330047    
   5200.000     -0.6664602       1.285601    
   5300.000     -0.6983861       1.243377    
   5400.000     -0.7303846       1.203228    
   5500.000     -0.7625038       1.165019    
   5600.000     -0.7947955       1.128625    
   5700.000     -0.8273157       1.093931    
   5800.000     -0.8601248       1.060832    
   5900.000     -0.8932877       1.029230    
   6000.000     -0.9268753      0.9990361    
   6100.000     -0.9609641      0.9701656    
   6200.000     -0.9956380      0.9425417    
   6300.000      -1.030989      0.9160928    
   6400.000      -1.067116      0.8907527    
   6500.000      -1.104133      0.8664593    
   6600.000      -1.142162      0.8431551    
   6700.000      -1.181344      0.8207865    
   6800.000      -1.221833      0.7993035    
   6900.000      -1.263809      0.7786596    
   7000.000      -1.307473      0.7588111    
   7100.000      -1.353060      0.7397171    
   7200.000      -1.400840      0.7213395    
   7300.000      -1.451134      0.7036425    
   7400.000      -1.504316      0.6865927    
   7500.000      -1.560841      0.6701584    
   7600.000      -1.621254      0.6543102    
   7700.000      -1.686231      0.6390201    
   7800.000      -1.756612      0.6242620    
   7900.000      -1.833466      0.6100113    
   8000.000      -1.918182      0.5962448    
   8100.000      -2.012610      0.5829404    
   8200.000      -2.119284      0.5700778    
   8300.000      -2.241817      0.5576371    
   8400.000      -2.385587      0.5456002    
   8500.000      -2.559136      0.5339493    
   8600.000      -2.777189      0.5226682    
   8700.000      -3.068509      0.5117413    
   8800.000      -3.502025      0.5011535    
   8881.000      -4.109138      0.4928167    
   8886.000      -4.162786      0.4923088    
   8891.000      -4.219535      0.4918018    
   8896.000      -4.279750      0.4912956    
   8900.000      -4.330702      0.4908912    
   8901.000      -4.343866      0.4907912    
   8906.000      -4.412406      0.4902919    
   8911.000      -4.486004      0.4897933    
   8916.000      -4.565441      0.4892955    
   8921.000      -4.651673      0.4887986    
   8926.000      -4.745973      0.4883023    
   8931.000      -4.849935      0.4878068    
   8936.000      -4.965703      0.4873121    
   8941.000      -5.096224      0.4868181    
   8946.000      -5.245698      0.4863249    
   8951.000      -5.420420      0.4858324    
   8956.000      -5.630439      0.4853407    
   8961.000      -5.893317      0.4848498    
   8966.000      -6.244093      0.4843597    
   8971.000      -6.771331      0.4838702    
   8976.000      -7.853546      0.4833815    
   8981.000      -8.208865       3.901051    
   8986.000      -6.875939       3.896725    
   8991.000      -6.289705       3.892410    
   8996.000      -5.907825       3.888104    
   9000.000      -5.675008       3.884668    
   9001.000      -5.623607       3.883809    
   9006.000      -5.396915       3.879525    
   9011.000      -5.208117       3.875250    
   9016.000      -5.046257       3.870986    
   9021.000      -4.904527       3.866731    
   9026.000      -4.778416       3.862486    
   9031.000      -4.664780       3.858252    
   9036.000      -4.561343       3.854027    
   9041.000      -4.466400       3.849812    
   9046.000      -4.378660       3.845608    
   9051.000      -4.297062       3.841413    
   9056.000      -4.220804       3.837229    
   9061.000      -4.149220       3.833053    
   9066.000      -4.081763       3.828888    
   9071.000      -4.017976       3.824733    
   9076.000      -3.957475       3.820587    
   9100.000      -3.703777       3.800822    
   9200.000      -3.005089       3.720812    
   9300.000      -2.568323       3.644412    
   9400.000      -2.251165       3.571419    
   9500.000      -2.003482       3.501638    
   9600.000      -1.801536       3.434892    
   9700.000      -1.632088       3.371015    
   9800.000      -1.486963       3.309853    
   9900.000      -1.360739       3.251260    
   10000.00      -1.249616       3.195102    
   10100.00      -1.150827       3.141254    
   10200.00      -1.062285       3.089598    
   10300.00     -0.9823771       3.040022    
   10400.00     -0.9098281       2.992425    
   10500.00     -0.8436103       2.946709    
   10600.00     -0.7828854       2.902784    
