  Element 66: Dy      Atomic mass:  162.5000

  Edge          keV         A
    K        53.7885    0.2305
    L-I       9.0458    1.3706
    L-II      8.5806    1.4449
    L-III     7.7901    1.5916
    M1        2.0468    6.0575
    M2        1.8418    6.7317
    M3        1.6756    7.3994
    M4        1.3325    9.3046
    M5        1.2949    9.5748

Scattering factors as a function of energy: 

   1000.000      -30.30159       9.197296    
   1100.000      -32.61457       8.519276    
   1197.000      -37.94447       7.921163    
   1200.000      -38.24520       7.903587    
   1202.000      -38.45507       7.891899    
   1207.000      -39.01635       7.862778    
   1212.000      -39.63749       7.833799    
   1217.000      -40.32997       7.804963    
   1222.000      -41.10840       7.776267    
   1227.000      -41.99153       7.747712    
   1232.000      -43.00378       7.719296    
   1235.000      -43.68615       7.702313    
   1237.000      -44.17749       7.691019    
   1240.000      -44.97676       7.674119    
   1242.000      -45.55627       7.662880    
   1245.000      -46.50601       7.646062    
   1247.000      -47.20007       7.634878    
   1250.000      -48.34737       7.618142    
   1252.000      -49.19347       7.607012    
   1255.000      -50.60623       7.590358    
   1257.000      -51.65930       7.579282    
   1260.000      -53.43882       7.562709    
   1262.000      -54.78249       7.551687    
   1265.000      -57.08663       7.535194    
   1267.000      -58.85460       7.524226    
   1270.000      -61.94366       7.507814    
   1272.000      -64.36414       7.496899    
   1275.000      -68.70202       7.480566    
   1277.000      -72.20232       7.469704    
   1280.000      -78.71587       7.453450    
   1282.000      -84.21870       7.442641    
   1285.000      -95.14248       7.426466    
   1287.000      -105.2110       7.415709    
   1290.000      -128.4186       7.399612    
   1292.000      -156.1451       7.388907    
   1295.000      -370.7916       208.9730    
   1297.000      -160.7072       191.4681    
   1300.000      -96.39727       168.3245    
   1302.000      -74.05757       154.7186    
   1305.000      -53.06307       136.6775    
   1307.000      -44.07698       126.0400    
   1310.000      -35.42919       111.8944    
   1312.000      -32.04998       103.5296    
   1315.000      -29.75057       92.37431    
   1317.000      -29.82209       85.75961    
   1320.000      -32.24011       76.91300    
   1322.000      -35.54575       71.65251    
   1325.000      -43.90845       64.59771    
   1327.000      -53.04416       60.39106    
   1330.000      -79.57124       54.73433    
   1332.000      -139.8309       51.35211    
   1335.000      -68.90649       164.3109    
   1337.000      -41.15047       151.8316    
   1340.000      -18.45579       135.1807    
   1342.000      -9.080510       125.3029    
   1345.000      0.3095393       112.0866    
   1347.000       4.515838       104.2244    
   1350.000       8.775090       93.67619    
   1352.000       10.61948       87.38395    
   1355.000       12.32017       78.91934    
   1357.000       12.91690       73.85633    
   1360.000       13.21449       67.02733    
   1362.000       13.11387       62.93177    
   1365.000       12.62621       57.39330    
   1367.000       12.13014       54.06301    
   1370.000       11.19929       49.54791    
   1372.000       10.48567       46.82601    
   1375.000       9.317582       43.12647    
   1377.000       8.492854       40.89060    
   1380.000       7.212311       37.84418    
   1382.000       6.341340       35.99848    
   1385.000       5.024515       33.47761    
   1387.000       4.146812       31.94662    
   1390.000       2.839823       29.85063    
   1392.000       1.979076       28.57467    
   1395.000      0.7092299       26.82379    
   1400.000      -1.340020       24.28619    
   1405.000      -3.290394       22.14920    
   1410.000      -5.138105       20.34175    
   1415.000      -6.882701       18.80656    
   1420.000      -8.527506       17.49730    
   1425.000      -10.07790       16.37633    
   1430.000      -11.54035       15.41296    
   1500.000      -26.37013       9.881983    
   1578.000      -40.88742       9.628229    
   1583.000      -42.04639       9.735209    
   1588.000      -43.25799       9.861464    
   1593.000      -44.52805       10.00873    
   1598.000      -45.86304       10.17906    
   1600.000      -46.41678       10.25417    
   1603.000      -47.27010       10.37483    
   1608.000      -48.75716       10.59881    
   1613.000      -50.33306       10.85420    
   1618.000      -52.00773       11.14471    
   1623.000      -53.79241       11.47464    
   1628.000      -55.69991       11.84897    
   1633.000      -57.74498       12.27346    
   1638.000      -59.94487       12.75478    
   1643.000      -62.32014       13.30066    
   1648.000      -64.89608       13.92012    
   1653.000      -67.70526       14.62360    
   1658.000      -70.79319       15.42327    
   1663.000      -74.23312       16.33335    
   1668.000      -78.18595       17.37046    
   1673.000      -83.24677       18.55399    
   1678.000      -87.17263       24.50675    
   1683.000      -89.70359       26.02080    
   1688.000      -40.53446       26.29473    
   1693.000      -41.04499       26.49894    
   1698.000      -41.77598       26.74546    
   1700.000      -42.11943       26.85720    
   1703.000      -42.68492       27.04015    
   1708.000      -43.75708       27.38981    
   1713.000      -44.99036       27.80238    
   1718.000      -46.38980       28.28706    
   1723.000      -47.96547       28.85468    
   1728.000      -49.73153       29.51785    
   1733.000      -18.49899       30.14459    
   1738.000      -18.29611       30.00291    
   1743.000      -18.10707       29.86273    
   1744.000      -18.07079       29.83488    
   1748.000      -17.93042       29.72404    
   1749.000      -17.89648       29.69648    
   1753.000      -17.76510       29.58682    
   1754.000      -17.73332       29.55955    
   1758.000      -17.60955       29.45103    
   1759.000      -17.58065       29.42405    
   1763.000      -17.46550       29.31667    
   1764.000      -17.43769       29.28996    
   1768.000      -17.33017       29.18370    
   1769.000      -17.30422       29.15727    
   1773.000      -17.20408       29.05211    
   1774.000      -17.17996       29.02596    
   1779.000      -17.06485       28.89600    
   1784.000      -16.95896       28.76739    
   1789.000      -16.86260       28.64008    
   1794.000      -16.77630       28.51408    
   1799.000      -16.70095       28.38937    
   1800.000      -16.68730       28.36458    
   1804.000      -16.63788       28.26591    
