  Element 68: Er      Atomic mass:  167.2600

  Edge          keV         A
    K        57.4855    0.2157
    L-I       9.7513    1.2715
    L-II      9.2643    1.3383
    L-III     8.3579    1.4834
    M1        2.2065    5.6190
    M2        2.0058    6.1813
    M3        1.8118    6.8432
    M4        1.4533    8.5312
    M5        1.4093    8.7976

Scattering factors as a function of energy: 

   1000.000      -28.38247       10.43371    
   1100.000      -29.59983       9.650826    
   1200.000      -31.84402       8.943801    
   1300.000      -36.81234       8.304866    
   1312.000      -37.92704       8.232664    
   1317.000      -38.46461       8.202837    
   1322.000      -39.05592       8.173159    
   1327.000      -39.71065       8.143630    
   1332.000      -40.44091       8.114248    
   1337.000      -41.26201       8.085013    
   1342.000      -42.19360       8.055924    
   1347.000      -43.26116       8.026979    
   1352.000      -44.49836       7.998179    
   1356.000      -45.64012       7.975243    
   1357.000      -45.95042       7.969522    
   1361.000      -47.30769       7.946700    
   1362.000      -47.67940       7.941008    
   1366.000      -49.31950       7.918297    
   1367.000      -49.77260       7.912634    
   1371.000      -51.79261       7.890036    
   1372.000      -52.35657       7.884401    
   1376.000      -54.90194       7.861915    
   1377.000      -55.62169       7.856308    
   1381.000      -58.92042       7.833932    
   1382.000      -59.86829       7.828353    
   1386.000      -64.30024       7.806088    
   1387.000      -65.60110       7.800536    
   1391.000      -71.85532       7.778381    
   1392.000      -73.74767       7.772856    
   1396.000      -83.24538       7.750810    
   1397.000      -86.26290       7.745313    
   1400.000      -97.72124       7.728851    
   1401.000      -102.6570       7.723375    
   1402.000      -108.3977       7.717904    
   1406.000      -147.1121       7.696074    
   1407.000      -166.0380       7.690630    
   1411.000      -174.1609       186.7758    
   1412.000      -142.1723       179.6387    
   1416.000      -80.32462       154.1243    
   1417.000      -71.54824       148.4330    
   1421.000      -47.94351       128.0422    
   1422.000      -44.00195       123.4825    
   1426.000      -33.18856       107.1076    
   1427.000      -31.45373       103.4369    
   1431.000      -27.38888       90.22456    
   1432.000      -26.99126       87.25577    
   1436.000      -27.55119       76.54528    
   1437.000      -28.21528       74.13297    
   1441.000      -33.16094       65.41053    
   1442.000      -35.06517       63.44141    
   1446.000      -46.69189       56.30566    
   1447.000      -51.09785       54.69104    
   1451.000      -84.78292       48.82714    
   1452.000      -105.4194       47.49730    
   1456.000      -69.10221       157.6915    
   1457.000      -54.51540       152.1358    
   1461.000      -21.92056       132.1502    
   1462.000      -16.95737       127.6622    
   1466.000      -3.274375       111.4800    
   1467.000     -0.9247107       107.8375    
   1471.000       5.751915       94.67416    
   1472.000       6.899246       91.70417    
   1476.000       10.03990       80.94728    
   1477.000       10.53668       78.51464    
   1481.000       11.68690       69.68456    
   1482.000       11.80619       67.68311    
   1486.000       11.78750       60.40243    
   1487.000       11.68197       58.74848    
   1491.000       10.96437       52.71886    
   1492.000       10.72519       51.34631    
   1496.000       9.596079       46.33139    
   1497.000       9.279586       45.18734    
   1500.000       8.270929       41.99075    
   1501.000       7.918912       40.99869    
   1502.000       7.560757       40.04110    
   1506.000       6.083021       36.52800    
   1507.000       5.705975       35.72318    
   1511.000       4.184360       32.76463    
   1516.000       2.283955       29.58395    
   1521.000      0.4200646       26.88516    
   1526.000      -1.386976       24.58643    
   1531.000      -3.118472       22.62110    
   1536.000      -4.772871       20.93466    
   1541.000      -6.347333       19.48238    
   1546.000      -7.842920       18.22743    
   1551.000      -9.262565       17.13939    
   1600.000      -20.11956       11.55738    
   1700.000      -36.66154       9.677464    
   1714.000      -39.35213       9.838006    
   1719.000      -40.37807       9.921704    
   1724.000      -41.44430       10.02073    
   1729.000      -42.55505       10.13623    
   1734.000      -43.71495       10.26954    
   1739.000      -44.92909       10.42220    
   1744.000      -46.20307       10.59599    
   1749.000      -47.54312       10.79295    
   1754.000      -48.95620       11.01541    
   1759.000      -50.45018       11.26603    
   1764.000      -52.03407       11.54787    
   1769.000      -53.71818       11.86441    
   1774.000      -55.51480       12.21962    
   1779.000      -57.43880       12.61806    
   1784.000      -59.50890       13.06493    
   1789.000      -61.75020       13.56617    
   1794.000      -64.19958       14.12861    
   1799.000      -66.92786       14.76011    
   1800.000      -67.51411       14.89545    
   1804.000      -70.06030       15.46963    
   1809.000      -74.16988       16.26747    
   1814.000      -77.29234       21.91556    
   1819.000      -78.47108       22.88852    
   1824.000      -80.90532       23.99217    
   1829.000      -83.89759       25.24474    
   1834.000      -37.84346       26.14468    
   1839.000      -38.35585       26.28072    
   1844.000      -38.98756       26.44650    
   1849.000      -39.72927       26.64559    
   1854.000      -40.57828       26.88210    
   1859.000      -41.53591       27.16071    
   1864.000      -42.60633       27.48683    
   1869.000      -43.79598       27.86665    
   1874.000      -45.11327       28.30731    
   1879.000      -46.56853       28.81705    
   1884.000      -48.17413       29.40534    
   1889.000      -49.95428       30.08318    
   1894.000      -17.46291       29.99794    
   1899.000      -17.31000       29.86563    
   1900.000      -17.28045       29.83934    
   1904.000      -17.16576       29.73470    
   1908.000      -17.05618       29.63093    
   1909.000      -17.02957       29.60512    
   1913.000      -16.92620       29.50242    
   1918.000      -16.80370       29.37523    
   1923.000      -16.68848       29.24934    
   1928.000      -16.58040       29.12473    
   1933.000      -16.47943       29.00138    
   1938.000      -16.38563       28.87928    
   1943.000      -16.29917       28.75841    
   1948.000      -16.22037       28.63875    
   1953.000      -16.14983       28.52028    
