  Element 63: Eu      Atomic mass:  151.9600

  Edge          keV         A
    K        48.5190    0.2555
    L-I       8.0520    1.5398
    L-II      7.6171    1.6277
    L-III     6.9769    1.7771
    M1        1.8000    6.8880
    M2        1.6139    7.6823
    M3        1.4806    8.3739
    M4        1.1606   10.6828
    M5        1.1309   10.9633

Scattering factors as a function of energy: 

   1000.000      -35.55894       7.531754    
   1100.000      -55.42770       6.992035    
   1200.000       10.88705       41.67501    
   1300.000      -25.33370       9.538247    
   1383.000      -43.45785       9.222198    
   1388.000      -44.88949       9.376875    
   1393.000      -46.40337       9.559939    
   1398.000      -48.00985       9.774806    
   1400.000      -48.68091       9.870543    
   1403.000      -49.72051       10.02555    
   1408.000      -51.54837       10.31698    
   1413.000      -53.50813       10.65485    
   1418.000      -55.61649       11.04592    
   1423.000      -57.89248       11.49825    
   1428.000      -60.35789       12.02138    
   1433.000      -63.03786       12.62666    
   1438.000      -65.96152       13.32757    
   1443.000      -69.16784       14.14024    
   1448.000      -72.68737       15.08390    
   1453.000      -76.57337       16.18154    
   1458.000      -80.88560       17.46076    
   1463.000      -85.70161       18.95479    
   1468.000      -91.13184       20.70359    
   1473.000      -43.30384       21.70486    
   1478.000      -46.14218       22.02046    
   1483.000      -47.70124       26.87815    
   1488.000      -47.70113       27.29647    
   1493.000      -48.76796       27.80464    
   1498.000      -50.30458       28.41867    
   1500.000      -51.02404       28.69811    
   1503.000      -52.20873       29.15784    
   1508.000      -54.46614       30.04541    
   1513.000      -19.81932       30.05942    
   1516.000      -19.63130       29.96234    
   1518.000      -19.51301       29.89803    
   1521.000      -19.34490       29.80215    
   1523.000      -19.23847       29.73862    
   1526.000      -19.08647       29.64392    
   1528.000      -18.98982       29.58117    
   1531.000      -18.85129       29.48763    
   1533.000      -18.76295       29.42565    
   1536.000      -18.63605       29.33324    
   1538.000      -18.55499       29.27202    
   1541.000      -18.43839       29.18073    
   1543.000      -18.36384       29.12024    
   1546.000      -18.25658       29.03005    
   1548.000      -18.18801       28.97029    
   1551.000      -18.08943       28.88119    
   1553.000      -18.02647       28.82214    
   1556.000      -17.93618       28.73410    
   1558.000      -17.87867       28.67575    
   1561.000      -17.79641       28.58875    
   1563.000      -17.74426       28.53110    
   1566.000      -17.67010       28.44513    
   1568.000      -17.62343       28.38816    
   1571.000      -17.55767       28.30321    
   1573.000      -17.51677       28.24690    
   1576.000      -17.46006       28.16294    
   1578.000      -17.42552       28.10730    
   1581.000      -17.37899       28.02432    
   1586.000      -17.31738       27.88731    
   1591.000      -17.28026       27.75189    
   1596.000      -17.27680       27.61804    
   1600.000      -17.31024       27.51207    
   1601.000      -17.32578       27.48573    
   1606.000      -17.47514       27.35493    
   1611.000      -17.93160       27.22564    
   1616.000      -17.98623       28.96655    
   1621.000      -17.12588       28.82466    
   1626.000      -16.68266       28.68466    
   1631.000      -16.35738       28.54653    
   1636.000      -16.09075       28.41022    
   1641.000      -15.86027       28.27572    
   1646.000      -15.65488       28.14298    
   1651.000      -15.46828       28.01199    
   1656.000      -15.29653       27.88272    
   1661.000      -15.13697       27.75513    
   1666.000      -14.98774       27.62920    
   1671.000      -14.84747       27.50491    
   1676.000      -14.71511       27.38223    
   1681.000      -14.58988       27.26114    
   1686.000      -14.47113       27.14162    
   1691.000      -14.35836       27.02363    
   1696.000      -14.25119       26.90717    
   1700.000      -14.16924       26.81508    
   1701.000      -14.14927       26.79220    
   1703.000      -14.10992       26.74663    
   1706.000      -14.05236       26.67871    
   1708.000      -14.01496       26.63373    
   1711.000      -13.96029       26.56668    
   1713.000      -13.92477       26.52227    
   1718.000      -13.83923       26.41225    
   1723.000      -13.75828       26.30363    
   1728.000      -13.68191       26.19641    
   1733.000      -13.61016       26.09057    
   1738.000      -13.54317       25.98608    
   1743.000      -13.48114       25.88293    
   1748.000      -13.42439       25.78111    
   1753.000      -13.37337       25.68060    
   1758.000      -13.32875       25.58137    
   1763.000      -13.29152       25.48343    
   1768.000      -13.26312       25.38675    
   1773.000      -13.24580       25.29131    
   1778.000      -13.24330       25.19711    
   1783.000      -13.26229       25.10413    
   1788.000      -13.31671       25.01236    
   1793.000      -13.44400       24.92179    
   1798.000      -13.84017       24.83240    
   1800.000      -17.46368       24.79697    
   1803.000      -13.61497       25.92458    
   1808.000      -13.17481       25.83469    
   1813.000      -12.92309       25.74599    
   1818.000      -12.73334       25.65847    
   1823.000      -12.57537       25.57213    
   1828.000      -12.43708       25.48694    
   1833.000      -12.31237       25.40290    
   1838.000      -12.19770       25.32000    
   1843.000      -12.09086       25.23823    
   1848.000      -11.99033       25.15758    
   1853.000      -11.89504       25.07804    
   1858.000      -11.80421       24.99959    
   1863.000      -11.71724       24.92224    
   1868.000      -11.63365       24.84596    
   1873.000      -11.55308       24.77076    
   1878.000      -11.47520       24.69663    
   1883.000      -11.39977       24.62355    
   1888.000      -11.32658       24.55152    
   1893.000      -11.25542       24.48054    
   1898.000      -11.18616       24.41058    
   1900.000      -11.15895       24.38289    
   2000.000      -9.377172       22.94202    
   2100.000      -8.154176       21.66703    
   2200.000      -7.352782       20.42834    
   2300.000      -6.535230       19.29846    
   2400.000      -5.847047       18.21758    
   2500.000      -5.412961       17.21324    
   2600.000      -5.180056       16.29543    
   2700.000      -4.898609       15.44853    
   2800.000      -4.674664       14.66519    
