  Element 26: Fe      Atomic mass:   55.8470

  Edge          keV         A
    K         7.1120    1.7433

Scattering factors as a function of energy: 

   1000.000      -3.883686       11.72093    
   1100.000      -2.540634       10.27219    
   1200.000      -1.683888       9.094141    
   1300.000      -1.115846       8.105280    
   1400.000     -0.7409161       7.270536    
   1500.000     -0.4825158       6.558800    
   1600.000     -0.3094403       5.946830    
   1700.000     -0.1973658       5.416941    
   1800.000     -0.1252194       4.955040    
   1900.000     -8.0611087E-02   4.549855    
   2000.000     -5.7835694E-02   4.192333    
   2100.000     -5.1210735E-02   3.875228    
   2200.000     -5.6610510E-02   3.592631    
   2300.000     -7.1005285E-02   3.339681    
   2400.000     -9.2151552E-02   3.112349    
   2500.000     -0.1183800       2.907274    
   2600.000     -0.1484500       2.721632    
   2700.000     -0.1814508       2.553031    
   2800.000     -0.2167409       2.399444    
   2900.000     -0.2754607       2.260164    
   3000.000     -0.3138266       2.133553    
   3100.000     -0.3512698       2.018443    
   3200.000     -0.3889650       1.912562    
   3300.000     -0.4267831       1.814933    
   3400.000     -0.4656484       1.724720    
   3500.000     -0.5036982       1.641255    
   3600.000     -0.5416844       1.563825    
   3700.000     -0.5796130       1.491854    
   3800.000     -0.6175030       1.424833    
   3900.000     -0.6553892       1.362312    
   4000.000     -0.6933190       1.303891    
   4100.000     -0.7313522       1.249214    
   4200.000     -0.7695590       1.197964    
   4300.000     -0.8080203       1.149855    
   4400.000     -0.8468267       1.104634    
   4500.000     -0.8860803       1.062070    
   4600.000     -0.9258945       1.021956    
   4700.000     -0.9663954      0.9841050    
   4800.000      -1.007724      0.9483480    
   4900.000      -1.050038      0.9145314    
   5000.000      -1.093515      0.8825152    
   5100.000      -1.138356      0.8521724    
   5200.000      -1.184791      0.8233867    
   5300.000      -1.233086      0.7960520    
   5400.000      -1.283549      0.7700714    
   5500.000      -1.336541      0.7453558    
   5600.000      -1.392493      0.7218233    
   5700.000      -1.451924      0.6993986    
   5800.000      -1.515466      0.6780124    
   5900.000      -1.583903      0.6576009    
   6000.000      -1.658225      0.6381052    
   6100.000      -1.739707      0.6194704    
   6200.000      -1.830029      0.6016462    
   6300.000      -1.931474      0.5845856    
   6400.000      -2.047246      0.5682452    
   6500.000      -2.182048      0.5525846    
   6600.000      -2.343179      0.5375661    
   6700.000      -2.542853      0.5231548    
   6800.000      -2.803862      0.5093179    
   6900.000      -3.176651      0.4960252    
   7000.000      -3.815184      0.4832481    
   7015.000      -3.962510      0.4813744    
   7020.000      -4.017018      0.4807522    
   7025.000      -4.074730      0.4801312    
   7030.000      -4.136031      0.4795114    
   7035.000      -4.201370      0.4788930    
   7040.000      -4.271311      0.4782756    
   7045.000      -4.346515      0.4776594    
   7050.000      -4.427807      0.4770445    
   7055.000      -4.516212      0.4764308    
   7060.000      -4.613067      0.4758182    
   7065.000      -4.720086      0.4752068    
   7070.000      -4.839573      0.4745966    
   7075.000      -4.974701      0.4739876    
   7080.000      -5.130078      0.4733797    
   7085.000      -5.312624      0.4727730    
   7090.000      -5.533569      0.4721675    
   7095.000      -5.812904      0.4715632    
   7100.000      -6.192022      0.4709600    
   7105.000      -6.781595      0.4703580    
   7110.000      -8.159699      0.4697571    
   7115.000      -7.712439       3.950112    
   7120.000      -6.616264       3.944420    
   7125.000      -6.070572       3.938747    
   7130.000      -5.703087       3.933092    
   7135.000      -5.425135       3.927457    
   7140.000      -5.201268       3.921840    
   7145.000      -5.013628       3.916242    
   7150.000      -4.852008       3.910662    
   7155.000      -4.709988       3.905100    
   7160.000      -4.583281       3.899558    
   7165.000      -4.468844       3.894033    
   7170.000      -4.364488       3.888526    
   7175.000      -4.268559       3.883038    
   7180.000      -4.179786       3.877568    
   7185.000      -4.097149       3.872116    
   7190.000      -4.019849       3.866681    
   7195.000      -3.947231       3.861264    
   7200.000      -3.878759       3.855866    
   7205.000      -3.813970       3.850485    
   7210.000      -3.752487       3.845122    
   7300.000      -2.981344       3.751515    
   7400.000      -2.473042       3.653702    
   7500.000      -2.119659       3.561929    
   7600.000      -1.851138       3.475747    
   7700.000      -1.636519       3.394748    
   7800.000      -1.459201       3.318563    
   7900.000      -1.309163       3.246855    
   8000.000      -1.179836       3.179316    
   8100.000      -1.066637       3.115665    
   8200.000     -0.9662024       3.055648    
   8300.000     -0.8759362       2.999027    
   8400.000     -0.7937280       2.945588    
   8500.000     -0.7177295       2.895133    
   8600.000     -0.6461488       2.847481    
   8700.000     -0.5769566       2.802464    
   8800.000     -0.5073217       2.759927    
   8900.000     -0.4321914       2.719724    
   9000.000     -0.3795558       2.670229    
   9100.000     -0.3308405       2.621958    
   9200.000     -0.2856742       2.574870    
   9300.000     -0.2460591       2.529067    
   9400.000     -0.2075828       2.484574    
   9500.000     -0.1717504       2.441259    
   9600.000     -0.1383357       2.399079    
   9700.000     -0.1071374       2.357996    
   9800.000     -7.7975348E-02   2.317969    
   9900.000     -5.0689444E-02   2.278963    
   10000.00     -2.5135085E-02   2.240942    
   10100.00     -1.1827513E-03   2.203874    
   10200.00      2.1284632E-02   2.167727    
   10300.00      4.2373788E-02   2.132468    
   10400.00      6.2180921E-02   2.098070    
   10500.00      8.0794454E-02   2.064503    
   10600.00      9.8294608E-02   2.031741    
   10700.00      0.1147549       1.999758    
   10800.00      0.1302431       1.968529    
