  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   1000.000      -31.97428       30.75565    
   1100.000      -29.50444       28.53168    
   1200.000      -27.61695       27.07104    
   1300.000      -25.97748       25.23985    
   1400.000      -24.80924       23.58294    
   1500.000      -23.90657       22.08216    
   1600.000      -23.25157       20.69778    
   1700.000      -22.79789       19.42689    
   1800.000      -22.51041       18.25809    
   1900.000      -22.37539       17.18054    
   2000.000      -22.38257       16.18538    
   2100.000      -22.52826       15.26487    
   2200.000      -22.81564       14.41218    
   2300.000      -23.25640       13.62125    
   2400.000      -24.14418       12.91631    
   2500.000      -25.18504       12.28360    
   2600.000      -26.32689       11.69884    
   2700.000      -27.95692       11.15460    
   2800.000      -30.60322       10.64711    
   2900.000      -36.71459       10.17307    
   2902.000      -36.93545       10.16391    
   2907.000      -37.52148       10.14106    
   2912.000      -38.16147       10.11829    
   2917.000      -38.86376       10.09559    
   2922.000      -39.63834       10.07297    
   2927.000      -40.49761       10.05042    
   2932.000      -41.45676       10.02794    
   2937.000      -42.53506       10.00554    
   2942.000      -43.75687       9.983220    
   2947.000      -45.15400       9.960967    
   2952.000      -46.76828       9.938788    
   2957.000      -48.65675       9.916681    
   2962.000      -50.89864       9.894648    
   2967.000      -53.60929       9.872684    
   2972.000      -56.96336       9.850795    
   2977.000      -61.24445       9.828976    
   2982.000      -66.95406       9.807227    
   2987.000      -75.10893       9.785550    
   2992.000      -88.31825       9.763944    
   2997.000      -118.2232       9.742408    
   3000.000      -190.6488       110.6871    
   3002.000      -121.5999       107.5651    
   3007.000      -79.97753       100.2339    
   3012.000      -60.98831       93.52724    
   3017.000      -49.03288       87.38710    
   3022.000      -40.69323       81.76030    
   3027.000      -34.59387       76.60001    
   3032.000      -30.02594       71.86308    
   3037.000      -26.57201       67.51154    
   3039.000      -25.43869       65.87076    
   3042.000      -23.96298       63.51027    
   3044.000      -23.11304       62.00093    
   3047.000      -22.01610       59.82838    
   3049.000      -21.39233       58.43847    
   3052.000      -20.60169       56.43724    
   3054.000      -20.16316       55.15656    
   3057.000      -19.62612       53.31162    
   3059.000      -19.34269       52.13033    
   3062.000      -19.02072       50.42808    
   3064.000      -18.87055       49.33784    
   3067.000      -18.73575       47.76596    
   3069.000      -18.70321       46.75870    
   3072.000      -18.73625       45.30605    
   3074.000      -18.81097       44.37491    
   3077.000      -18.99982       43.03135    
   3079.000      -19.17611       42.16970    
   3082.000      -19.51565       40.92605    
   3084.000      -19.79240       40.12815    
   3087.000      -20.28457       38.97617    
   3089.000      -20.66569       38.23672    
   3092.000      -21.32077       37.16862    
   3094.000      -21.81632       36.48280    
   3097.000      -22.65502       35.49186    
   3099.000      -23.28336       34.85529    
   3100.000      -23.61996       34.54403    
   3104.000      -25.13365       33.34374    
   3109.000      -27.47793       31.93895    
   3114.000      -30.50600       30.63223    
   3119.000      -34.56551       29.41594    
   3124.000      -40.38421       28.28284    
   3129.000      -49.90194       27.22654    
   3134.000      -72.80537       26.24101    
   3139.000      -66.72576       89.99872    
   3144.000      -42.25076       84.50764    
   3149.000      -30.42266       79.45216    
   3154.000      -22.88351       74.79350    
   3159.000      -17.59784       70.49745    
   3164.000      -13.72097       66.53224    
   3169.000      -10.81013       62.86983    
   3174.000      -8.599662       59.48409    
   3179.000      -6.916872       56.35197    
   3184.000      -5.641741       53.45193    
   3189.000      -4.687807       50.76495    
   3194.000      -3.990329       48.27322    
   3199.000      -3.499884       45.96102    
   3200.000      -3.423065       45.51872    
   3204.000      -3.177788       43.81358    
   3209.000      -2.993426       41.81776    
   3214.000      -2.922193       39.96155    
   3219.000      -2.944117       38.23375    
   3224.000      -3.042860       36.62445    
   3229.000      -3.204970       35.12429    
   3234.000      -3.419277       33.72499    
   3300.000      -8.291472       21.81831    
   3400.000      -15.85051       14.91289    
   3500.000      -22.19510       12.48679    
   3566.000      -26.41133       11.86692    
   3571.000      -26.75402       11.84132    
   3576.000      -27.10227       11.81847    
   3581.000      -27.45679       11.79832    
   3586.000      -27.81833       11.78086    
   3591.000      -28.18782       11.76606    
   3596.000      -28.56631       11.75392    
   3600.000      -28.87645       11.74611    
   3601.000      -28.95512       11.74442    
   3606.000      -29.35579       11.73756    
   3611.000      -29.77034       11.73335    
   3616.000      -30.20128       11.73178    
   3621.000      -30.65198       11.73288    
   3626.000      -31.12698       11.73665    
   3631.000      -31.63283       11.74312    
   3636.000      -32.17925       11.75231    
   3641.000      -32.78202       11.76426    
   3646.000      -33.46901       11.77900    
   3651.000      -34.29779       11.79658    
   3656.000      -35.42202       11.81703    
   3661.000      -37.64421       11.84041    
   3666.000      -37.33041       16.69675    
   3671.000      -36.12409       16.70992    
   3676.000      -35.68935       16.72638    
   3681.000      -35.50841       16.74621    
   3686.000      -35.45795       16.76949    
   3691.000      -35.48873       16.79631    
   3696.000      -35.57611       16.82676    
   3700.000      -35.67711       16.85380    
   3701.000      -35.70603       16.86093    
   3706.000      -35.86976       16.89894    
   3711.000      -36.06154       16.94089    
