  Element 31: Ga      Atomic mass:   69.7200

  Edge          keV         A
    K        10.3671    1.1959
    L-I       1.2977    9.5542
    L-II      1.1423   10.8539
    L-III     1.1154   11.1157

Scattering factors as a function of energy: 

   1000.000      -12.78024       2.622440    
   1100.000      -23.67351       2.312109    
   1200.000      -2.682566       11.65662    
   1205.000      -3.065672       10.81520    
   1210.000      -3.465937       10.08000    
   1215.000      -3.875939       9.435927    
   1220.000      -4.290639       8.870313    
   1225.000      -4.706735       8.372511    
   1230.000      -5.122201       7.933538    
   1235.000      -5.535975       7.545800    
   1240.000      -5.947742       7.202854    
   1245.000      -6.357804       6.899230    
   1250.000      -6.766998       6.630270    
   1255.000      -7.176702       6.392002    
   1260.000      -7.588907       6.181035    
   1265.000      -8.006413       5.994472    
   1270.000      -8.433251       5.829834    
   1275.000      -8.875569       5.685009    
   1280.000      -9.343676       5.558189    
   1285.000      -9.857612       5.447840    
   1290.000      -10.46733       5.352658    
   1295.000      -11.39250       5.271546    
   1300.000      -11.80414       7.023297    
   1305.000      -11.45599       6.967597    
   1310.000      -11.47662       6.923607    
   1315.000      -11.60475       6.890850    
   1320.000      -11.78719       6.868974    
   1325.000      -12.00424       6.857738    
   1330.000      -12.24675       6.857008    
   1335.000      -12.51003       6.866754    
   1340.000      -12.79155       6.887047    
   1345.000      -13.09006       6.918058    
   1350.000      -13.40507       6.960057    
   1355.000      -13.73658       7.013420    
   1360.000      -14.08498       7.078628    
   1365.000      -14.45092       7.156275    
   1370.000      -14.83532       7.247075    
   1375.000      -15.23928       7.351871    
   1380.000      -15.66408       7.471646    
   1385.000      -16.11121       7.607537    
   1390.000      -16.58234       7.760849    
   1395.000      -17.07932       7.933075    
   1400.000      -17.60420       8.125916    
   1500.000      -4.018536       12.44893    
   1600.000      -2.885425       11.31038    
   1700.000      -2.145375       10.32254    
   1800.000      -1.592947       9.482872    
   1900.000      -1.184808       8.750233    
   2000.000     -0.8953396       8.107148    
   2100.000     -0.6709451       7.539242    
   2200.000     -0.4910424       7.033835    
   2300.000     -0.2669138       6.570822    
   2400.000     -0.1589576       6.143772    
   2500.000     -7.8631461E-02   5.756646    
   2600.000     -2.8784975E-02   5.404647    
   2700.000      1.1684831E-02   5.085346    
   2800.000      3.8398005E-02   4.793488    
   2900.000      5.4030951E-02   4.525991    
   3000.000      5.7593603E-02   4.280249    
   3100.000      5.6503318E-02   4.055951    
   3200.000      4.9936719E-02   3.849130    
   3300.000      3.8955834E-02   3.657989    
   3400.000      2.4415979E-02   3.480960    
   3500.000      7.0093237E-03   3.316668    
   3600.000     -1.2702152E-02   3.163903    
   3700.000     -3.4260809E-02   3.021596    
   3800.000     -5.7292998E-02   2.888803    
   3900.000     -8.1493519E-02   2.764682    
   4000.000     -0.1066125       2.648485    
   4100.000     -0.1324460       2.539543    
   4200.000     -0.1588271       2.437257    
   4300.000     -0.1856200       2.341089    
   4400.000     -0.2127144       2.250556    
   4500.000     -0.2400214       2.165220    
   4600.000     -0.2674696       2.084686    
   4700.000     -0.2950028       2.008598    
   4800.000     -0.3225760       1.936629    
   4900.000     -0.3527754       1.868593    
   5000.000     -0.3820444       1.804215    
   5100.000     -0.4095708       1.743193    
   5200.000     -0.4370374       1.685247    
   5300.000     -0.4644422       1.630172    
   5400.000     -0.4917867       1.577779    
   5500.000     -0.5190772       1.527894    
   5600.000     -0.5463270       1.480357    
   5700.000     -0.5766885       1.435150    
   5800.000     -0.6039156       1.392048    
   5900.000     -0.6311359       1.350885    
   6000.000     -0.6583713       1.311545    
   6100.000     -0.6856458       1.273920    
   6200.000     -0.7129853       1.237912    
   6300.000     -0.7404187       1.203427    
   6400.000     -0.7679761       1.170380    
   6500.000     -0.7956909       1.138691    
   6600.000     -0.8235986       1.108286    
   6700.000     -0.8517374       1.079096    
   6800.000     -0.8801485       1.051055    
   6900.000     -0.9088759       1.024103    
   7000.000     -0.9379674      0.9981853    
   7100.000     -0.9674743      0.9732476    
   7200.000     -0.9974524      0.9492409    
   7300.000      -1.027962      0.9261189    
   7400.000      -1.059070      0.9038382    
   7500.000      -1.090847      0.8823581    
   7600.000      -1.123374      0.8616402    
   7700.000      -1.156737      0.8416483    
   7800.000      -1.191034      0.8223487    
   7900.000      -1.226374      0.8037095    
   8000.000      -1.262904      0.7857007    
   8100.000      -1.300705      0.7682937    
   8200.000      -1.339959      0.7514619    
   8300.000      -1.380844      0.7351796    
   8400.000      -1.423561      0.7194232    
   8500.000      -1.468345      0.7041699    
   8600.000      -1.515470      0.6893983    
   8700.000      -1.565254      0.6750884    
   8800.000      -1.618083      0.6612206    
   8900.000      -1.674413      0.6477770    
   9000.000      -1.734817      0.6348592    
   9100.000      -1.799964      0.6223299    
   9200.000      -1.870713      0.6101736    
   9300.000      -1.948166      0.5983752    
   9400.000      -2.033750      0.5869208    
   9500.000      -2.129380      0.5757968    
   9600.000      -2.237686      0.5649906    
   9700.000      -2.362435      0.5544900    
   9800.000      -2.509282      0.5442833    
   9900.000      -2.687268      0.5343597    
   10000.00      -2.912190      0.5247084    
   10100.00      -3.215471      0.5153197    
   10200.00      -3.674937      0.5061839    
   10270.00      -4.222119      0.4999343    
   10275.00      -4.276143      0.4994925    
   10280.00      -4.333321      0.4990512    
   10285.00      -4.394018      0.4986105    
