  Element 32: Ge      Atomic mass:   72.5900

  Edge          keV         A
    K        11.1031    1.1167
    L-I       1.4143    8.7665
    L-II      1.2478    9.9362
    L-III     1.2167   10.1902

Scattering factors as a function of energy: 

   1000.000      -10.62158       3.030499    
   1100.000      -12.66404       2.669826    
   1119.000      -13.31215       2.608961    
   1124.000      -13.51035       2.593306    
   1129.000      -13.72315       2.577797    
   1134.000      -13.95276       2.562434    
   1139.000      -14.20188       2.547213    
   1144.000      -14.47385       2.532134    
   1149.000      -14.77293       2.517194    
   1150.000      -14.83644       2.514223    
   1154.000      -15.10455       2.502392    
   1155.000      -15.17537       2.499448    
   1159.000      -15.47582       2.487725    
   1160.000      -15.55560       2.484808    
   1164.000      -15.89615       2.473193    
   1165.000      -15.98715       2.470302    
   1169.000      -16.37834       2.458792    
   1170.000      -16.48365       2.455928    
   1174.000      -16.94024       2.444523    
   1175.000      -17.06425       2.441684    
   1179.000      -17.60748       2.430382    
   1180.000      -17.75663       2.427569    
   1184.000      -18.41835       2.416368    
   1185.000      -18.60248       2.413581    
   1189.000      -19.43279       2.402480    
   1190.000      -19.66787       2.399718    
   1194.000      -20.75075       2.388717    
   1195.000      -21.06450       2.385978    
   1199.000      -22.55417       2.375075    
   1200.000      -23.00038       2.372362    
   1204.000      -25.22126       2.361555    
   1205.000      -25.92340       2.358865    
   1209.000      -29.74165       2.348154    
   1210.000      -31.08956       2.345488    
   1214.000      -40.59650       2.334872    
   1215.000      -45.75535       2.332229    
   1219.000      -40.05423       38.66073    
   1220.000      -35.11284       37.61993    
   1224.000      -24.47836       33.79915    
   1225.000      -22.87158       32.92305    
   1229.000      -18.43995       29.70095    
   1230.000      -17.69080       28.96072    
   1234.000      -15.70668       26.23334    
   1235.000      -15.43150       25.60559    
   1239.000      -15.18346       23.28854    
   1240.000      -15.36201       22.75426    
   1244.000      -17.68896       20.77874    
   1245.000      -19.04809       20.32239    
   1249.000      -22.45259       36.98869    
   1250.000      -18.27637       36.08654    
   1254.000      -10.77829       32.75563    
   1255.000      -9.691400       31.98735    
   1259.000      -6.604685       29.14585    
   1260.000      -6.045783       28.48930    
   1264.000      -4.344215       26.05686    
   1265.000      -4.022351       25.49393    
   1269.000      -3.030843       23.40468    
   1270.000      -2.843606       22.92036    
   1274.000      -2.278430       21.11996    
   1275.000      -2.175849       20.70192    
   1279.000      -1.886088       19.14545    
   1280.000      -1.839533       18.78348    
   1284.000      -1.735373       17.43369    
   1285.000      -1.727018       17.11930    
   1289.000      -1.750371       15.94520    
   1290.000      -1.768489       15.67131    
   1294.000      -1.880554       14.64704    
   1295.000      -1.917141       14.40776    
   1299.000      -2.091136       13.51166    
   1300.000      -2.140607       13.30202    
   1304.000      -2.357686       12.51592    
   1305.000      -2.416079       12.33177    
   1309.000      -2.662071       11.64036    
   1310.000      -2.727632       11.47818    
   1314.000      -2.994300       10.86854    
   1315.000      -3.062876       10.72535    
   1317.000      -3.201844       10.44936    
   1320.000      -3.414099       10.05986    
   1322.000      -3.557615       9.815493    
   1325.000      -3.775179       9.470255    
   1327.000      -3.921379       9.253436    
   1330.000      -4.141913       8.946815    
   1332.000      -4.289505       8.754067    
   1335.000      -4.511414       8.481242    
   1337.000      -4.659535       8.309590    
   1340.000      -4.881787       8.066434    
   1342.000      -5.029904       7.913333    
   1345.000      -5.251901       7.696306    
   1347.000      -5.399736       7.559569    
   1352.000      -5.768707       7.243377    
   1357.000      -6.136958       6.960516    
   1362.000      -6.505039       6.707329    
   1367.000      -6.873913       6.480655    
   1372.000      -7.244992       6.277761    
   1377.000      -7.620259       6.096280    
   1382.000      -8.002501       5.934162    
   1387.000      -8.395780       5.789632    
   1392.000      -8.806411       5.661152    
   1397.000      -9.245219       5.547394    
   1400.000      -9.530142       5.485722    
   1402.000      -9.733787       5.447213    
   1407.000      -10.32781       5.359623    
   1412.000      -11.29540       5.283784    
   1417.000      -11.48348       7.081266    
   1422.000      -11.14675       7.024066    
   1427.000      -11.13699       6.976806    
   1432.000      -11.22964       6.939084    
   1437.000      -11.37470       6.910584    
   1442.000      -11.55296       6.891078    
   1447.000      -11.75523       6.880406    
   1452.000      -11.97659       6.878489    
   1457.000      -12.21429       6.885314    
   1462.000      -12.46675       6.900941    
   1467.000      -12.73313       6.925497    
   1472.000      -13.01309       6.959180    
   1477.000      -13.30662       7.002259    
   1482.000      -13.61397       7.055077    
   1487.000      -13.93558       7.118052    
   1492.000      -14.27205       7.191684    
   1497.000      -14.62415       7.276561    
   1500.000      -14.84328       7.333163    
   1502.000      -14.99277       7.373362    
   1507.000      -15.37893       7.482864    
   1512.000      -15.78376       7.605958    
   1600.000      -10.27940       11.88454    
   1700.000      -3.207281       11.63209    
   1800.000      -2.386197       10.68658    
   1900.000      -1.788472       9.858903    
   2000.000      -1.342155       9.129433    
   2100.000      -1.003056       8.482606    
   2200.000     -0.7423921       7.905884    
   2300.000     -0.5568449       7.389423    
   2400.000     -0.3995557       6.925211    
   2500.000     -0.2302962       6.500311    
   2600.000     -0.1344576       6.107816    
   2700.000     -6.2074747E-02   5.749597    
   2800.000     -8.5888319E-03   5.421735    
   2900.000      2.3451893E-02   5.121695    
   3000.000      4.8767202E-02   4.846118    
   3100.000      6.3620761E-02   4.593814    
   3200.000      7.0713162E-02   4.361057    
