  Element 72: Hf      Atomic mass:  178.4900

  Edge          keV         A
    K        65.3508    0.1897
    L-I      11.2707    1.1001
    L-II     10.7394    1.1545
    L-III     9.5607    1.2968
    M1        2.6009    4.7670
    M2        2.3654    5.2416
    M3        2.1076    5.8827
    M4        1.7164    7.2235
    M5        1.6617    7.4613

Scattering factors as a function of energy: 

   1000.000      -28.30131       13.48371    
   1100.000      -28.34660       12.43040    
   1200.000      -28.80245       11.49405    
   1300.000      -29.75377       10.65733    
   1400.000      -31.43159       9.906065    
   1500.000      -34.59272       9.228657    
   1564.000      -39.03387       8.830997    
   1569.000      -39.59194       8.801043    
   1574.000      -40.20601       8.771237    
   1579.000      -40.88584       8.741578    
   1584.000      -41.64357       8.712065    
   1589.000      -42.49442       8.682695    
   1594.000      -43.45771       8.653470    
   1599.000      -44.55830       8.624387    
   1600.000      -44.79760       8.618587    
   1604.000      -45.82865       8.595447    
   1609.000      -47.31192       8.566646    
   1614.000      -49.06666       8.537986    
   1619.000      -51.17425       8.509464    
   1619.000      -51.17425       8.509464    
   1624.000      -53.75113       8.481080    
   1624.000      -53.75113       8.481080    
   1629.000      -56.97018       8.452834    
   1629.000      -56.97018       8.452834    
   1634.000      -61.10018       8.424724    
   1634.000      -61.10018       8.424724    
   1639.000      -66.58599       8.396749    
   1639.000      -66.58599       8.396749    
   1644.000      -74.23024       8.368908    
   1644.000      -74.23024       8.368908    
   1649.000      -85.68839       8.341201    
   1649.000      -85.68839       8.341201    
   1654.000      -105.2615       8.313626    
   1654.000      -105.2615       8.313626    
   1659.000      -152.3228       8.286184    
   1659.000      -152.3228       8.286184    
   1664.000      -150.9503       166.5463    
   1664.000      -150.9503       166.5463    
   1669.000      -80.27728       142.4046    
   1669.000      -80.27728       142.4046    
   1674.000      -51.82075       122.3516    
   1674.000      -51.82075       122.3516    
   1679.000      -37.00642       105.6388    
   1679.000      -37.00642       105.6388    
   1684.000      -29.25129       91.66353    
   1684.000      -29.25129       91.66353    
   1689.000      -25.93835       79.93905    
   1689.000      -25.93835       79.93905    
   1694.000      -25.91103       70.07088    
   1694.000      -25.91103       70.07088    
   1699.000      -28.86023       61.73842    
   1699.000      -28.86023       61.73842    
   1700.000      -29.83757       60.23225    
   1704.000      -35.37789       54.68034    
   1704.000      -35.37789       54.68034    
   1709.000      -48.09103       48.68295    
   1709.000      -48.09103       48.68295    
   1714.000      -81.03500       43.57104    
   1714.000      -81.03500       43.57104    
   1719.000      -72.04607       140.6936    
   1719.000      -72.04607       140.6936    
   1724.000      -29.89422       122.0561    
   1724.000      -29.89422       122.0561    
   1729.000      -12.22776       106.3779    
   1729.000      -12.22776       106.3779    
   1734.000      -2.788627       93.14709    
   1734.000      -2.788627       93.14709    
   1739.000       2.479271       81.94640    
   1739.000       2.479271       81.94640    
   1744.000       5.308886       72.43483    
   1744.000       5.308886       72.43483    
   1749.000       6.595772       64.33284    
   1749.000       6.595772       64.33284    
   1754.000       6.915022       57.41068    
   1754.000       6.915022       57.41068    
   1759.000       6.587150       51.47875    
   1759.000       6.587150       51.47875    
   1764.000       5.834306       46.38025    
   1769.000       4.806198       41.98552    
   1774.000       3.605379       38.18644    
   1779.000       2.302846       34.89299    
   1784.000      0.9479408       32.02991    
   1789.000     -0.4250955       29.53415    
   1794.000      -1.792666       27.35273    
   1799.000      -3.138465       25.44102    
   1800.000      -3.403420       25.08764    
   1804.000      -4.453781       23.76132    
   1809.000      -5.729327       22.28175    
   1814.000      -6.962680       20.97521    
   1900.000      -22.45078       11.61614    
   2000.000      -35.83227       10.16749    
   2010.000      -37.35605       10.22702    
   2015.000      -38.14943       10.27059    
   2020.000      -38.96658       10.32384    
   2025.000      -39.80991       10.38726    
   2030.000      -40.68184       10.46136    
   2035.000      -41.58523       10.54678    
   2040.000      -42.52302       10.64421    
   2045.000      -43.49868       10.75445    
   2050.000      -44.51594       10.87840    
   2055.000      -45.57925       11.01708    
   2060.000      -46.69356       11.17163    
   2065.000      -47.86502       11.34334    
   2070.000      -49.10089       11.53362    
   2075.000      -50.41075       11.74409    
   2080.000      -51.80716       11.97652    
   2085.000      -53.30866       12.23293    
   2090.000      -54.94476       12.51554    
   2095.000      -56.77139       12.82687    
   2100.000      -58.92466       13.16968    
   2105.000      -62.00616       13.54712    
   2110.000      -63.67213       18.70356    
   2115.000      -63.59979       19.13415    
   2120.000      -64.55387       19.61166    
   2125.000      -65.88536       20.14107    
   2130.000      -67.46388       20.72785    
   2135.000      -69.24542       21.37816    
   2140.000      -71.21436       22.09902    
   2145.000      -73.36725       22.89821    
   2150.000      -75.70782       23.78462    
   2155.000      -78.25407       24.76814    
   2160.000      -80.99326       25.86010    
   2165.000      -35.88168       25.99761    
   2170.000      -36.39082       26.11024    
   2175.000      -36.95061       26.24201    
   2180.000      -37.56278       26.39481    
   2185.000      -38.22955       26.57070    
   2190.000      -38.95378       26.77203    
   2195.000      -39.73872       27.00139    
   2200.000      -40.58828       27.26172    
   2205.000      -41.50675       27.55625    
   2268.000      -16.69044       29.07980    
   2273.000      -16.59810       28.97982    
   2278.000      -16.51812       28.88059    
   2283.000      -16.44253       28.78209    
   2288.000      -16.37146       28.68432    
   2293.000      -16.30511       28.58728    
   2298.000      -16.24375       28.49096    
   2300.000      -16.22067       28.45263    
