  Element 80: Hg      Atomic mass:  200.5900

  Edge          keV         A
    K        83.1023    0.1492
    L-I      14.8393    0.8355
    L-II     14.2087    0.8726
    L-III    12.2839    1.0093
    M1        3.5616    3.4811
    M2        3.2785    3.7817
    M3        2.8471    4.3548
    M4        2.3849    5.1987
    M5        2.2949    5.4026

Scattering factors as a function of energy: 

   1000.000      -27.43150       22.03594    
   1100.000      -26.13155       20.38313    
   1200.000      -25.22730       18.85389    
   1300.000      -24.64605       17.44462    
   1400.000      -24.35248       16.15044    
   1500.000      -24.54519       14.99216    
   1600.000      -24.95460       13.98501    
   1700.000      -25.42835       13.07968    
   1800.000      -26.17240       12.25983    
   1900.000      -27.42907       11.52153    
   2000.000      -29.17369       10.86199    
   2100.000      -31.83452       10.25966    
   2197.000      -37.68285       9.722104    
   2200.000      -38.00961       9.706155    
   2202.000      -38.23710       9.695545    
   2207.000      -38.84315       9.669092    
   2212.000      -39.50924       9.642749    
   2217.000      -40.24557       9.616510    
   2222.000      -41.06463       9.590380    
   2227.000      -41.98215       9.564353    
   2232.000      -43.01794       9.538431    
   2237.000      -44.19742       9.512615    
   2242.000      -45.55400       9.486902    
   2247.000      -47.13197       9.461293    
   2252.000      -48.99211       9.435785    
   2257.000      -51.21955       9.410380    
   2262.000      -53.94162       9.385081    
   2267.000      -57.34266       9.359889    
   2272.000      -61.73476       9.334795    
   2277.000      -67.66575       9.309802    
   2282.000      -76.24630       9.284906    
   2287.000      -90.32956       9.260228    
   2287.000      -90.32956       9.260228    
   2292.000      -122.0077       9.235723    
   2292.000      -122.0077       9.235723    
   2297.000      -130.0630       119.5914    
   2297.000      -130.0630       119.5914    
   2300.000      -93.60511       112.8701    
   2302.000      -79.86235       108.6499    
   2302.000      -79.86235       108.6499    
   2307.000      -58.29607       98.93655    
   2307.000      -58.29607       98.93655    
   2312.000      -45.42810       90.29965    
   2312.000      -45.42810       90.29965    
   2317.000      -37.01143       82.60908    
   2317.000      -37.01143       82.60908    
   2322.000      -31.33744       75.75027    
   2322.000      -31.33744       75.75027    
   2327.000      -27.53385       69.62478    
   2327.000      -27.53385       69.62478    
   2332.000      -25.09616       64.14565    
   2332.000      -25.09616       64.14565    
   2337.000      -23.71587       59.23800    
   2337.000      -23.71587       59.23800    
   2342.000      -23.20350       54.83545    
   2342.000      -23.20350       54.83545    
   2347.000      -23.45412       50.88073    
   2347.000      -23.45412       50.88073    
   2352.000      -24.43425       47.32288    
   2352.000      -24.43425       47.32288    
   2357.000      -26.18649       44.11773    
   2357.000      -26.18649       44.11773    
   2362.000      -28.85776       41.22639    
   2362.000      -28.85776       41.22639    
   2367.000      -32.77781       38.61427    
   2367.000      -32.77781       38.61427    
   2372.000      -38.67913       36.25138    
   2372.000      -38.67913       36.25138    
   2377.000      -48.49789       34.11082    
   2377.000      -48.49789       34.11082    
   2382.000      -70.68409       32.16922    
   2382.000      -70.68409       32.16922    
   2387.000      -76.56947       107.5307    
   2387.000      -76.56947       107.5307    
   2392.000      -41.55102       98.24060    
   2392.000      -41.55102       98.24060    
   2397.000      -26.56977       89.97000    
   2400.000      -20.75378       85.44500    
   2402.000      -17.66595       82.59568    
   2407.000      -11.84971       76.00920    
   2412.000      -7.903836       70.11753    
   2417.000      -5.205619       64.83849    
   2422.000      -3.379476       60.10140    
   2427.000      -2.184611       55.84362    
   2432.000      -1.456933       52.01115    
   2437.000      -1.079847       48.55593    
   2442.000     -0.9683223       45.43646    
   2447.000      -1.058911       42.61567    
   2452.000      -1.303535       40.06149    
   2457.000      -1.665340       37.74517    
   2462.000      -2.115742       35.64175    
   2467.000      -2.632521       33.72883    
   2472.000      -3.198179       31.98691    
   2477.000      -3.799053       30.39840    
   2482.000      -4.424308       28.94792    
   2500.000      -6.762260       24.67163    
   2600.000      -18.01355       14.49522    
   2700.000      -26.56165       12.12463    
   2750.000      -30.92804       11.95607    
   2755.000      -31.39203       11.96819    
   2760.000      -31.86401       11.98567    
   2765.000      -32.34486       12.00859    
   2770.000      -32.83545       12.03705    
   2775.000      -33.33689       12.07116    
   2780.000      -33.85032       12.11105    
   2785.000      -34.37719       12.15689    
   2790.000      -34.91915       12.20885    
   2795.000      -35.47827       12.26711    
   2800.000      -36.05708       12.33190    
   2805.000      -36.65895       12.40345    
   2810.000      -37.28827       12.48202    
   2815.000      -37.95136       12.56791    
   2820.000      -38.65741       12.66142    
   2825.000      -39.42126       12.76289    
   2830.000      -40.26882       12.87270    
   2835.000      -41.25332       12.99124    
   2840.000      -42.51538       13.11894    
   2845.000      -44.77028       13.25628    
   2850.000      -44.82260       17.92483    
   2855.000      -43.90369       18.07633    
   2860.000      -43.73412       18.23918    
   2865.000      -43.81082       18.41405    
   2870.000      -44.01629       18.60159    
   2875.000      -44.30396       18.80257    
   2880.000      -44.65054       19.01777    
   2885.000      -45.04269       19.24803    
   2890.000      -45.47209       19.49431    
   2895.000      -45.93303       19.75757    
   2900.000      -46.42149       20.03892    
   2905.000      -46.93430       20.33948    
   2910.000      -47.35852       20.66048    
   2915.000      -47.91286       21.00321    
   2920.000      -48.48483       21.36923    
   2925.000      -49.07235       21.76006    
   2930.000      -49.67340       22.17743    
   2935.000      -50.28565       22.62312    
   2940.000      -50.90657       23.09915    
   2945.000      -51.53316       23.60760    
   3000.000      -16.74667       29.90291    
