  Element 67: Ho      Atomic mass:  164.9304

  Edge          keV         A
    K        55.6177    0.2229
    L-I       9.3942    1.3198
    L-II      8.9178    1.3903
    L-III     8.0711    1.5362
    M1        2.1283    5.8255
    M2        1.9228    6.4481
    M3        1.7412    7.1206
    M4        1.3915    8.9101
    M5        1.3514    9.1745

Scattering factors as a function of energy: 

   1000.000      -29.02143       9.786136    
   1100.000      -30.70775       9.055165    
   1200.000      -34.02211       8.394039    
   1254.000      -37.77095       8.064120    
   1259.000      -38.29542       8.034527    
   1264.000      -38.87186       8.005080    
   1269.000      -39.50959       7.975783    
   1274.000      -40.22037       7.946632    
   1279.000      -41.01904       7.917628    
   1284.000      -41.92466       7.888769    
   1289.000      -42.96202       7.860054    
   1294.000      -44.16389       7.831482    
   1294.000      -44.16389       7.831482    
   1299.000      -45.57440       7.803053    
   1299.000      -45.57440       7.803053    
   1300.000      -45.88647       7.797385    
   1304.000      -47.25415       7.774766    
   1304.000      -47.25415       7.774766    
   1309.000      -49.28857       7.746620    
   1309.000      -49.28857       7.746620    
   1314.000      -51.80165       7.718613    
   1314.000      -51.80165       7.718613    
   1319.000      -54.98020       7.690746    
   1319.000      -54.98020       7.690746    
   1324.000      -59.11921       7.663016    
   1324.000      -59.11921       7.663016    
   1329.000      -64.71474       7.635425    
   1329.000      -64.71474       7.635425    
   1334.000      -72.67819       7.607969    
   1334.000      -72.67819       7.607969    
   1339.000      -84.92703       7.580650    
   1339.000      -84.92703       7.580650    
   1344.000      -106.5838       7.553465    
   1344.000      -106.5838       7.553465    
   1349.000      -162.3598       7.526414    
   1349.000      -162.3598       7.526414    
   1354.000      -142.8426       179.4054    
   1354.000      -142.8426       179.4054    
   1359.000      -70.94893       147.0414    
   1359.000      -70.94893       147.0414    
   1364.000      -43.93805       121.4035    
   1364.000      -43.93805       121.4035    
   1369.000      -32.45814       100.9880    
   1369.000      -32.45814       100.9880    
   1374.000      -29.87304       84.64746    
   1374.000      -29.87304       84.64746    
   1379.000      -33.45345       71.50236    
   1379.000      -33.45345       71.50236    
   1384.000      -45.76313       60.87490    
   1384.000      -45.76313       60.87490    
   1389.000      -81.61911       52.24041    
   1389.000      -81.61911       52.24041    
   1394.000      -71.51875       162.5839    
   1394.000      -71.51875       162.5839    
   1399.000      -21.05967       135.0019    
   1399.000      -21.05967       135.0019    
   1400.000      -15.90068       130.1868    
   1404.000      -1.848714       112.9080    
   1404.000      -1.848714       112.9080    
   1409.000       7.154743       95.11977    
   1409.000       7.154743       95.11977    
   1414.000       11.22286       80.72609    
   1414.000       11.22286       80.72609    
   1419.000       12.58886       69.02146    
   1419.000       12.58886       69.02146    
   1424.000       12.40257       59.45712    
   1424.000       12.40257       59.45712    
   1429.000       11.31307       51.60422    
   1429.000       11.31307       51.60422    
   1434.000       9.708816       45.12613    
   1434.000       9.708816       45.12613    
   1439.000       7.828561       39.75742    
   1439.000       7.828561       39.75742    
   1444.000       5.821227       35.28790    
   1444.000       5.821227       35.28790    
   1449.000       3.779856       31.55039    
   1449.000       3.779856       31.55039    
   1454.000       1.761960       28.41138    
   1459.000     -0.1967923       25.76377    
   1464.000      -2.081614       23.52133    
   1469.000      -3.876937       21.61436    
   1474.000      -5.581768       19.98628    
   1479.000      -7.196560       18.59097    
   1484.000      -8.724401       17.39075    
   1489.000      -10.16991       16.35467    
   1500.000      -13.08771       14.53395    
   1600.000      -31.59826       9.531073    
   1644.000      -39.76137       9.741879    
   1649.000      -40.83884       9.834049    
   1654.000      -41.96095       9.943110    
   1659.000      -43.13258       10.07042    
   1664.000      -44.35900       10.21756    
   1669.000      -45.64606       10.38638    
   1674.000      -47.00021       10.57899    
   1679.000      -48.42864       10.79786    
   1684.000      -50.05786       11.04591    
   1689.000      -51.65975       11.32638    
   1694.000      -53.36338       11.64288    
   1699.000      -55.18075       11.99968    
   1700.000      -55.55909       12.07631    
   1704.000      -57.12598       12.40171    
   1709.000      -59.21609       12.85460    
   1714.000      -61.47247       13.36486    
   1719.000      -63.92348       13.93998    
   1724.000      -66.61056       14.58858    
   1729.000      -69.60451       15.32063    
   1734.000      -73.06651       16.14765    
   1739.000      -77.72453       17.08298    
   1744.000      -80.49680       22.82768    
   1749.000      -82.35954       23.99083    
   1754.000      -85.32503       25.31753    
   1759.000      -39.04924       26.20636    
   1764.000      -39.58481       26.37123    
   1769.000      -40.27325       26.57132    
   1774.000      -41.09726       26.81115    
   1779.000      -42.05121       27.09597    
   1784.000      -43.13589       27.43184    
   1789.000      -44.35630       27.82577    
   1794.000      -45.72067       28.28586    
   1799.000      -47.23996       28.82155    
   1800.000      -47.56353       28.93868    
   1804.000      -48.92776       29.44378    
   1809.000      -18.05201       30.15447    
   1814.000      -17.87095       30.01642    
   1819.000      -17.70197       29.87984    
   1824.000      -17.54308       29.74471    
   1825.000      -17.51245       29.71785    
   1829.000      -17.39361       29.61101    
   1830.000      -17.36479       29.58443    
   1834.000      -17.25300       29.47871    
   1835.000      -17.22590       29.45242    
   1839.000      -17.12084       29.34780    
   1840.000      -17.09540       29.32178    
   1845.000      -16.97303       29.19251    
   1850.000      -16.85863       29.06457    
   1855.000      -16.75216       28.93796    
   1860.000      -16.65372       28.81265    
   1865.000      -16.56352       28.68863    
   1870.000      -16.48199       28.56588    
   1875.000      -16.40977       28.44437    
