  Element 53: I       Atomic mass:  126.9045

  Edge          keV         A
    K        33.1694    0.3738
    L-I       5.1881    2.3898
    L-II      4.8521    2.5553
    L-III     4.5571    2.7207
    M1        1.0721   11.5646

Scattering factors as a function of energy: 

   1000.000      -15.31671       26.61048    
   1100.000      -12.55111       25.05115    
   1200.000      -9.986757       22.67959    
   1300.000      -8.377660       20.62655    
   1400.000      -7.203461       18.83679    
   1500.000      -6.432931       17.24355    
   1600.000      -5.884619       15.85326    
   1700.000      -5.447458       14.63239    
   1800.000      -5.129844       13.54583    
   1900.000      -4.904111       12.57451    
   2000.000      -4.750265       11.70260    
   2100.000      -4.653590       10.91691    
   2200.000      -4.611794       10.20760    
   2300.000      -4.599665       9.565207    
   2400.000      -4.636938       8.981938    
   2500.000      -4.734031       8.451145    
   2600.000      -4.839309       7.972680    
   2700.000      -4.925865       7.534489    
   2800.000      -5.031466       7.131230    
   2900.000      -5.155738       6.759217    
   3000.000      -5.299342       6.415253    
   3100.000      -5.449497       6.105425    
   3200.000      -5.615050       5.818328    
   3300.000      -5.797166       5.551720    
   3400.000      -5.997615       5.303631    
   3500.000      -6.223170       5.072339    
   3600.000      -6.469448       4.856684    
   3700.000      -6.744793       4.655011    
   3800.000      -7.060187       4.466340    
   3900.000      -7.417224       4.289445    
   4000.000      -7.834266       4.123285    
   4100.000      -8.334364       3.966983    
   4200.000      -8.957376       3.819750    
   4300.000      -9.782061       3.680877    
   4400.000      -11.00480       3.549726    
   4460.000      -12.18286       3.474499    
   4465.000      -12.31147       3.468342    
   4470.000      -12.44709       3.462203    
   4475.000      -12.59059       3.456080    
   4480.000      -12.74293       3.449974    
   4485.000      -12.90531       3.443885    
   4490.000      -13.07915       3.437813    
   4495.000      -13.26628       3.431757    
   4500.000      -13.46890       3.425718    
   4505.000      -13.68989       3.419695    
   4510.000      -13.93294       3.413689    
   4515.000      -14.20302       3.407700    
   4520.000      -14.50706       3.401726    
   4525.000      -14.85492       3.395769    
   4530.000      -15.26155       3.389828    
   4535.000      -15.75106       3.383904    
   4540.000      -16.36658       3.377995    
   4545.000      -17.19658       3.372103    
   4550.000      -18.47642       3.366226    
   4555.000      -21.40366       3.360366    
   4560.000      -20.63387       10.93604    
   4565.000      -18.20012       10.90847    
   4570.000      -17.00900       10.88105    
   4575.000      -16.21478       10.85378    
   4580.000      -15.61936       10.82667    
   4585.000      -15.14409       10.79971    
   4590.000      -14.74952       10.77289    
   4595.000      -14.41306       10.74623    
   4600.000      -14.12049       10.71972    
   4605.000      -13.86235       10.69335    
   4610.000      -13.63200       10.66713    
   4615.000      -13.42460       10.64106    
   4620.000      -13.23649       10.61513    
   4625.000      -13.06487       10.58934    
   4630.000      -12.90756       10.56370    
   4635.000      -12.76278       10.53819    
   4640.000      -12.62914       10.51283    
   4645.000      -12.50547       10.48761    
   4650.000      -12.39229       10.46252    
   4655.000      -12.28572       10.43758    
   4700.000      -11.60882       10.21911    
   4755.000      -11.29736       9.966108    
   4760.000      -11.29578       9.943837    
   4765.000      -11.29934       9.921685    
   4770.000      -11.30836       9.899649    
   4775.000      -11.32329       9.877728    
   4780.000      -11.34465       9.855925    
   4785.000      -11.37304       9.834237    
   4790.000      -11.40937       9.812661    
   4795.000      -11.45466       9.791199    
   4800.000      -11.51029       9.769850    
   4805.000      -11.57804       9.748613    
   4810.000      -11.66036       9.727487    
   4815.000      -11.76063       9.706470    
   4820.000      -11.88371       9.685564    
   4825.000      -12.03699       9.664768    
   4830.000      -12.23248       9.644078    
   4835.000      -12.49151       9.623496    
   4840.000      -12.85804       9.603021    
   4845.000      -13.44897       9.582653    
   4850.000      -14.85978       9.562389    
   4855.000      -14.43379       13.31007    
   4860.000      -13.18222       13.28032    
   4865.000      -12.54851       13.25073    
   4870.000      -12.11244       13.22130    
   4875.000      -11.77576       13.19203    
   4880.000      -11.49932       13.16292    
   4885.000      -11.26354       13.13396    
   4890.000      -11.05717       13.10516    
   4895.000      -10.87312       13.07651    
   4900.000      -10.70668       13.04801    
   4905.000      -10.55455       13.01967    
   4910.000      -10.41429       12.99148    
   4915.000      -10.28407       12.96344    
   4920.000      -10.16249       12.93555    
   4925.000      -10.04844       12.90780    
   4930.000      -9.941034       12.88021    
   4935.000      -9.839529       12.85276    
   4940.000      -9.743336       12.82546    
   4945.000      -9.651954       12.79830    
   4950.000      -9.564971       12.77129    
   5000.000      -8.877488       12.50884    
   5091.000      -8.203444       12.06500    
   5096.000      -8.185692       12.04180    
   5100.000      -8.173639       12.02333    
   5101.000      -8.170888       12.01872    
   5106.000      -8.158774       11.99576    
   5111.000      -8.149566       11.97292    
   5116.000      -8.143525       11.95019    
   5121.000      -8.140981       11.92758    
   5126.000      -8.142342       11.90508    
   5131.000      -8.148128       11.88270    
   5136.000      -8.159010       11.86043    
   5141.000      -8.175865       11.83828    
   5146.000      -8.199883       11.81624    
   5151.000      -8.232704       11.79431    
   5156.000      -8.276700       11.77249    
   5161.000      -8.335455       11.75079    
   5166.000      -8.414795       11.72919    
   5171.000      -8.525075       11.70770    
   5176.000      -8.687625       11.68632    
   5181.000      -8.959172       11.66504    
   5186.000      -9.628407       11.64388    
   5191.000      -9.405944       13.44868    
   5196.000      -8.786820       13.42663    
   5200.000      -8.519989       13.40907    
   5201.000      -8.465951       13.40469    
