  Element 49: In      Atomic mass:  114.8200

  Edge          keV         A
    K        27.9399    0.4438
    L-I       4.2375    2.9259
    L-II      3.9380    3.1484
    L-III     3.7301    3.3239

Scattering factors as a function of energy: 

   1000.000      -9.620117       20.60602    
   1100.000      -8.054237       18.47271    
   1200.000      -7.008023       16.63640    
   1300.000      -6.270947       15.05404    
   1400.000      -5.770803       13.68025    
   1500.000      -5.439097       12.48567    
   1600.000      -5.212864       11.43919    
   1700.000      -5.076109       10.51707    
   1800.000      -5.081061       9.703634    
   1900.000      -5.118416       8.995317    
   2000.000      -5.143920       8.362679    
   2100.000      -5.204079       7.794830    
   2200.000      -5.294268       7.282991    
   2300.000      -5.415628       6.819891    
   2400.000      -5.558311       6.399615    
   2500.000      -5.725870       6.016752    
   2600.000      -5.918964       5.666907    
   2700.000      -6.180744       5.348144    
   2800.000      -6.431940       5.057722    
   2900.000      -6.747009       4.792847    
   3000.000      -7.077412       4.548751    
   3100.000      -7.458972       4.326771    
   3200.000      -7.910831       4.121375    
   3300.000      -8.461382       3.930896    
   3400.000      -9.162023       3.753936    
   3500.000      -10.11621       3.589182    
   3600.000      -11.60928       3.435501    
   3633.000      -12.36531       3.387042    
   3638.000      -12.50117       3.379793    
   3643.000      -12.64437       3.372568    
   3648.000      -12.79578       3.365368    
   3653.000      -12.95641       3.358191    
   3658.000      -13.12748       3.351039    
   3663.000      -13.31050       3.343911    
   3668.000      -13.50729       3.336806    
   3673.000      -13.72018       3.329725    
   3678.000      -13.95207       3.322668    
   3683.000      -14.20684       3.315634    
   3688.000      -14.48958       3.308623    
   3693.000      -14.80739       3.301635    
   3698.000      -15.17043       3.294671    
   3700.000      -15.33152       3.291891    
   3703.000      -15.59412       3.287729    
   3708.000      -16.10328       3.280810    
   3713.000      -16.74225       3.273914    
   3718.000      -17.60205       3.267041    
   3723.000      -18.92500       3.260190    
   3728.000      -21.94412       3.253362    
   3733.000      -21.15192       11.04794    
   3738.000      -18.65468       11.01754    
   3743.000      -17.43659       10.98730    
   3748.000      -16.62749       10.95725    
   3753.000      -16.02358       10.92737    
   3758.000      -15.54389       10.89766    
   3763.000      -15.14781       10.86812    
   3768.000      -14.81213       10.83876    
   3773.000      -14.52228       10.80956    
   3778.000      -14.26855       10.78053    
   3783.000      -14.04416       10.75166    
   3788.000      -13.84414       10.72296    
   3793.000      -13.66484       10.69443    
   3798.000      -13.50342       10.66606    
   3800.000      -13.44335       10.65475    
   3803.000      -13.35770       10.63785    
   3808.000      -13.22596       10.60979    
   3813.000      -13.10684       10.58190    
   3818.000      -12.99924       10.55417    
   3823.000      -12.90230       10.52659    
   3828.000      -12.81532       10.49917    
   3841.000      -12.63241       10.42859    
   3846.000      -12.57788       10.40172    
   3851.000      -12.53192       10.37499    
   3856.000      -12.49459       10.34842    
   3861.000      -12.46603       10.32199    
   3866.000      -12.44654       10.29572    
   3871.000      -12.43659       10.26958    
   3876.000      -12.43685       10.24360    
   3881.000      -12.44824       10.21775    
   3886.000      -12.47201       10.19205    
   3891.000      -12.50989       10.16649    
   3896.000      -12.56427       10.14108    
   3900.000      -12.62188       10.12084    
   3901.000      -12.63853       10.11580    
   3906.000      -12.73760       10.09066    
   3911.000      -12.86905       10.06565    
   3916.000      -13.04523       10.04079    
   3921.000      -13.28822       10.01606    
   3926.000      -13.64383       9.991458    
   3931.000      -14.23485       9.966997    
   3936.000      -15.70340       9.942667    
   3941.000      -15.14090       13.78414    
   3946.000      -13.86299       13.74954    
   3951.000      -13.19963       13.71513    
   3956.000      -12.73658       13.68091    
   3961.000      -12.37510       13.64688    
   3966.000      -12.07558       13.61304    
   3971.000      -11.81815       13.57939    
   3976.000      -11.59133       13.54593    
   3981.000      -11.38792       13.51265    
   3986.000      -11.20307       13.47956    
   3991.000      -11.03338       13.44664    
   3996.000      -10.87636       13.41391    
   4000.000      -10.75858       13.38786    
   4001.000      -10.73012       13.38136    
   4006.000      -10.59320       13.34899    
   4011.000      -10.46446       13.31679    
   4016.000      -10.34299       13.28478    
   4021.000      -10.22800       13.25293    
   4026.000      -10.11888       13.22126    
   4031.000      -10.01512       13.18976    
   4036.000      -9.916277       13.15844    
   4100.000      -8.972916       12.77208    
   4140.000      -8.616801       12.54372    
   4145.000      -8.584288       12.51585    
   4150.000      -8.554716       12.48812    
   4155.000      -8.528238       12.46054    
   4160.000      -8.505053       12.43311    
   4165.000      -8.485400       12.40582    
   4170.000      -8.469594       12.37867    
   4175.000      -8.458027       12.35166    
   4180.000      -8.451204       12.32480    
   4185.000      -8.449775       12.29807    
   4190.000      -8.454600       12.27148    
   4195.000      -8.466843       12.24503    
   4200.000      -8.488109       12.21872    
   4205.000      -8.520723       12.19254    
   4210.000      -8.568189       12.16650    
   4215.000      -8.636155       12.14060    
   4220.000      -8.734588       12.11483    
   4225.000      -8.883768       12.08919    
   4230.000      -9.136117       12.06368    
   4235.000      -9.734893       12.03830    
   4240.000      -9.689471       13.86571    
   4245.000      -8.994583       13.83905    
   4250.000      -8.647552       13.81252    
   4255.000      -8.404243       13.78612    
   4260.000      -8.211948       13.75986    
   4265.000      -8.050273       13.73372    
   4270.000      -7.909103       13.70771    
   4275.000      -7.782726       13.68183    
   4280.000      -7.667568       13.65607    
   4285.000      -7.561257       13.63045    
   4290.000      -7.462104       13.60494    
