  Element 77: Ir      Atomic mass:  192.2200

  Edge          keV         A
    K        76.1110    0.1629
    L-I      13.4185    0.9240
    L-II     12.8241    0.9668
    L-III    11.2152    1.1055
    M1        3.1737    3.9066
    M2        2.9087    4.2625
    M3        2.5507    4.8608
    M4        2.1161    5.8591
    M5        2.0404    6.0765

Scattering factors as a function of energy: 

   1000.000      -26.74934       18.43872    
   1100.000      -25.87380       16.95576    
   1200.000      -25.72706       15.59861    
   1300.000      -25.79187       14.42714    
   1400.000      -26.02486       13.39904    
   1500.000      -26.53317       12.48249    
   1600.000      -27.36897       11.66015    
   1700.000      -28.65323       10.91829    
   1800.000      -30.68839       10.24584    
   1900.000      -34.54385       9.633860    
   1943.000      -37.93004       9.387352    
   1948.000      -38.49028       9.359297    
   1953.000      -39.10461       9.331367    
   1958.000      -39.78205       9.303559    
   1963.000      -40.53366       9.275874    
   1968.000      -41.37319       9.248311    
   1973.000      -42.31793       9.220870    
   1978.000      -43.41628       9.193578    
   1983.000      -44.64413       9.166559    
   1988.000      -46.06528       9.139661    
   1993.000      -47.73018       9.112880    
   1998.000      -49.70824       9.086217    
   2000.000      -50.60788       9.075584    
   2003.000      -52.09793       9.059671    
   2008.000      -55.04412       9.033241    
   2013.000      -58.77078       9.006927    
   2018.000      -63.64568       8.980727    
   2019.000      -64.80882       8.975500    
   2023.000      -70.33216       8.954641    
   2024.000      -71.98540       8.949438    
   2028.000      -80.20004       8.928668    
   2029.000      -82.79105       8.923488    
   2033.000      -96.85590       8.902808    
   2034.000      -101.8222       8.897651    
   2038.000      -137.5300       8.877060    
   2039.000      -158.1589       8.871924    
   2043.000      -128.5006       132.9139    
   2044.000      -113.0623       129.8534    
   2048.000      -77.49599       118.4418    
   2049.000      -71.74734       115.7846    
   2053.000      -54.74321       105.8674    
   2054.000      -51.54682       103.5557    
   2058.000      -41.50917       94.91854    
   2059.000      -39.54284       92.90324    
   2063.000      -33.27255       85.36668    
   2064.000      -32.03832       83.60628    
   2068.000      -28.14853       77.01609    
   2069.000      -27.40321       75.47529    
   2073.000      -25.17178       69.70189    
   2074.000      -24.78168       68.35062    
   2078.000      -23.80304       63.28223    
   2079.000      -23.69311       62.09488    
   2083.000      -23.74840       57.63726    
   2084.000      -23.88193       56.59165    
   2088.000      -24.88946       52.66342    
   2089.000      -25.26224       51.74131    
   2093.000      -27.27731       48.27294    
   2094.000      -27.92403       47.45780    
   2098.000      -31.19794       44.38967    
   2099.000      -32.21828       43.66808    
   2100.000      -33.33585       42.96368    
   2103.000      -37.39908       40.94889    
   2104.000      -39.04861       40.30861    
   2108.000      -47.93958       37.89420    
   2109.000      -51.02251       37.32529    
   2113.000      -71.63823       35.17753    
   2114.000      -81.81745       34.67087    
   2118.000      -82.52328       120.2654    
   2119.000      -68.79709       117.6850    
   2123.000      -40.27976       108.0323    
   2124.000      -35.89561       105.7765    
   2128.000      -23.13562       97.33137    
   2129.000      -20.76196       95.35616    
   2133.000      -13.33083       87.95277    
   2134.000      -11.87395       86.21905    
   2138.000      -7.200240       79.71607    
   2139.000      -6.269149       78.19206    
   2144.000      -2.665266       71.12586    
   2149.000     -0.3877845       64.89400    
   2154.000      0.9778643       59.38693    
   2159.000       1.697201       54.51158    
   2164.000       1.951290       50.18698    
   2169.000       1.867543       46.34417    
   2174.000       1.537882       42.92290    
   2179.000       1.029815       39.87169    
   2184.000      0.3934618       37.14538    
   2189.000     -0.3334890       34.70531    
   2194.000      -1.122709       32.51741    
   2199.000      -1.952623       30.55243    
   2200.000      -2.122016       30.18378    
   2204.000      -2.807016       28.78450    
   2209.000      -3.673521       27.19127    
   2214.000      -4.542809       25.75321    
   2300.000      -17.15711       14.06964    
   2400.000      -27.58470       11.09406    
   2453.000      -33.15208       10.85218    
   2458.000      -33.72578       10.86275    
   2463.000      -34.31196       10.87918    
   2468.000      -34.91179       10.90161    
   2473.000      -35.52666       10.93016    
   2478.000      -36.15801       10.96500    
   2483.000      -36.80756       11.00633    
   2488.000      -37.47718       11.05437    
   2493.000      -38.16912       11.10938    
   2498.000      -38.88596       11.17163    
   2500.000      -39.18038       11.19863    
   2503.000      -39.63094       11.24145    
   2508.000      -40.40798       11.31919    
   2513.000      -41.22231       11.40524    
   2518.000      -42.08085       11.50004    
   2523.000      -42.99369       11.60405    
   2528.000      -43.97622       11.71780    
   2533.000      -45.05467       11.84186    
   2538.000      -46.28085       11.97685    
   2543.000      -47.78471       12.12346    
   2548.000      -50.14081       12.28243    
   2553.000      -51.18330       17.21448    
   2558.000      -50.25290       17.37926    
   2563.000      -50.32066       17.55949    
   2568.000      -50.69886       17.75625    
   2573.000      -51.24682       17.97067    
   2578.000      -51.91213       18.20400    
   2583.000      -52.67022       18.45760    
   2588.000      -53.50844       18.73296    
   2593.000      -54.41990       19.03168    
   2598.000      -55.40121       19.35556    
   2600.000      -55.81288       19.49257    
   2603.000      -56.45090       19.70651    
   2608.000      -57.56911       20.08666    
   2613.000      -58.75679       20.49828    
   2618.000      -60.01592       20.94395    
   2623.000      -61.34890       21.42637    
   2628.000      -62.75897       21.94861    
   2633.000      -64.24963       22.51392    
   2638.000      -65.82517       23.12599    
   2643.000      -67.49006       23.78873    
   2648.000      -69.24950       24.50654    
   2700.000      -35.34271       26.14654    
   2800.000      -15.24523       28.16407    
