  Element 36: Kr      Atomic mass:   83.8000

  Edge          keV         A
    K        14.3256    0.8655
    L-I       1.9210    6.4542
    L-II      1.7272    7.1783
    L-III     1.6749    7.4025

Scattering factors as a function of energy: 

   1000.000      -7.565320       5.185538    
   1100.000      -7.871472       4.566841    
   1200.000      -8.318058       4.056028    
   1300.000      -8.938871       3.629152    
   1400.000      -9.827395       3.268250    
   1500.000      -11.23339       2.960071    
   1577.000      -13.26037       2.752298    
   1582.000      -13.46089       2.739590    
   1587.000      -13.67647       2.726972    
   1592.000      -13.90937       2.714444    
   1597.000      -14.16234       2.702004    
   1600.000      -14.32514       2.694582    
   1602.000      -14.43879       2.689651    
   1607.000      -14.74298       2.677386    
   1612.000      -15.08034       2.665206    
   1617.000      -15.45784       2.653111    
   1622.000      -15.88463       2.641100    
   1627.000      -16.37300       2.629174    
   1630.000      -16.70234       2.622057    
   1632.000      -16.93979       2.617329    
   1635.000      -17.32704       2.610262    
   1637.000      -17.60886       2.605567    
   1640.000      -18.07331       2.598548    
   1642.000      -18.41523       2.593885    
   1645.000      -18.98621       2.586915    
   1647.000      -19.41276       2.582284    
   1650.000      -20.13752       2.575362    
   1652.000      -20.68970       2.570763    
   1655.000      -21.65066       2.563888    
   1657.000      -22.40365       2.559320    
   1660.000      -23.76235       2.552493    
   1662.000      -24.87567       2.547956    
   1665.000      -27.01555       2.541175    
   1667.000      -28.92644       2.536669    
   1670.000      -33.20698       2.529947    
   1672.000      -38.12769       2.525515    
   1675.000      -73.58460       35.70464    
   1677.000      -40.07537       34.39635    
   1680.000      -29.71587       32.54874    
   1682.000      -25.84436       31.38865    
   1685.000      -21.82088       29.74878    
   1687.000      -19.84441       28.71817    
   1690.000      -17.55738       27.25992    
   1692.000      -16.36493       26.34269    
   1695.000      -14.94994       25.04361    
   1697.000      -14.20912       24.22574    
   1700.000      -13.34809       23.06635    
   1702.000      -12.92014       22.33576    
   1705.000      -12.47498       21.29919    
   1707.000      -12.30297       20.64542    
   1710.000      -12.23252       19.71701    
   1712.000      -12.31886       19.13095    
   1715.000      -12.68295       18.29798    
   1717.000      -13.12257       17.77171    
   1720.000      -14.22208       17.02308    
   1722.000      -15.44354       16.54970    
   1725.000      -19.16307       15.87575    
   1727.000      -30.79472       15.44923    
   1730.000      -16.83733       30.28536    
   1732.000      -13.61968       29.32185    
   1735.000      -10.66962       27.95380    
   1737.000      -9.291294       27.09036    
   1740.000      -7.717723       25.86335    
   1742.000      -6.894372       25.08827    
   1745.000      -5.897882       23.98590    
   1747.000      -5.356515       23.28897    
   1750.000      -4.687067       22.29693    
   1752.000      -4.318573       21.66923    
   1755.000      -3.860507       20.77503    
   1757.000      -3.608481       20.20878    
   1760.000      -3.297078       19.40147    
   1762.000      -3.127835       18.88984    
   1765.000      -2.922808       18.15984    
   1767.000      -2.814531       17.69684    
   1770.000      -2.688758       17.03573    
   1772.000      -2.626407       16.61611    
   1775.000      -2.560844       16.01649    
   1780.000      -2.514430       15.09097    
   1785.000      -2.531229       14.24934    
   1790.000      -2.597403       13.48293    
   1795.000      -2.702321       12.78407    
   1800.000      -2.837732       12.14595    
   1805.000      -2.997179       11.56255    
   1810.000      -3.175544       11.02853    
   1815.000      -3.369103       10.53911    
   1820.000      -3.574274       10.09008    
   1824.000      -3.745265       9.757376    
   1825.000      -3.788826       9.677646    
   1829.000      -3.965888       9.371777    
   1834.000      -4.192718       9.016966    
   1839.000      -4.424576       8.690187    
   1844.000      -4.660615       8.388969    
   1849.000      -4.900267       8.111098    
   1854.000      -5.143222       7.854586    
   1859.000      -5.389409       7.617646    
   1864.000      -5.639001       7.398672    
   1869.000      -5.892430       7.196218    
   1874.000      -6.150437       7.008980    
   1879.000      -6.414155       6.835785    
   1884.000      -6.685260       6.675573    
   1889.000      -6.966255       6.527384    
   1894.000      -7.260963       6.390361    
   1899.000      -7.575633       6.263721    
   1900.000      -7.641801       6.239577    
   1904.000      -7.921402       6.146759    
   1909.000      -8.321239       6.038839    
   1914.000      -8.836567       5.939386    
   1919.000      -9.788064       5.847882    
   1924.000      -9.720635       7.693234    
   1929.000      -9.298676       7.610663    
   1934.000      -9.182385       7.534849    
   1939.000      -9.165164       7.465451    
   1944.000      -9.197886       7.402164    
   1949.000      -9.260990       7.344718    
   1954.000      -9.344738       7.292869    
   1959.000      -9.443613       7.246405    
   1964.000      -9.554226       7.205140    
   1969.000      -9.674374       7.168911    
   1974.000      -9.802571       7.137581    
   1979.000      -9.937793       7.111032    
   1984.000      -10.07932       7.089170    
   1989.000      -10.22666       7.071919    
   1994.000      -10.37947       7.059222    
   1999.000      -10.53752       7.051042    
   2000.000      -10.56975       7.049946    
   2004.000      -10.70068       7.047359    
   2009.000      -10.86889       7.048172    
   2014.000      -11.04212       7.053496    
   2019.000      -11.22045       7.063366    
   2100.000      -14.97422       7.960470    
   2200.000      -8.664249       11.19019    
   2300.000      -3.090681       11.42242    
   2400.000      -2.470152       10.72539    
   2500.000      -1.913662       10.10373    
   2600.000      -1.514137       9.516127    
   2700.000      -1.193308       8.979425    
   2800.000     -0.9334317       8.487767    
   2900.000     -0.7214494       8.036123    
   3000.000     -0.5472512       7.620162    
   3100.000     -0.4050987       7.235297    
   3200.000     -0.2889408       6.879027    
   3300.000     -0.1942520       6.548557    
