  Element 57: La      Atomic mass:  138.9055

  Edge          keV         A
    K        38.9246    0.3185
    L-I       6.2663    1.9786
    L-II      5.8906    2.1048
    L-III     5.4827    2.2614
    M1        1.3613    9.1078
    M2        1.2044   10.2943
    M3        1.1234   11.0365

Scattering factors as a function of energy: 

   1000.000      -24.96307       29.59826    
   1100.000      -22.25756       25.92503    
   1107.000      -22.48213       25.69872    
   1112.000      -22.79250       25.53925    
   1117.000      -23.38892       25.38154    
   1122.000      -25.23669       25.22559    
   1127.000      -23.80648       29.22736    
   1132.000      -22.49248       29.03289    
   1137.000      -21.74471       28.84172    
   1142.000      -21.20348       28.65377    
   1147.000      -20.77392       28.46897    
   1152.000      -20.41684       28.28724    
   1157.000      -20.11247       28.10851    
   1162.000      -19.84985       27.93271    
   1167.000      -19.62278       27.75976    
   1172.000      -19.42824       27.58962    
   1177.000      -19.26581       27.42221    
   1182.000      -19.13821       27.25747    
   1187.000      -19.05294       27.09535    
   1192.000      -19.02818       26.93580    
   1197.000      -19.11442       26.77875    
   1200.000      -19.29020       26.68570    
   1202.000      -19.55715       26.62416    
   1207.000      -19.31371       28.26664    
   1212.000      -18.51269       28.09752    
   1217.000      -18.05024       27.93149    
   1222.000      -17.69632       27.76847    
   1227.000      -17.39950       27.60840    
   1232.000      -17.13937       27.45121    
   1237.000      -16.90562       27.29683    
   1242.000      -16.69221       27.14522    
   1247.000      -16.49529       26.99630    
   1252.000      -16.31223       26.85002    
   1257.000      -16.14113       26.70632    
   1262.000      -15.98059       26.56517    
   1264.000      -15.91911       26.50940    
   1267.000      -15.82956       26.42649    
   1269.000      -15.77160       26.37171    
   1272.000      -15.68719       26.29026    
   1274.000      -15.63252       26.23643    
   1277.000      -15.55285       26.15641    
   1279.000      -15.50125       26.10353    
   1282.000      -15.42606       26.02491    
   1284.000      -15.37737       25.97296    
   1287.000      -15.30644       25.89571    
   1289.000      -15.26054       25.84467    
   1292.000      -15.19374       25.76878    
   1294.000      -15.15056       25.71863    
   1297.000      -15.08780       25.64406    
   1299.000      -15.04731       25.59479    
   1300.000      -15.02747       25.57029    
   1302.000      -14.98859       25.52153    
   1304.000      -14.95080       25.47312    
   1309.000      -14.86116       25.35359    
   1314.000      -14.77870       25.23615    
   1319.000      -14.70390       25.12077    
   1324.000      -14.63760       25.00743    
   1329.000      -14.58106       24.89608    
   1334.000      -14.53633       24.78671    
   1339.000      -14.50683       24.67928    
   1344.000      -14.49873       24.57376    
   1349.000      -14.52485       24.47012    
   1354.000      -14.61902       24.36835    
   1359.000      -14.94587       24.26841    
   1364.000      -14.79456       25.31745    
   1369.000      -14.32161       25.21927    
   1374.000      -14.05124       25.12289    
   1379.000      -13.84458       25.02826    
   1384.000      -13.67032       24.93538    
   1389.000      -13.51610       24.84423    
   1394.000      -13.37577       24.75478    
   1399.000      -13.24575       24.66702    
   1400.000      -13.22077       24.64967    
   1404.000      -13.12367       24.58093    
   1409.000      -12.71174       24.49284    
   1414.000      -12.59986       24.40470    
   1419.000      -12.49279       24.31814    
   1424.000      -12.38988       24.23317    
   1429.000      -12.29063       24.14976    
   1434.000      -11.96813       24.06787    
   1439.000      -11.87319       23.98355    
   1444.000      -11.78148       23.90075    
   1449.000      -11.69227       23.81944    
   1454.000      -11.60537       23.73963    
   1459.000      -11.52059       23.66131    
   1500.000      -10.28585       22.91229    
   1600.000      -8.612789       21.24186    
   1700.000      -7.534489       19.67104    
   1800.000      -6.702948       18.26785    
   1900.000      -6.160674       17.00593    
   2000.000      -5.677538       15.87190    
   2100.000      -5.306089       14.84572    
   2200.000      -5.022845       13.91392    
   2300.000      -4.837223       13.06858    
   2400.000      -4.683382       12.29989    
   2500.000      -4.592775       11.59989    
   2600.000      -4.524515       10.95841    
   2700.000      -4.488548       10.36876    
   2800.000      -4.486096       9.826266    
   2900.000      -4.503703       9.325604    
   3000.000      -4.545730       8.862338    
   3100.000      -4.590242       8.442252    
   3200.000      -4.648667       8.052469    
   3300.000      -4.719710       7.690064    
   3400.000      -4.807551       7.352631    
   3500.000      -4.902124       7.038065    
   3600.000      -5.007429       6.744106    
   3700.000      -5.122990       6.468942    
   3800.000      -5.249140       6.210947    
   3900.000      -5.386808       5.968681    
   4000.000      -5.535716       5.740861    
   4100.000      -5.697333       5.526314    
   4200.000      -5.873026       5.323997    
   4300.000      -6.064620       5.132967    
   4400.000      -6.274519       4.952379    
   4500.000      -6.505911       4.781459    
   4600.000      -6.763072       4.619511    
   4700.000      -7.051863       4.465899    
   4800.000      -7.380549       4.320044    
   4900.000      -7.768192       4.181555    
   5000.000      -8.220013       4.050105    
   5100.000      -8.775042       3.924961    
   5200.000      -9.493062       3.805723    
   5300.000      -10.52065       3.692266    
   5385.000      -11.96108       3.599962    
   5390.000      -12.08086       3.594645    
   5395.000      -12.20715       3.589340    
   5400.000      -12.34070       3.584047    
   5405.000      -12.48241       3.578766    
   5410.000      -12.63336       3.573497    
   5415.000      -12.79489       3.568240    
   5420.000      -12.96861       3.562995    
   5425.000      -13.15657       3.557763    
   5430.000      -13.36131       3.552542    
   5435.000      -13.58626       3.547333    
   5440.000      -13.83587       3.542136    
   5445.000      -14.11632       3.536951    
   5450.000      -14.43639       3.531778    
   5455.000      -14.80939       3.526616    
   5460.000      -15.25650       3.521466    
