  Element 71: Lu      Atomic mass:  174.9670

  Edge          keV         A
    K        63.3138    0.1958
    L-I      10.8704    1.1406
    L-II     10.3486    1.1981
    L-III     9.2441    1.3412
    M1        2.4912    4.9769
    M2        2.2635    5.4775
    M3        2.0236    6.1269
    M4        1.6394    7.5628
    M5        1.5885    7.8051

Scattering factors as a function of energy: 

   1000.000      -27.53443       12.58420    
   1100.000      -27.86937       11.63045    
   1200.000      -28.68735       10.77192    
   1300.000      -30.16222       9.997672    
   1400.000      -32.81729       9.297813    
   1491.000      -38.39877       8.720231    
   1496.000      -38.95840       8.690042    
   1500.000      -39.44601       8.665996    
   1501.000      -39.57407       8.659999    
   1506.000      -40.25565       8.630102    
   1511.000      -41.01540       8.600351    
   1516.000      -41.86877       8.570745    
   1521.000      -42.83541       8.541283    
   1526.000      -43.94065       8.511964    
   1531.000      -45.21769       8.482786    
   1536.000      -46.71077       8.453750    
   1541.000      -48.48013       8.424853    
   1542.000      -48.87402       8.419090    
   1546.000      -50.60973       8.396096    
   1547.000      -51.08867       8.390361    
   1551.000      -53.22021       8.367477    
   1552.000      -53.81444       8.361770    
   1556.000      -56.49131       8.338997    
   1557.000      -57.24704       8.333317    
   1561.000      -60.70377       8.310653    
   1562.000      -61.69551       8.304999    
   1566.000      -66.32446       8.282444    
   1567.000      -67.68166       8.276818    
   1571.000      -74.20152       8.254371    
   1572.000      -76.17477       8.248772    
   1576.000      -86.09871       8.226432    
   1577.000      -89.26508       8.220860    
   1581.000      -106.6655       8.198627    
   1582.000      -112.8729       8.193081    
   1586.000      -157.7451       8.170953    
   1587.000      -183.3299       8.165434    
   1591.000      -146.6261       170.0916    
   1592.000      -125.1224       164.5077    
   1596.000      -77.43253       144.2487    
   1597.000      -70.08954       139.6597    
   1600.000      -53.59037       126.9124    
   1601.000      -49.44755       122.9801    
   1602.000      -45.82065       119.1947    
   1606.000      -35.30402       105.4113    
   1607.000      -33.46311       102.2775    
   1611.000      -28.44030       90.84597    
   1612.000      -27.68175       88.24206    
   1616.000      -26.29229       78.72669    
   1617.000      -26.32269       76.55563    
   1621.000      -27.87892       68.60725    
   1622.000      -28.63526       66.79046    
   1626.000      -33.35134       60.12766    
   1627.000      -35.03056       58.60202    
   1631.000      -44.70533       52.99745    
   1632.000      -48.18582       51.71188    
   1636.000      -71.69369       46.98127    
   1637.000      -83.00568       45.89429    
   1641.000      -93.31759       153.5309    
   1642.000      -72.84501       148.8392    
   1646.000      -33.51345       131.7296    
   1647.000      -27.82976       127.8345    
   1651.000      -12.05424       113.6048    
   1652.000      -9.284906       110.3594    
   1656.000      -1.111243       98.48241    
   1657.000      0.3769646       95.76873    
   1661.000       4.782036       85.82046    
   1662.000       5.572035       83.54340    
   1666.000       7.818957       75.18153    
   1667.000       8.180488       73.26401    
   1671.000       9.106608       66.21159    
   1672.000       9.217717       64.59148    
   1676.000       9.298714       58.62305    
   1677.000       9.242922       57.24962    
   1681.000       8.787072       52.18163    
   1682.000       8.624516       51.01344    
   1686.000       7.826903       46.69582    
   1687.000       7.596998       45.69894    
   1692.000       6.316004       41.15517    
   1697.000       4.886378       37.25793    
   1700.000       3.987887       35.18648    
   1702.000       3.379244       33.90469    
   1707.000       1.842862       31.01057    
   1712.000      0.3097534       28.50512    
   1717.000      -1.198483       26.32966    
   1722.000      -2.668333       24.43519    
   1727.000      -4.090592       22.78071    
   1732.000      -5.461036       21.33176    
   1737.000      -6.777520       20.05935    
   1800.000      -19.46281       12.26497    
   1900.000      -33.73981       10.04185    
   1926.000      -37.86671       10.17805    
   1931.000      -38.73006       10.23552    
   1936.000      -39.62165       10.30417    
   1941.000      -40.54427       10.38463    
   1946.000      -41.50093       10.47762    
   1951.000      -42.49492       10.58399    
   1956.000      -43.52987       10.70470    
   1961.000      -44.60981       10.84082    
   1966.000      -45.73927       10.99357    
   1971.000      -46.92337       11.16436    
   1976.000      -48.16808       11.35472    
   1981.000      -49.48038       11.56641    
   1986.000      -50.86877       11.80141    
   1991.000      -52.34394       12.06192    
   1996.000      -53.91993       12.35044    
   2000.000      -55.26646       12.60327    
   2001.000      -55.61676       12.66973    
   2006.000      -57.46617       13.02298    
   2011.000      -59.52635       13.41367    
   2016.000      -61.93791       13.84583    
   2021.000      -65.31421       14.32387    
   2026.000      -67.28276       19.67408    
   2031.000      -67.49914       20.22478    
   2036.000      -68.79137       20.83936    
   2041.000      -70.50114       21.52499    
   2046.000      -72.49926       22.28991    
   2051.000      -74.74483       23.14336    
   2056.000      -77.22613       24.09578    
   2061.000      -79.94497       25.15917    
   2066.000      -35.96529       26.12661    
   2071.000      -36.46750       26.23302    
   2076.000      -37.03321       26.36051    
   2081.000      -37.66304       26.51125    
   2086.000      -38.35857       26.68765    
   2091.000      -39.12249       26.89245    
   2096.000      -39.95819       27.12872    
   2100.000      -40.68129       27.34270    
   2101.000      -40.87000       27.39993    
   2106.000      -41.86288       27.70999    
   2111.000      -42.94275       28.06334    
   2116.000      -44.11617       28.46495    
   2121.000      -45.39077       28.92052    
   2166.000      -16.34419       29.25905    
   2171.000      -16.25343       29.14989    
   2176.000      -16.16754       29.04168    
   2181.000      -16.08659       28.93442    
   2186.000      -16.01068       28.82808    
   2191.000      -15.93996       28.72267    
   2196.000      -15.87467       28.61816    
   2200.000      -15.82657       28.53521    
