  Element 12: Mg      Atomic mass:   24.3050

  Edge          keV         A
    K         1.3050    9.5007

Scattering factors as a function of energy: 

   1000.000      -1.924247      0.4830497    
   1100.000      -2.287916      0.4118204    
   1200.000      -2.948409      0.3555275    
   1208.000      -3.030554      0.3515399    
   1213.000      -3.085829      0.3490821    
   1218.000      -3.144542      0.3466505    
   1223.000      -3.207110      0.3442447    
   1228.000      -3.274028      0.3418642    
   1233.000      -3.345889      0.3395087    
   1238.000      -3.423415      0.3371779    
   1243.000      -3.507493      0.3348714    
   1248.000      -3.599236      0.3325888    
   1253.000      -3.700058      0.3303298    
   1258.000      -3.811801      0.3280941    
   1263.000      -3.936927      0.3258814    
   1268.000      -4.078827      0.3236912    
   1273.000      -4.242364      0.3215235    
   1278.000      -4.434875      0.3193777    
   1283.000      -4.668212      0.3172536    
   1288.000      -4.963447      0.3151509    
   1293.000      -5.364000      0.3130693    
   1298.000      -5.985966      0.3110086    
   1300.000      -6.374909      0.3101901    
   1303.000      -7.435448      0.3089684    
   1308.000      -6.963570       3.963250    
   1313.000      -5.821721       3.976494    
   1318.000      -5.250421       3.988811    
   1323.000      -4.862151       4.000201    
   1328.000      -4.564994       4.010664    
   1333.000      -4.322347       4.020201    
   1338.000      -4.115904       4.028813    
   1343.000      -3.935221       4.036504    
   1348.000      -3.773766       4.043275    
   1353.000      -3.627198       4.049131    
   1358.000      -3.492490       4.054077    
   1363.000      -3.367447       4.058117    
   1368.000      -3.250431       4.061256    
   1373.000      -3.140209       4.063502    
   1378.000      -3.035781       4.064861    
   1383.000      -2.936385       4.065340    
   1388.000      -2.841395       4.064946    
   1393.000      -2.750304       4.063690    
   1398.000      -2.662692       4.061578    
   1400.000      -2.628541       4.060497    
   1403.000      -2.578210       4.058622    
   1500.000      -1.321127       3.850352    
   1600.000     -0.4802313       3.409352    
   1700.000     -0.4815727       2.865454    
   1800.000     -0.2511135       2.612233    
   1900.000     -8.7708011E-02   2.392978    
   2000.000      3.1383701E-02   2.201713    
   2100.000      0.1197893       2.033741    
   2200.000      0.1862350       1.885323    
   2300.000      0.2365748       1.753458    
   2400.000      0.2748770       1.635705    
   2500.000      0.3040477       1.530066    
   2600.000      0.3262096       1.434890    
   2700.000      0.3599183       1.345640    
   2800.000      0.3723308       1.263999    
   2900.000      0.3809079       1.189399    
   3000.000      0.3864122       1.121054    
   3100.000      0.3892115       1.058577    
   3200.000      0.3901016       1.001127    
   3300.000      0.3894631      0.9481768    
   3400.000      0.3876013      0.8992655    
   3500.000      0.3847621      0.8539913    
   3600.000      0.3811451      0.8120010    
   3700.000      0.3769123      0.7729835    
   3800.000      0.3721962      0.7366643    
   3900.000      0.3671052      0.7027997    
   4000.000      0.3617284      0.6711732    
   4100.000      0.3561389      0.6415918    
   4200.000      0.3503970      0.6138829    
   4300.000      0.3445522      0.5878917    
   4400.000      0.3386455      0.5634795    
   4500.000      0.3327104      0.5405210    
   4600.000      0.3267747      0.5189034    
   4700.000      0.3208611      0.4985244    
   4800.000      0.3149879      0.4792915    
   4900.000      0.3091704      0.4611207    
   5000.000      0.3034207      0.4439356    
   5100.000      0.2977486      0.4276663    
   5200.000      0.2921618      0.4122494    
   5300.000      0.2866664      0.3976264    
   5400.000      0.2812670      0.3837443    
   5500.000      0.2759671      0.3705541    
   5600.000      0.2707694      0.3580109    
   5700.000      0.2637358      0.3461196    
   5800.000      0.2587512      0.3348503    
   5900.000      0.2538756      0.3241104    
   6000.000      0.2491088      0.3138671    
   6100.000      0.2444500      0.3040905    
   6200.000      0.2398977      0.2947527    
   6300.000      0.2354506      0.2858280    
   6400.000      0.2311069      0.2772925    
   6500.000      0.2268648      0.2691239    
   6600.000      0.2227223      0.2613018    
   6700.000      0.2186774      0.2538067    
   6800.000      0.2147279      0.2466209    
   6900.000      0.2108717      0.2397276    
   7000.000      0.2071065      0.2331114    
   7100.000      0.2034303      0.2267576    
   7200.000      0.1998407      0.2206527    
   7300.000      0.1963356      0.2147838    
   7400.000      0.1929127      0.2091391    
   7500.000      0.1895701      0.2037074    
   7600.000      0.1863054      0.1984782    
   7700.000      0.1831167      0.1934416    
   7800.000      0.1800019      0.1885883    
   7900.000      0.1769589      0.1839097    
   8000.000      0.1739859      0.1793975    
   8100.000      0.1710809      0.1750440    
   8200.000      0.1682420      0.1708419    
   8300.000      0.1654674      0.1667843    
   8400.000      0.1627554      0.1628648    
   8500.000      0.1601041      0.1590771    
   8600.000      0.1575120      0.1554155    
   8700.000      0.1549774      0.1518747    
   8800.000      0.1524986      0.1484492    
   8900.000      0.1500742      0.1451343    
   9000.000      0.1476981      0.1419477    
   9100.000      0.1453744      0.1388623    
   9200.000      0.1431019      0.1358739    
   9300.000      0.1408789      0.1329785    
   9400.000      0.1387042      0.1301722    
   9500.000      0.1365764      0.1274515    
   9600.000      0.1344941      0.1248130    
   9700.000      0.1324563      0.1222534    
   9800.000      0.1304615      0.1197696    
   9900.000      0.1285087      0.1173586    
   10000.00      0.1265967      0.1150178    
   10100.00      0.1247245      0.1127444    
   10200.00      0.1228908      0.1105358    
   10300.00      0.1210948      0.1083897    
   10400.00      0.1193353      0.1063037    
   10500.00      0.1176115      0.1042756    
   10600.00      0.1159223      0.1023034    
   10700.00      0.1142669      0.1003849    
   10800.00      0.1126444      9.8518364E-02
