  Element 42: Mo      Atomic mass:   95.9400

  Edge          keV         A
    K        19.9995    0.6199
    L-I       2.8655    4.3268
    L-II      2.6251    4.7230
    L-III     2.5202    4.9196

Scattering factors as a function of energy: 

   1000.000      -6.591399       10.81145    
   1100.000      -6.316616       9.589218    
   1200.000      -6.187851       8.569103    
   1300.000      -6.163280       7.707199    
   1400.000      -6.218771       6.971188    
   1500.000      -6.340117       6.336865    
   1600.000      -6.551459       5.787423    
   1700.000      -6.810370       5.312812    
   1800.000      -7.109578       4.897218    
   1900.000      -7.477355       4.530073    
   2000.000      -7.931921       4.203899    
   2100.000      -8.513156       3.913440    
   2200.000      -9.267358       3.653118    
   2300.000      -10.33210       3.418653    
   2400.000      -12.07554       3.206639    
   2423.000      -12.68548       3.160741    
   2428.000      -12.83668       3.150898    
   2433.000      -12.99608       3.141101    
   2438.000      -13.16460       3.131351    
   2443.000      -13.34339       3.121648    
   2448.000      -13.53374       3.111991    
   2453.000      -13.73729       3.102379    
   2458.000      -13.95603       3.092814    
   2463.000      -14.19244       3.083293    
   2468.000      -14.44967       3.073818    
   2473.000      -14.73185       3.064387    
   2478.000      -15.04445       3.055001    
   2483.000      -15.39507       3.045659    
   2488.000      -15.79451       3.036361    
   2493.000      -16.25916       3.027106    
   2498.000      -16.81535       3.017895    
   2500.000      -17.07283       3.014222    
   2503.000      -17.50991       3.008726    
   2508.000      -18.43863       2.999601    
   2513.000      -19.85462       2.990518    
   2518.000      -23.01433       2.981477    
   2523.000      -22.39423       11.31219    
   2528.000      -19.68493       11.26920    
   2528.000      -19.68493       11.26920    
   2533.000      -18.39511       11.22657    
   2533.000      -18.39511       11.22657    
   2538.000      -17.55426       11.18432    
   2538.000      -17.55426       11.18432    
   2543.000      -16.93974       11.14244    
   2543.000      -16.93974       11.14244    
   2548.000      -16.46377       11.10092    
   2548.000      -16.46377       11.10092    
   2553.000      -16.08292       11.05976    
   2553.000      -16.08292       11.05976    
   2558.000      -15.77267       11.01895    
   2558.000      -15.77267       11.01895    
   2563.000      -15.51818       10.97849    
   2563.000      -15.51818       10.97849    
   2568.000      -15.31006       10.93839    
   2568.000      -15.31006       10.93839    
   2573.000      -15.14243       10.89862    
   2573.000      -15.14243       10.89862    
   2578.000      -15.01186       10.85920    
   2578.000      -15.01186       10.85920    
   2583.000      -14.91698       10.82011    
   2583.000      -14.91698       10.82011    
   2588.000      -14.85835       10.78135    
   2588.000      -14.85835       10.78135    
   2593.000      -14.83886       10.74293    
   2593.000      -14.83886       10.74293    
   2598.000      -14.86464       10.70483    
   2598.000      -14.86464       10.70483    
   2600.000      -14.88993       10.68968    
   2603.000      -14.94718       10.66705    
   2603.000      -14.94718       10.66705    
   2608.000      -15.10854       10.62958    
   2608.000      -15.10854       10.62958    
   2613.000      -15.39571       10.59244    
   2613.000      -15.39571       10.59244    
   2618.000      -15.93586       10.55560    
   2618.000      -15.93586       10.55560    
   2623.000      -17.38039       10.51908    
   2628.000      -16.81148       14.60864    
   2633.000      -15.35047       14.55698    
   2638.000      -14.57271       14.50579    
   2643.000      -14.01698       14.45507    
   2648.000      -13.57487       14.40479    
   2653.000      -13.20311       14.35497    
   2658.000      -12.87986       14.30559    
   2663.000      -12.59245       14.25666    
   2668.000      -12.33291       14.20816    
   2673.000      -12.09580       14.16008    
   2678.000      -11.87731       14.11244    
   2683.000      -11.67458       14.06522    
   2688.000      -11.48546       14.01841    
   2693.000      -11.30825       13.97202    
   2698.000      -11.14164       13.92603    
   2700.000      -11.07770       13.90775    
   2703.000      -10.98451       13.88045    
   2708.000      -10.83599       13.83527    
   2713.000      -10.69532       13.79049    
   2718.000      -10.56190       13.74609    
   2723.000      -10.43520       13.70208    
   2768.000      -9.543033       13.32279    
   2773.000      -9.468041       13.28244    
   2778.000      -9.397628       13.24243    
   2783.000      -9.331848       13.20277    
   2788.000      -9.270802       13.16345    
   2793.000      -9.214656       13.12446    
   2798.000      -9.163642       13.08580    
   2800.000      -9.144746       13.07043    
   2803.000      -9.118093       13.04747    
   2808.000      -9.078446       13.00947    
   2813.000      -9.045310       12.97179    
   2818.000      -9.019497       12.93443    
   2823.000      -9.002139       12.89738    
   2828.000      -8.994826       12.86065    
   2833.000      -8.999876       12.82422    
   2838.000      -9.020820       12.78811    
   2843.000      -9.063376       12.75229    
   2848.000      -9.137692       12.71678    
   2853.000      -9.264405       12.68156    
   2858.000      -9.497022       12.64664    
   2863.000      -10.08392       12.61201    
   2868.000      -10.01231       14.47038    
   2873.000      -9.277638       14.43174    
   2878.000      -8.899899       14.39355    
   2883.000      -8.629189       14.35580    
   2888.000      -8.411434       14.31849    
   2893.000      -8.225678       14.28160    
   2898.000      -8.061521       14.24515    
   2900.000      -8.000491       14.23068    
   2903.000      -7.913048       14.20911    
   2908.000      -7.776562       14.17350    
   2913.000      -7.649570       14.13830    
   2918.000      -7.530336       14.10351    
   2923.000      -7.417571       14.06913    
   2928.000      -7.310315       14.03515    
   2933.000      -7.207807       14.00156    
   2938.000      -7.109456       13.96838    
   2943.000      -7.014769       13.93559    
   2948.000      -6.923353       13.90318    
   2953.000      -6.834865       13.87116    
   2958.000      -6.749030       13.83953    
   2963.000      -6.665593       13.80827    
   3000.000      -6.105614       13.58840    
   3100.000      -4.929305       12.95433    
