  Element 11: Na      Atomic mass:   22.9898

  Edge          keV         A
    K         1.0721   11.5646

Scattering factors as a function of energy: 

   1000.000      -3.254494      0.3261379    
   1100.000      -4.692934       3.768484    
   1200.000      -2.057173       4.821553    
   1300.000      0.1011794       4.270498    
   1400.000     -0.4980550       2.903471    
   1500.000     -0.2279376       2.594301    
   1600.000     -4.9256131E-02   2.336071    
   1700.000      7.3511027E-02   2.117847    
   1800.000      0.1599808       1.931520    
   1900.000      0.2219102       1.770969    
   2000.000      0.2667551       1.631495    
   2100.000      0.2994460       1.509443    
   2200.000      0.3498512       1.398191    
   2300.000      0.3673366       1.296237    
   2400.000      0.3788981       1.204823    
   2500.000      0.3859187       1.122542    
   2600.000      0.3894391       1.048214    
   2700.000      0.3902510      0.9808466    
   2800.000      0.3889623      0.9195979    
   2900.000      0.3860432      0.8637497    
   3000.000      0.3818592      0.8126873    
   3100.000      0.3767442      0.7662982    
   3200.000      0.3709748      0.7237090    
   3300.000      0.3647255      0.6845152    
   3400.000      0.3581340      0.6483644    
   3500.000      0.3513094      0.6149495    
   3600.000      0.3443381      0.5840012    
   3700.000      0.3372887      0.5552825    
   3800.000      0.3302155      0.5285847    
   3900.000      0.3231612      0.5037228    
   4000.000      0.3161596      0.4805326    
   4100.000      0.3092371      0.4588680    
   4200.000      0.3024140      0.4385983    
   4300.000      0.2957060      0.4196069    
   4400.000      0.2891249      0.4017889    
   4500.000      0.2826792      0.3850501    
   4600.000      0.2763746      0.3693055    
   4700.000      0.2687221      0.3545308    
   4800.000      0.2626968      0.3406475    
   4900.000      0.2568282      0.3275478    
   5000.000      0.2511154      0.3151739    
   5100.000      0.2455567      0.3034734    
   5200.000      0.2401501      0.2923983    
   5300.000      0.2348930      0.2819050    
   5400.000      0.2297825      0.2719536    
   5500.000      0.2248151      0.2625077    
   5600.000      0.2199875      0.2535337    
   5700.000      0.2152960      0.2450007    
   5800.000      0.2107370      0.2368806    
   5900.000      0.2063066      0.2291472    
   6000.000      0.2020011      0.2217766    
   6100.000      0.1978167      0.2147464    
   6200.000      0.1937497      0.2080363    
   6300.000      0.1897965      0.2016271    
   6400.000      0.1859533      0.1955013    
   6500.000      0.1822168      0.1896425    
   6600.000      0.1785834      0.1840355    
   6700.000      0.1750498      0.1786663    
   6800.000      0.1716126      0.1735216    
   6900.000      0.1682688      0.1685892    
   7000.000      0.1650152      0.1638577    
   7100.000      0.1618489      0.1593165    
   7200.000      0.1587670      0.1549555    
   7300.000      0.1557666      0.1507654    
   7400.000      0.1528451      0.1467374    
   7500.000      0.1500000      0.1428635    
   7600.000      0.1472286      0.1391359    
   7700.000      0.1445285      0.1355474    
   7800.000      0.1418975      0.1320913    
   7900.000      0.1393333      0.1287611    
   8000.000      0.1368336      0.1255510    
   8100.000      0.1343965      0.1224552    
   8200.000      0.1320199      0.1194685    
   8300.000      0.1297018      0.1165858    
   8400.000      0.1274404      0.1138025    
   8500.000      0.1252339      0.1111140    
   8600.000      0.1230806      0.1085161    
   8700.000      0.1209788      0.1060050    
   8800.000      0.1189268      0.1035767    
   8900.000      0.1169232      0.1012278    
   9000.000      0.1149706      9.8973595E-02
   9100.000      0.1130640      9.6791647E-02
   9200.000      0.1112022      9.4678998E-02
   9300.000      0.1093836      9.2632733E-02
   9400.000      0.1076070      9.0650156E-02
   9500.000      0.1058711      8.8728637E-02
   9600.000      0.1041746      8.6865753E-02
   9700.000      0.1025164      8.5059166E-02
   9800.000      0.1008953      8.3306625E-02
   9900.000      9.9310294E-02  8.1606045E-02
   10000.00      9.7760238E-02  7.9955384E-02
   10100.00      9.6244141E-02  7.8352749E-02
   10200.00      9.4761021E-02  7.6796323E-02
   10300.00      9.3309909E-02  7.5284332E-02
   10400.00      9.1889918E-02  7.3815152E-02
   10500.00      9.0500124E-02  7.2387174E-02
   10600.00      8.9139700E-02  7.0998892E-02
   10700.00      8.7807819E-02  6.9648884E-02
   10800.00      8.6503677E-02  6.8335749E-02
   10900.00      8.5226513E-02  6.7058191E-02
   11000.00      8.3975568E-02  6.5814927E-02
   11100.00      8.2750134E-02  6.4604774E-02
   11200.00      8.1549533E-02  6.3426577E-02
   11300.00      8.0373071E-02  6.2279224E-02
   11400.00      7.9220116E-02  6.1161675E-02
   11500.00      7.8090034E-02  6.0072903E-02
   11600.00      7.6982215E-02  5.9011947E-02
   11700.00      7.5896084E-02  5.7977889E-02
   11800.00      7.4831061E-02  5.6969821E-02
   11900.00      7.3786616E-02  5.5986907E-02
   12000.00      7.2762199E-02  5.5028312E-02
   12100.00      7.1757302E-02  5.4093257E-02
   12200.00      7.0771433E-02  5.3180996E-02
   12300.00      6.9804102E-02  5.2290786E-02
   12400.00      6.8854861E-02  5.1421952E-02
   12500.00      6.7923225E-02  5.0573800E-02
   12600.00      6.7008778E-02  4.9745701E-02
   12700.00      6.6111095E-02  4.8937045E-02
   12800.00      6.5229759E-02  4.8147216E-02
   12900.00      6.4364381E-02  4.7375660E-02
   13000.00      6.3514553E-02  4.6621811E-02
   13100.00      6.2679917E-02  4.5885146E-02
   13200.00      6.1860107E-02  4.5165155E-02
   13300.00      6.1054762E-02  4.4461340E-02
   13400.00      6.0263555E-02  4.3773238E-02
   13500.00      5.9486132E-02  4.3100376E-02
   13600.00      5.8722187E-02  4.2442318E-02
