  Element 41: Nb      Atomic mass:   92.9064

  Edge          keV         A
    K        18.9856    0.6530
    L-I       2.6977    4.5959
    L-II      2.4647    5.0304
    L-III     2.3705    5.2303

Scattering factors as a function of energy: 

   1000.000      -6.572898       9.767870    
   1100.000      -6.388963       8.655666    
   1200.000      -6.333043       7.727785    
   1300.000      -6.372462       6.944073    
   1400.000      -6.488630       6.275085    
   1500.000      -6.703879       5.701377    
   1600.000      -6.973423       5.209516    
   1700.000      -7.293856       4.781232    
   1800.000      -7.694293       4.405382    
   1900.000      -8.205021       4.073721    
   2000.000      -8.857625       3.779907    
   2100.000      -9.746640       3.517735    
   2200.000      -11.08464       3.282687    
   2273.000      -12.71902       3.126068    
   2278.000      -12.87251       3.115764    
   2283.000      -13.03434       3.105514    
   2288.000      -13.20547       3.095314    
   2293.000      -13.38702       3.085167    
   2298.000      -13.58034       3.075070    
   2300.000      -13.66132       3.071046    
   2303.000      -13.78706       3.065025    
   2308.000      -14.00921       3.055029    
   2313.000      -14.24926       3.045084    
   2318.000      -14.51044       3.035189    
   2323.000      -14.79684       3.025343    
   2328.000      -15.11400       3.015546    
   2333.000      -15.46948       3.005799    
   2338.000      -15.87413       2.996099    
   2343.000      -16.34417       2.986448    
   2348.000      -16.90577       2.976844    
   2353.000      -17.60485       2.967288    
   2358.000      -18.53469       2.957778    
   2363.000      -19.93615       2.948316    
   2367.000      -22.01328       2.940780    
   2368.000      -22.92716       2.938900    
   2372.000      -24.33532       11.45316    
   2373.000      -22.94839       11.44321    
   2377.000      -20.36532       11.40362    
   2378.000      -19.98150       11.39377    
   2382.000      -18.84490       11.35456    
   2383.000      -18.62568       11.34481    
   2387.000      -17.90458       11.30597    
   2388.000      -17.75401       11.29631    
   2392.000      -17.23567       11.25785    
   2393.000      -17.12334       11.24828    
   2397.000      -16.72728       11.21019    
   2398.000      -16.63976       11.20071    
   2400.000      -16.47641       11.18181    
   2402.000      -16.32724       11.16298    
   2403.000      -16.25747       11.15359    
   2407.000      -16.00713       11.11622    
   2408.000      -15.95111       11.10693    
   2412.000      -15.75034       11.06991    
   2413.000      -15.70560       11.06070    
   2417.000      -15.54684       11.02403    
   2418.000      -15.51198       11.01491    
   2422.000      -15.39099       10.97859    
   2423.000      -15.36527       10.96955    
   2427.000      -15.28040       10.93357    
   2428.000      -15.26372       10.92462    
   2432.000      -15.21579       10.88898    
   2433.000      -15.20869       10.88011    
   2437.000      -15.20153       10.84480    
   2438.000      -15.20545       10.83601    
   2442.000      -15.24747       10.80103    
   2443.000      -15.26536       10.79233    
   2447.000      -15.37351       10.75767    
   2448.000      -15.41140       10.74905    
   2452.000      -15.62235       10.71472    
   2453.000      -15.69425       10.70617    
   2457.000      -16.10612       10.67216    
   2458.000      -16.25604       10.66370    
   2462.000      -17.32926       10.62999    
   2463.000      -17.91266       10.62161    
   2467.000      -17.37727       14.79013    
   2468.000      -16.85975       14.77822    
   2472.000      -15.66690       14.73080    
   2477.000      -14.81723       14.67202    
   2482.000      -14.21916       14.61381    
   2487.000      -13.74643       14.55614    
   2492.000      -13.34978       14.49903    
   2497.000      -13.00575       14.44245    
   2500.000      -12.81851       14.40876    
   2502.000      -12.70034       14.38641    
   2507.000      -12.42494       14.33089    
   2512.000      -12.17367       14.27589    
   2517.000      -11.94245       14.22141    
   2522.000      -11.72818       14.16744    
   2527.000      -11.52860       14.11397    
   2532.000      -11.34186       14.06100    
   2537.000      -11.16655       14.00851    
   2542.000      -11.00149       13.95652    
   2547.000      -10.84573       13.90500    
   2552.000      -10.69848       13.85396    
   2557.000      -10.55908       13.80338    
   2562.000      -10.42696       13.75327    
   2600.000      -9.622687       13.38706    
   2605.000      -9.540086       13.34073    
   2610.000      -9.462568       13.29482    
   2615.000      -9.390146       13.24932    
   2620.000      -9.322901       13.20423    
   2625.000      -9.260961       13.15954    
   2630.000      -9.204540       13.11524    
   2635.000      -9.153944       13.07135    
   2640.000      -9.109589       13.02784    
   2645.000      -9.072057       12.98472    
   2650.000      -9.042139       12.94198    
   2655.000      -9.020942       12.89962    
   2660.000      -9.010023       12.85763    
   2665.000      -9.011661       12.81601    
   2670.000      -9.029323       12.77476    
   2675.000      -9.068618       12.73387    
   2680.000      -9.139464       12.69334    
   2685.000      -9.261908       12.65316    
   2690.000      -9.487250       12.61333    
   2695.000      -10.04404       12.57385    
   2700.000      -10.06745       14.43406    
   2705.000      -9.295306       14.39168    
   2710.000      -8.908611       14.34969    
   2715.000      -8.633073       14.30809    
   2720.000      -8.411951       14.26688    
   2725.000      -8.223568       14.22606    
   2730.000      -8.057242       14.18561    
   2735.000      -7.906944       14.14554    
   2740.000      -7.768886       14.10584    
   2745.000      -7.640564       14.06651    
   2750.000      -7.520198       14.02754    
   2755.000      -7.406501       13.98893    
   2760.000      -7.298502       13.95069    
   2765.000      -7.195433       13.91279    
   2770.000      -7.096702       13.87525    
   2775.000      -7.001813       13.83806    
   2780.000      -6.910376       13.80120    
   2785.000      -6.822048       13.76469    
   2790.000      -6.736555       13.72852    
   2795.000      -6.653646       13.69268    
   2800.000      -6.573121       13.65717    
   2900.000      -5.278416       13.01185    
   3000.000      -4.207917       12.47587    
   3100.000      -3.460856       11.87295    
   3200.000      -2.864397       11.31138    
   3300.000      -2.380597       10.78807    
