  Element 60: Nd      Atomic mass:  144.2400

  Edge          keV         A
    K        43.5689    0.2846
    L-I       7.1260    1.7399
    L-II      6.7215    1.8446
    L-III     6.2079    1.9972
    M1        1.5753    7.8705
    M2        1.4028    8.8383
    M3        1.2974    9.5564

Scattering factors as a function of energy: 

   1000.000      -222.1600       172.2258    
   1100.000      -10.97099       33.24553    
   1200.000      -17.41598       21.76273    
   1205.000      -17.62504       21.51943    
   1210.000      -17.83076       21.28838    
   1215.000      -18.03421       21.06849    
   1220.000      -18.23652       20.85880    
   1225.000      -18.43890       20.65844    
   1230.000      -18.64267       20.46663    
   1235.000      -18.84929       20.28271    
   1240.000      -19.06045       20.10603    
   1245.000      -19.27818       19.93606    
   1250.000      -19.50493       19.77228    
   1255.000      -19.74387       19.61426    
   1260.000      -19.99918       19.46160    
   1265.000      -20.27991       19.31395    
   1270.000      -20.58839       19.17097    
   1275.000      -20.94154       19.03235    
   1280.000      -21.36358       18.89783    
   1285.000      -21.90364       18.76717    
   1290.000      -22.68965       18.64013    
   1295.000      -24.32889       18.51654    
   1300.000      -24.25840       22.81371    
   1305.000      -22.79397       22.64808    
   1305.000      -22.79397       22.64808    
   1310.000      -22.14547       22.48714    
   1310.000      -22.14547       22.48714    
   1315.000      -21.74822       22.33069    
   1315.000      -21.74822       22.33069    
   1320.000      -21.47713       22.17855    
   1320.000      -21.47713       22.17855    
   1325.000      -21.28334       22.03057    
   1325.000      -21.28334       22.03057    
   1330.000      -21.14270       21.88657    
   1330.000      -21.14270       21.88657    
   1335.000      -21.04160       21.74644    
   1335.000      -21.04160       21.74644    
   1340.000      -20.97175       21.61002    
   1340.000      -20.97175       21.61002    
   1345.000      -20.92785       21.47721    
   1345.000      -20.92785       21.47721    
   1350.000      -20.90651       21.34790    
   1350.000      -20.90651       21.34790    
   1355.000      -20.90562       21.22198    
   1355.000      -20.90562       21.22198    
   1360.000      -20.92412       21.09936    
   1360.000      -20.92412       21.09936    
   1365.000      -20.97430       20.97996    
   1365.000      -20.97430       20.97996    
   1370.000      -21.03236       20.86371    
   1370.000      -21.03236       20.86371    
   1375.000      -21.11295       20.75053    
   1375.000      -21.11295       20.75053    
   1380.000      -21.22067       20.64034    
   1380.000      -21.22067       20.64034    
   1385.000      -21.36431       20.53309    
   1385.000      -21.36431       20.53309    
   1390.000      -21.56239       20.42873    
   1390.000      -21.56239       20.42873    
   1395.000      -21.86288       20.32720    
   1395.000      -21.86288       20.32720    
   1400.000      -22.47725       20.22846    
   1405.000      -22.63710       21.96752    
   1410.000      -21.96847       21.85758    
   1415.000      -21.69655       21.75091    
   1420.000      -21.54098       21.64746    
   1425.000      -21.44484       21.54721    
   1430.000      -21.38639       21.45012    
   1435.000      -21.35498       21.35618    
   1440.000      -21.34455       21.26536    
   1445.000      -21.35138       21.17766    
   1450.000      -21.37300       21.09308    
   1455.000      -21.40773       21.01161    
   1460.000      -21.45438       20.93326    
   1465.000      -21.51209       20.85805    
   1470.000      -21.58027       20.78598    
   1475.000      -21.65850       20.71709    
   1478.000      -21.71013       20.67730    
   1480.000      -21.74649       20.65141    
   1483.000      -21.80390       20.61356    
   1485.000      -21.84409       20.58898    
   1488.000      -21.90723       20.55309    
   1490.000      -21.95123       20.52983    
   1493.000      -22.02011       20.49594    
   1495.000      -22.06795       20.47403    
   1498.000      -22.14261       20.44217    
   1500.000      -22.19434       20.42163    
   1503.000      -22.27490       20.39184    
   1508.000      -22.41721       20.34502    
   1513.000      -22.56988       20.30180    
   1518.000      -22.73335       20.26226    
   1523.000      -22.90820       20.22650    
   1528.000      -23.09514       20.19464    
   1533.000      -23.29515       20.16678    
   1538.000      -23.50948       20.14308    
   1543.000      -23.73990       20.12366    
   1548.000      -23.98896       20.10869    
   1553.000      -24.26063       20.09834    
   1558.000      -24.56172       20.09280    
   1563.000      -24.90584       20.09227    
   1568.000      -25.32809       20.09697    
   1573.000      -25.99736       20.10713    
   1578.000      -26.18776       21.29536    
   1583.000      -26.05951       21.31436    
   1588.000      -26.14972       21.33973    
   1593.000      -26.31697       21.37178    
   1598.000      -26.52994       21.41087    
   1600.000      -26.62499       21.42857    
   1603.000      -26.77673       21.45739    
   1608.000      -27.05180       21.51175    
   1613.000      -27.35237       21.57439    
   1618.000      -27.67702       21.64581    
   1623.000      -28.02513       21.72652    
   1628.000      -28.39659       21.81709    
   1633.000      -28.79163       21.91814    
   1638.000      -29.21075       22.03033    
   1643.000      -29.65463       22.15437    
   1648.000      -30.12414       22.29104    
   1653.000      -30.21970       22.44032    
   1658.000      -30.74212       22.59871    
   1663.000      -31.29372       22.77245    
   1668.000      -31.87587       22.96261    
   1673.000      -32.49013       23.17034    
   1700.000      -10.17749       23.77393    
   1800.000      -8.890843       22.16879    
   1900.000      -7.592453       20.69083    
   2000.000      -6.798687       19.34042    
   2100.000      -6.133685       18.11884    
   2200.000      -5.638931       17.00338    
   2300.000      -5.352540       15.99478    
   2400.000      -5.045087       15.07435    
   2500.000      -4.804780       14.23137    
   2600.000      -4.641282       13.45733    
   2700.000      -4.502455       12.74903    
   2800.000      -4.400890       12.09563    
   2900.000      -4.344171       11.49384    
   3000.000      -4.302425       10.93654    
   3100.000      -4.282350       10.42310    
   3200.000      -4.281208       9.946372    
   3300.000      -4.295607       9.502919    
