   Element 10: Ne      Atomic mass:   20.1790

Scattering factors as a function of energy:

   1000.000      -1.546897       3.586705    
   1100.000     -0.7592142       3.141146    
   1200.000     -0.3114363       2.755257    
   1300.000     -3.1802926E-02   2.421758    
   1400.000      0.1484236       2.133625    
   1500.000      0.1908214       1.893196    
   1600.000      0.2631764       1.702406    
   1700.000      0.3117324       1.538988    
   1800.000      0.3438735       1.397896    
   1900.000      0.3644597       1.275208    
   2000.000      0.3767894       1.167834    
   2100.000      0.3831569       1.073313    
   2200.000      0.3851890      0.9896618    
   2300.000      0.3840579      0.9152703    
   2400.000      0.3806186      0.8488163    
   2500.000      0.3755015      0.7892079    
   2600.000      0.3691739      0.7355353    
   2700.000      0.3619838      0.6870356    
   2800.000      0.3541889      0.6430656    
   2900.000      0.3459758      0.6030794    
   3000.000      0.3374693      0.5666111    
   3100.000      0.3291100      0.5334375    
   3200.000      0.3207462      0.5030252    
   3300.000      0.3124419      0.4750767    
   3400.000      0.3042450      0.4493336    
   3500.000      0.2952795      0.4255943    
   3600.000      0.2872790      0.4036970    
   3700.000      0.2794851      0.3834216    
   3800.000      0.2719087      0.3646118    
   3900.000      0.2645557      0.3471298    
   4000.000      0.2574289      0.3308536    
   4100.000      0.2505284      0.3156751    
   4200.000      0.2438521      0.3014978    
   4300.000      0.2373965      0.2882357    
   4400.000      0.2311572      0.2758121    
   4500.000      0.2251286      0.2641578    
   4600.000      0.2193050      0.2532109    
   4700.000      0.2136801      0.2429155    
   4800.000      0.2082472      0.2332211    
   4900.000      0.2029999      0.2240820    
   5000.000      0.1979315      0.2154568    
   5100.000      0.1930354      0.2073079    
   5200.000      0.1883051      0.1996010    
   5300.000      0.1837343      0.1923049    
   5400.000      0.1793167      0.1853912    
   5500.000      0.1750464      0.1788336    
   5600.000      0.1709175      0.1726085    
   5700.000      0.1669244      0.1666937    
   5800.000      0.1630616      0.1610691    
   5900.000      0.1593241      0.1557163    
   6000.000      0.1557067      0.1506182    
   6100.000      0.1522046      0.1457588    
   6200.000      0.1488133      0.1411238    
   6300.000      0.1455283      0.1366996    
   6400.000      0.1423455      0.1324737    
   6500.000      0.1392608      0.1284346    
   6600.000      0.1362703      0.1245715    
   6700.000      0.1333703      0.1208744    
   6800.000      0.1305574      0.1173341    
   6900.000      0.1278281      0.1139419    
   7000.000      0.1251793      0.1106897    
   7100.000      0.1226078      0.1075701    
   7200.000      0.1201108      0.1045760    
   7300.000      0.1176853      0.1017007    
   7400.000      0.1153288      9.8938279E-02
   7500.000      0.1130386      9.6282870E-02
   7600.000      0.1108123      9.3729086E-02
   7700.000      0.1086476      9.1271870E-02
   7800.000      0.1065422      8.8906474E-02
   7900.000      0.1044939      8.6628452E-02
   8000.000      0.1025008      8.4433585E-02
   8100.000      0.1005608      8.2317933E-02
   8200.000      9.8672062E-02  8.0277793E-02
   8300.000      9.6832767E-02  7.8309640E-02
   8400.000      9.5034733E-02  7.6410234E-02
   8500.000      9.3289390E-02  7.4576385E-02
   8600.000      9.1588534E-02  7.2805174E-02
   8700.000      8.9930661E-02  7.1093827E-02
   8800.000      8.8314280E-02  6.9439687E-02
   8900.000      8.6738035E-02  6.7840301E-02
   9000.000      8.5209906E-02  6.6305742E-02
   9100.000      8.3719686E-02  6.4820923E-02
   9200.000      8.2266130E-02  6.3383751E-02
   9300.000      8.0848016E-02  6.1992206E-02
   9400.000      7.9464212E-02  6.0644433E-02
   9500.000      7.8113593E-02  5.9338603E-02
   9600.000      7.6795109E-02  5.8073036E-02
   9700.000      7.5507753E-02  5.6846119E-02
   9800.000      7.4250512E-02  5.5656292E-02
   9900.000      7.3022477E-02  5.4502118E-02
   10000.00      7.1822725E-02  5.3382181E-02
   10100.00      7.0650384E-02  5.2295167E-02
   10200.00      6.9504634E-02  5.1239830E-02
   10300.00      6.8384640E-02  5.0214943E-02
   10400.00      6.7289665E-02  4.9219377E-02
   10500.00      6.6218928E-02  4.8252031E-02
   10600.00      6.5171719E-02  4.7311865E-02
   10700.00      6.4147361E-02  4.6397891E-02
   10800.00      6.3145168E-02  4.5509145E-02
   10900.00      6.2164519E-02  4.4644736E-02
   11000.00      6.1204769E-02  4.3803778E-02
   11100.00      6.0265332E-02  4.2985454E-02
   11200.00      5.9345644E-02  4.2188972E-02
   11300.00      5.8445126E-02  4.1413564E-02
   11400.00      5.7563260E-02  4.0658515E-02
   11500.00      5.6699514E-02  3.9923113E-02
   11600.00      5.5853397E-02  3.9206702E-02
   11700.00      5.5024434E-02  3.8508654E-02
   11800.00      5.4212142E-02  3.7828334E-02
   11900.00      5.3416084E-02  3.7165176E-02
   12000.00      5.2635815E-02  3.6518600E-02
   12100.00      5.1870916E-02  3.5888072E-02
   12200.00      5.1120993E-02  3.5273079E-02
   12300.00      5.0385639E-02  3.4673117E-02
   12400.00      4.9664482E-02  3.4087710E-02
   12500.00      4.8957143E-02  3.3516396E-02
   12600.00      4.8263274E-02  3.2958735E-02
   12700.00      4.7582537E-02  3.2414306E-02
   12800.00      4.6914585E-02  3.1882692E-02
   12900.00      4.6259105E-02  3.1363510E-02
   13000.00      4.5615781E-02  3.0856371E-02
   13100.00      4.4984303E-02  3.0360918E-02
   13200.00      4.4364396E-02  2.9876804E-02
   13300.00      4.3755759E-02  2.9403683E-02
   13400.00      4.3158121E-02  2.8941238E-02
   13500.00      4.2571217E-02  2.8489148E-02
   13600.00      4.1994784E-02  2.8047115E-02
   13700.00      4.1428577E-02  2.7614852E-02
   13800.00      4.0872343E-02  2.7192071E-02
   13900.00      4.0325858E-02  2.6778508E-02
   14000.00      3.9788883E-02  2.6373895E-02
