  Element 28: Ni      Atomic mass:   58.6900

  Edge          keV         A
    K         8.3328    1.4879
    L-I       1.0081   12.2988

Scattering factors as a function of energy: 

   1000.000      -9.593933       13.39917    
   1100.000      -5.549310       13.26457    
   1200.000      -3.719096       11.73650    
   1300.000      -2.636690       10.52214    
   1400.000      -1.835590       9.498097    
   1500.000      -1.172222       8.609015    
   1600.000     -0.7922468       7.821604    
   1700.000     -0.5316399       7.137436    
   1800.000     -0.3382735       6.538784    
   1900.000     -0.2013661       6.011590    
   2000.000     -0.1063122       5.544725    
   2100.000     -6.4211868E-02   5.133331    
   2200.000     -2.5005860E-02   4.767177    
   2300.000     -3.2599678E-03   4.439067    
   2400.000      5.0949012E-03   4.143850    
   2500.000      3.1081920E-03   3.877227    
   2600.000     -6.9176210E-03   3.635584    
   2700.000     -2.3243332E-02   3.415866    
   2800.000     -4.4570249E-02   3.215476    
   2900.000     -6.9970869E-02   3.032193    
   3000.000     -9.8885335E-02   2.864109    
   3100.000     -0.1277351       2.711399    
   3200.000     -0.1580192       2.570732    
   3300.000     -0.1893597       2.440859    
   3400.000     -0.2214625       2.320691    
   3500.000     -0.2564550       2.209375    
   3600.000     -0.2897311       2.106084    
   3700.000     -0.3231784       2.009991    
   3800.000     -0.3567021       1.920433    
   3900.000     -0.3902354       1.836821    
   4000.000     -0.4237330       1.758633    
   4100.000     -0.4571677       1.685401    
   4200.000     -0.4905272       1.616710    
   4300.000     -0.5238114       1.552185    
   4400.000     -0.5590216       1.491537    
   4500.000     -0.5922644       1.434516    
   4600.000     -0.6254724       1.380758    
   4700.000     -0.6586798       1.330014    
   4800.000     -0.6919257       1.282061    
   4900.000     -0.7252548       1.236694    
   5000.000     -0.7587175       1.193729    
   5100.000     -0.7923695       1.152996    
   5200.000     -0.8262719       1.114342    
   5300.000     -0.8604919       1.077626    
   5400.000     -0.8951026       1.042718    
   5500.000     -0.9301841       1.009501    
   5600.000     -0.9658244      0.9778656    
   5700.000      -1.002120      0.9477116    
   5800.000      -1.039178      0.9189466    
   5900.000      -1.077116      0.8914860    
   6000.000      -1.116066      0.8652510    
   6100.000      -1.156176      0.8401688    
   6200.000      -1.197613      0.8161721    
   6300.000      -1.240566      0.7931983    
   6400.000      -1.285253      0.7711896    
   6500.000      -1.331926      0.7500921    
   6600.000      -1.380877      0.7298554    
   6700.000      -1.432450      0.7104329    
   6800.000      -1.487057      0.6917810    
   6900.000      -1.545189      0.6738591    
   7000.000      -1.607450      0.6566291    
   7100.000      -1.674584      0.6400555    
   7200.000      -1.747529      0.6241051    
   7300.000      -1.827488      0.6087465    
   7400.000      -1.916041      0.5939506    
   7500.000      -2.015319      0.5796901    
   7600.000      -2.128292      0.5659390    
   7700.000      -2.259275      0.5526733    
   7800.000      -2.414876      0.5398699    
   7900.000      -2.605953      0.5275077    
   8000.000      -2.852223      0.5155662    
   8100.000      -3.195441      0.5040265    
   8200.000      -3.751945      0.4928706    
   8235.000      -4.062945      0.4890535    
   8240.000      -4.116770      0.4885119    
   8245.000      -4.173718      0.4879711    
   8250.000      -4.234159      0.4874312    
   8255.000      -4.298531      0.4868922    
   8260.000      -4.367362      0.4863541    
   8265.000      -4.441293      0.4858169    
   8270.000      -4.521112      0.4852806    
   8275.000      -4.607788      0.4847453    
   8280.000      -4.702605      0.4842108    
   8285.000      -4.807179      0.4836771    
   8290.000      -4.923679      0.4831443    
   8295.000      -5.055091      0.4826124    
   8300.000      -5.205676      0.4820814    
   8305.000      -5.381822      0.4815513    
   8310.000      -5.593750      0.4810220    
   8315.000      -5.859298      0.4804938    
   8320.000      -6.214471      0.4799662    
   8325.000      -6.750240      0.4794396    
   8330.000      -7.863682      0.4789138    
   8335.000      -8.132341       3.920288    
   8340.000      -6.824592       3.914701    
   8345.000      -6.239768       3.909149    
   8350.000      -5.857252       3.903633    
   8355.000      -5.572088       3.898152    
   8360.000      -5.344337       3.892705    
   8365.000      -5.154601       3.887292    
   8370.000      -4.991902       3.881914    
   8375.000      -4.849433       3.876570    
   8380.000      -4.722680       3.871260    
   8385.000      -4.608490       3.865984    
   8390.000      -4.504582       3.860742    
   8395.000      -4.409243       3.855534    
   8400.000      -4.321175       3.850359    
   8405.000      -4.239313       3.845217    
   8410.000      -4.162850       3.840108    
   8415.000      -4.091115       3.835032    
   8420.000      -4.023556       3.829989    
   8425.000      -3.959714       3.824978    
   8430.000      -3.899201       3.820000    
   8500.000      -3.276193       3.753627    
   8600.000      -2.739276       3.668997    
   8700.000      -2.379584       3.595433    
   8800.000      -2.110909       3.532046    
   8900.000      -1.896863       3.478072    
   9000.000      -1.704134       3.422464    
   9100.000      -1.538233       3.367583    
   9200.000      -1.392911       3.313432    
   9300.000      -1.263937       3.260013    
   9400.000      -1.148311       3.207331    
   9500.000      -1.043816       3.155385    
   9600.000     -0.9487706       3.104175    
   9700.000     -0.8618662       3.053701    
   9800.000     -0.7820586       3.003961    
   9900.000     -0.7085050       2.954955    
   10000.00     -0.6405100       2.906677    
   10100.00     -0.5774956       2.859127    
   10200.00     -0.5189744       2.812299    
   10300.00     -0.4645295       2.766189    
   10400.00     -0.4138045       2.720793    
   10500.00     -0.3664884       2.676104    
   10600.00     -0.3223110       2.632118    
   10700.00     -0.2810345       2.588830    
   10800.00     -0.2424458       2.546231    
