  Element 76: Os      Atomic mass:  190.2000

  Edge          keV         A
    K        73.8708    0.1678
    L-I      12.9680    0.9561
    L-II     12.3850    1.0011
    L-III    10.8709    1.1405
    M1        3.0485    4.0671
    M2        2.7922    4.4404
    M3        2.4572    5.0458
    M4        2.0308    6.1052
    M5        1.9601    6.3254

Scattering factors as a function of energy: 

   1000.000      -26.81955       17.27887    
   1100.000      -26.29714       15.87463    
   1200.000      -26.19034       14.63602    
   1300.000      -26.31038       13.55201    
   1400.000      -26.71430       12.58994    
   1500.000      -27.44268       11.73025    
   1600.000      -28.59821       10.95755    
   1700.000      -30.42344       10.25957    
   1800.000      -33.71134       9.626201    
   1863.000      -38.16313       9.256581    
   1868.000      -38.72689       9.228150    
   1873.000      -39.37138       9.199855    
   1878.000      -40.05473       9.171869    
   1883.000      -40.81393       9.144011    
   1888.000      -41.66327       9.116280    
   1893.000      -42.62071       9.088675    
   1898.000      -43.70926       9.061193    
   1900.000      -44.18777       9.050237    
   1903.000      -44.95872       9.033838    
   1908.000      -46.40847       9.006605    
   1913.000      -48.11158       8.979495    
   1918.000      -50.14137       8.952508    
   1923.000      -52.60223       8.925641    
   1928.000      -55.64850       8.898894    
   1933.000      -59.51962       8.872268    
   1933.000      -59.51962       8.872268    
   1938.000      -64.61199       8.845760    
   1938.000      -64.61199       8.845760    
   1943.000      -71.64518       8.819370    
   1943.000      -71.64518       8.819370    
   1948.000      -82.12417       8.793098    
   1948.000      -82.12417       8.793098    
   1953.000      -100.0991       8.766943    
   1953.000      -100.0991       8.766943    
   1958.000      -146.3472       8.740904    
   1958.000      -146.3472       8.740904    
   1963.000      -125.7394       137.2395    
   1963.000      -125.7394       137.2395    
   1968.000      -75.82837       121.4320    
   1968.000      -75.82837       121.4320    
   1973.000      -53.11741       107.8046    
   1973.000      -53.11741       107.8046    
   1978.000      -40.04456       96.03008    
   1978.000      -40.04456       96.03008    
   1983.000      -32.10371       85.83381    
   1983.000      -32.10371       85.83381    
   1988.000      -27.38813       76.98473    
   1988.000      -27.38813       76.98473    
   1993.000      -24.92492       69.28802    
   1993.000      -24.92492       69.28802    
   1998.000      -24.19099       62.57910    
   1998.000      -24.19099       62.57910    
   2000.000      -24.31866       60.14018    
   2003.000      -24.93937       56.71864    
   2003.000      -24.93937       56.71864    
   2008.000      -27.15168       51.58853    
   2008.000      -27.15168       51.58853    
   2013.000      -31.09082       47.08799    
   2013.000      -31.09082       47.08799    
   2018.000      -37.54421       43.13188    
   2018.000      -37.54421       43.13188    
   2023.000      -48.78637       39.64682    
   2023.000      -48.78637       39.64682    
   2028.000      -75.19083       36.57058    
   2028.000      -75.19083       36.57058    
   2033.000      -78.54899       124.2504    
   2033.000      -78.54899       124.2504    
   2038.000      -37.90973       110.8743    
   2038.000      -37.90973       110.8743    
   2043.000      -20.84552       99.26116    
   2043.000      -20.84552       99.26116    
   2048.000      -11.14262       89.15561    
   2048.000      -11.14262       89.15561    
   2053.000      -5.172531       80.34354    
   2053.000      -5.172531       80.34354    
   2058.000      -1.439209       72.64208    
   2058.000      -1.439209       72.64208    
   2063.000      0.8490244       65.89752    
   2068.000       2.150991       59.97792    
   2073.000       2.765460       54.77200    
   2078.000       2.892872       50.18382    
   2083.000       2.672739       46.13220    
   2088.000       2.204594       42.54684    
   2093.000       1.560736       39.36804    
   2098.000      0.7941872       36.54388    
   2100.000      0.4624307       35.50349    
   2103.000     -5.5668581E-02   34.03018    
   2108.000     -0.9596545       31.78828    
   2113.000      -1.895870       29.78523    
   2118.000      -2.848152       27.99206    
   2123.000      -3.804341       26.38401    
   2128.000      -4.755514       24.93922    
   2200.000      -16.31448       14.40192    
   2300.000      -27.48290       10.95953    
   2360.000      -34.11354       10.68283    
   2365.000      -34.72570       10.70014    
   2370.000      -35.35205       10.72388    
   2375.000      -35.99405       10.75422    
   2380.000      -36.65315       10.79135    
   2385.000      -37.33099       10.83550    
   2390.000      -38.02950       10.88693    
   2395.000      -38.75071       10.94594    
   2400.000      -39.49712       11.01286    
   2405.000      -40.27154       11.08807    
   2410.000      -41.07748       11.17198    
   2415.000      -41.91915       11.26507    
   2420.000      -42.80215       11.36785    
   2425.000      -43.73382       11.48088    
   2430.000      -44.72485       11.60480    
   2435.000      -45.79147       11.74028    
   2440.000      -46.96165       11.88809    
   2445.000      -48.29087       12.04904    
   2450.000      -49.92333       12.22407    
   2455.000      -52.56759       12.41414    
   2460.000      -53.11839       17.31156    
   2465.000      -52.52975       17.51693    
   2470.000      -52.77648       17.74127    
   2475.000      -53.31519       17.98601    
   2480.000      -54.02314       18.25271    
   2485.000      -54.85357       18.54309    
   2490.000      -55.78488       18.85903    
   2495.000      -56.80614       19.20258    
   2500.000      -57.91217       19.57602    
   2505.000      -59.10085       19.98183    
   2510.000      -60.37211       20.42271    
   2515.000      -61.72750       20.90170    
   2520.000      -63.16946       21.42203    
   2525.000      -64.70155       21.98738    
   2530.000      -66.32787       22.60168    
   2535.000      -68.05353       23.26937    
   2540.000      -69.88408       23.99521    
   2545.000      -71.82656       24.78461    
   2550.000      -32.40940       25.33423    
   2555.000      -32.76831       25.40159    
   2600.000      -37.31987       26.59248    
   2695.000      -15.50626       28.22586    
   2700.000      -15.45075       28.14790    
   2705.000      -15.39825       28.07040    
   2710.000      -15.34892       27.99334    
