  Element 15: P       Atomic mass:   30.9738

  Edge          keV         A
    K         2.1455    5.7788

Scattering factors as a function of energy: 

   1000.000     -0.9093346       1.329363    
   1100.000      -1.009121       1.139840    
   1200.000      -1.112528      0.9890383    
   1300.000      -1.221321      0.8669224    
   1400.000      -1.338480      0.7665395    
   1500.000      -1.468430      0.6829439    
   1600.000      -1.617823      0.6125345    
   1700.000      -1.797341      0.5526360    
   1800.000      -2.025987      0.5012255    
   1900.000      -2.343094      0.4567494    
   2000.000      -2.853962      0.4179971    
   2048.000      -3.264806      0.4011409    
   2053.000      -3.319988      0.3994444    
   2058.000      -3.378511      0.3977587    
   2063.000      -3.440771      0.3960838    
   2068.000      -3.507252      0.3944195    
   2073.000      -3.578521      0.3927658    
   2078.000      -3.655283      0.3911225    
   2083.000      -3.738392      0.3894896    
   2088.000      -3.828931      0.3878670    
   2093.000      -3.928266      0.3862546    
   2098.000      -4.038195      0.3846522    
   2100.000      -4.085635      0.3840141    
   2103.000      -4.161095      0.3830599    
   2108.000      -4.300272      0.3814776    
   2113.000      -4.460432      0.3799051    
   2118.000      -4.648692      0.3783423    
   2123.000      -4.876459      0.3767893    
   2128.000      -5.163908      0.3752458    
   2133.000      -5.551914      0.3737119    
   2138.000      -6.146348      0.3721875    
   2143.000      -7.438367      0.3706724    
   2148.000      -7.423274       4.111696    
   2153.000      -6.097147       4.101726    
   2158.000      -5.473982       4.091725    
   2163.000      -5.059814       4.081692    
   2168.000      -4.747991       4.071630    
   2173.000      -4.497147       4.061538    
   2178.000      -4.286893       4.051417    
   2183.000      -4.105611       4.041268    
   2188.000      -3.946090       4.031092    
   2193.000      -3.803504       4.020889    
   2198.000      -3.674503       4.010661    
   2200.000      -3.626129       4.006562    
   2203.000      -3.556625       4.000407    
   2208.000      -3.448048       3.990129    
   2213.000      -3.347349       3.979827    
   2218.000      -3.253427       3.969502    
   2223.000      -3.165385       3.959154    
   2228.000      -3.082509       3.948785    
   2233.000      -3.004196       3.938394    
   2238.000      -2.929956       3.927984    
   2243.000      -2.859364       3.917553    
   2300.000      -2.231237       3.797445    
   2400.000      -1.531334       3.583364    
   2500.000      -1.066865       3.368473    
   2600.000     -0.7280009       3.156106    
   2700.000     -0.4728401       2.948725    
   2800.000     -0.3866385       2.752452    
   2900.000     -0.2481832       2.602032    
   3000.000     -0.1365549       2.464437    
   3100.000     -4.4013470E-02   2.337136    
   3200.000      3.2265209E-02   2.219424    
   3300.000      9.5536597E-02   2.110349    
   3400.000      0.1482619       2.009076    
   3500.000      0.1923395       1.914870    
   3600.000      0.2287691       1.827092    
   3700.000      0.2596656       1.745170    
   3800.000      0.2855528       1.668581    
   3900.000      0.3072084       1.596869    
   4000.000      0.3252710       1.529624    
   4100.000      0.3402696       1.466482    
   4200.000      0.3526450       1.407113    
   4300.000      0.3613417       1.351236    
   4400.000      0.3694832       1.298737    
   4500.000      0.3759690       1.249207    
   4600.000      0.3810236       1.202426    
   4700.000      0.3848386       1.158192    
   4800.000      0.3875787       1.116322    
   4900.000      0.3893855       1.076651    
   5000.000      0.3903814       1.039025    
   5100.000      0.3906723       1.003307    
   5200.000      0.3903503      0.9693688    
   5300.000      0.3894953      0.9370937    
   5400.000      0.3881773      0.9063749    
   5500.000      0.3864574      0.8771136    
   5600.000      0.3843890      0.8492187    
   5700.000      0.3820192      0.8226064    
   5800.000      0.3793890      0.7971990    
   5900.000      0.3765349      0.7729252    
   6000.000      0.3734887      0.7497182    
   6100.000      0.3702786      0.7275167    
   6200.000      0.3669294      0.7062632    
   6300.000      0.3634632      0.6859047    
   6400.000      0.3598992      0.6663917    
   6500.000      0.3562547      0.6476782    
   6600.000      0.3524290      0.6297214    
   6700.000      0.3486677      0.6124817    
   6800.000      0.3448662      0.5959206    
   6900.000      0.3410349      0.5800035    
   7000.000      0.3371828      0.5646973    
   7100.000      0.3333183      0.5499712    
   7200.000      0.3294482      0.5357965    
   7300.000      0.3255787      0.5221461    
   7400.000      0.3217153      0.5089946    
   7500.000      0.3178624      0.4963182    
   7600.000      0.3140240      0.4840942    
   7700.000      0.3102033      0.4723017    
   7800.000      0.3064029      0.4609206    
   7900.000      0.3026245      0.4499321    
   8000.000      0.2988696      0.4393186    
   8100.000      0.2951383      0.4290633    
   8200.000      0.2914301      0.4191503    
   8300.000      0.2877432      0.4095647    
   8400.000      0.2840738      0.4002925    
   8500.000      0.2804155      0.3913201    
   8600.000      0.2767571      0.3826348    
   8700.000      0.2730794      0.3742249    
   8800.000      0.2693468      0.3660786    
   8900.000      0.2654872      0.3581854    
   9000.000      0.2621758      0.3506286    
   9100.000      0.2589101      0.3433024    
   9200.000      0.2556900      0.3361977    
   9300.000      0.2523696      0.3293057    
   9400.000      0.2492399      0.3226225    
   9500.000      0.2461305      0.3161372    
   9600.000      0.2430669      0.3098419    
   9700.000      0.2400488      0.3037294    
   9800.000      0.2370759      0.2977927    
   9900.000      0.2341478      0.2920251    
   10000.00      0.2312639      0.2864203    
   10100.00      0.2284239      0.2809721    
   10200.00      0.2256271      0.2756749    
   10300.00      0.2228730      0.2705232    
   10400.00      0.2201612      0.2655116    
   10500.00      0.2174908      0.2606352    
   10600.00      0.2148615      0.2558891    
   10700.00      0.2122726      0.2512688    
   10800.00      0.2097235      0.2467699    
