  Element 82: Pb      Atomic mass:  207.2000

  Edge          keV         A
    K        88.0045    0.1409
    L-I      15.8608    0.7817
    L-II     15.2000    0.8157
    L-III    13.0352    0.9511
    M1        3.8507    3.2198
    M2        3.5542    3.4884
    M3        3.0664    4.0433
    M4        2.5856    4.7952
    M5        2.4840    4.9913

Scattering factors as a function of energy: 

   1000.000      -28.28168       24.64940    
   1100.000      -26.62964       22.86701    
   1200.000      -25.42819       21.22618    
   1300.000      -24.57543       19.71630    
   1400.000      -24.00474       18.32848    
   1500.000      -23.67898       17.05223    
   1600.000      -23.59636       15.88492    
   1700.000      -23.96517       14.83430    
   1800.000      -24.49813       13.91281    
   1900.000      -25.05593       13.08470    
   2000.000      -25.87127       12.32797    
   2100.000      -27.03973       11.63444    
   2200.000      -28.76866       10.99720    
   2300.000      -31.67515       10.41016    
   2387.000      -37.44437       9.936191    
   2392.000      -38.03713       9.909922    
   2397.000      -38.68654       9.883753    
   2400.000      -39.10706       9.868101    
   2402.000      -39.40163       9.857687    
   2407.000      -40.19362       9.831720    
   2412.000      -41.07616       9.805856    
   2417.000      -42.06651       9.780089    
   2422.000      -43.18634       9.754423    
   2427.000      -44.46371       9.728855    
   2432.000      -45.93506       9.703386    
   2437.000      -47.64940       9.678014    
   2442.000      -49.67344       9.652740    
   2447.000      -52.10176       9.627561    
   2452.000      -55.07253       9.602479    
   2457.000      -58.79906       9.577492    
   2462.000      -63.63140       9.552601    
   2467.000      -70.20275       9.527804    
   2472.000      -79.83244       9.503102    
   2477.000      -96.08204       9.478493    
   2482.000      -137.6340       9.453977    
   2487.000      -118.8456       120.8143    
   2488.000      -106.6401       118.5130    
   2492.000      -77.01289       109.8481    
   2493.000      -72.03902       107.8104    
   2497.000      -56.95007       100.1323    
   2498.000      -54.03335       98.32494    
   2500.000      -48.92828       94.83625    
   2502.000      -44.61970       91.50879    
   2503.000      -42.71378       89.90310    
   2507.000      -36.41043       83.84267    
   2508.000      -35.11091       82.41370    
   2512.000      -30.77944       77.01555    
   2513.000      -29.88386       75.74175    
   2517.000      -26.91223       70.92613    
   2518.000      -26.30415       69.78878    
   2522.000      -24.32465       65.48529    
   2523.000      -23.93161       64.46812    
   2527.000      -22.71052       60.61654    
   2528.000      -22.48547       59.70517    
   2532.000      -21.86994       56.25232    
   2533.000      -21.78235       55.43483    
   2537.000      -21.67435       52.33453    
   2538.000      -21.70515       51.59976    
   2542.000      -22.04795       48.81166    
   2543.000      -22.18748       48.15053    
   2547.000      -22.96002       45.63933    
   2548.000      -23.20755       45.04325    
   2552.000      -24.42580       42.77800    
   2553.000      -24.79046       42.24002    
   2557.000      -26.51712       40.19356    
   2558.000      -27.02237       39.70706    
   2562.000      -29.39191       37.85551    
   2563.000      -30.08423       37.41513    
   2567.000      -33.36323       35.73748    
   2568.000      -34.33685       35.33807    
   2572.000      -39.08767       33.81581    
   2573.000      -40.55300       33.45322    
   2577.000      -48.20295       32.06999    
   2578.000      -51.62503       31.74020    
   2582.000      -67.06998       30.48167    
   2583.000      -74.42585       30.18147    
   2588.000      -74.51706       104.0385    
   2593.000      -42.69178       95.25292    
   2598.000      -28.61735       87.46044    
   2600.000      -24.75031       84.59308    
   2603.000      -20.11119       80.53589    
   2608.000      -14.51846       74.37022    
   2613.000      -10.70171       68.87048    
   2618.000      -8.065790       63.95523    
   2623.000      -6.256645       59.55482    
   2628.000      -5.045369       55.60795    
   2633.000      -4.276146       52.06208    
   2638.000      -3.838427       48.87076    
   2643.000      -3.651771       45.99405    
   2648.000      -3.656271       43.39652    
   2653.000      -3.806664       41.04751    
   2658.000      -4.068274       38.92013    
   2663.000      -4.414345       36.99044    
   2668.000      -4.823993       35.23779    
   2673.000      -5.280934       33.64361    
   2678.000      -5.772296       32.19185    
   2683.000      -6.287825       30.86803    
   2700.000      -8.204957       27.16588    
   2800.000      -17.61427       18.34912    
   2900.000      -23.36709       18.77652    
   2969.000      -23.77978       23.83618    
   2974.000      -23.54421       24.45771    
   2979.000      -23.25012       25.12714    
   2984.000      -22.89085       25.84799    
   2989.000      -22.45887       26.62427    
   2994.000      -21.94580       27.46020    
   2999.000      -21.34211       28.36057    
   3000.000      -21.20961       28.54880    
   3004.000      -21.21650       28.49516    
   3009.000      -21.24077       28.41977    
   3014.000      -21.27770       28.34467    
   3019.000      -21.32959       28.26987    
   3024.000      -21.39949       28.19536    
   3029.000      -21.49167       28.12115    
   3034.000      -21.61222       28.04722    
   3039.000      -21.77038       27.97358    
   3044.000      -21.98098       27.90023    
   3049.000      -22.27037       27.82716    
   3054.000      -22.69209       27.75438    
   3059.000      -23.38628       27.68188    
   3064.000      -25.01427       27.60966    
   3069.000      -24.79750       32.36323    
   3074.000      -23.04626       32.27303    
   3079.000      -22.17342       32.18335    
   3084.000      -21.56802       32.09418    
   3089.000      -21.09512       32.00554    
   3094.000      -20.70195       31.91739    
   3099.000      -20.36242       31.82974    
   3100.000      -20.29951       31.81227    
   3104.000      -20.06155       31.74259    
   3109.000      -19.79006       31.65594    
   3114.000      -19.54169       31.56977    
   3119.000      -19.31210       31.48409    
   3124.000      -19.09806       31.39889    
   3129.000      -18.89721       31.31417    
   3134.000      -18.70768       31.22993    
   3139.000      -18.52802       31.14615    
   3144.000      -18.35704       31.06283    
   3149.000      -18.19379       30.97999    
