  Element 46: Pd      Atomic mass:  106.4200

  Edge          keV         A
    K        24.3503    0.5092
    L-I       3.6043    3.4399
    L-II      3.3303    3.7229
    L-III     3.1733    3.9071

Scattering factors as a function of energy: 

   1000.000      -7.547268       15.92996    
   1100.000      -6.661947       14.20461    
   1200.000      -6.087759       12.73542    
   1300.000      -5.716520       11.47769    
   1400.000      -5.589616       10.40357    
   1500.000      -5.477894       9.482906    
   1600.000      -5.441972       8.681175    
   1700.000      -5.468252       7.978370    
   1800.000      -5.540044       7.358360    
   1900.000      -5.653021       6.808270    
   2000.000      -5.803083       6.317729    
   2100.000      -5.988536       5.878265    
   2200.000      -6.248851       5.486553    
   2300.000      -6.557127       5.136201    
   2400.000      -6.859633       4.820486    
   2500.000      -7.235989       4.533768    
   2600.000      -7.656535       4.272769    
   2700.000      -8.176187       4.034267    
   2800.000      -8.818461       3.816246    
   2900.000      -9.670216       3.615805    
   3000.000      -10.91386       3.431060    
   3076.000      -12.46001       3.302033    
   3081.000      -12.59871       3.293813    
   3086.000      -12.74461       3.285625    
   3091.000      -12.89852       3.277469    
   3096.000      -13.06138       3.269345    
   3100.000      -13.19889       3.262869    
   3101.000      -13.23436       3.261252    
   3106.000      -13.41883       3.253192    
   3111.000      -13.61651       3.245162    
   3116.000      -13.82952       3.237163    
   3121.000      -14.06057       3.229196    
   3126.000      -14.31317       3.221259    
   3131.000      -14.59201       3.213352    
   3136.000      -14.90351       3.205477    
   3141.000      -15.25694       3.197631    
   3146.000      -15.66612       3.189816    
   3151.000      -16.15346       3.182031    
   3156.000      -16.75841       3.174275    
   3161.000      -17.56170       3.166549    
   3166.000      -18.77458       3.158853    
   3171.000      -21.42193       3.151186    
   3176.000      -21.09410       10.26996    
   3181.000      -18.75737       10.27171    
   3186.000      -17.66061       10.27320    
   3191.000      -16.94555       10.27443    
   3196.000      -16.41935       10.27540    
   3200.000      -16.08220       10.27599    
   3201.000      -16.00664       10.27611    
   3206.000      -15.66999       10.27655    
   3211.000      -15.38823       10.27673    
   3216.000      -15.14817       10.27665    
   3221.000      -14.94114       10.27631    
   3226.000      -14.76113       10.27571    
   3231.000      -14.60389       10.27485    
   3233.000      -14.54664       10.27444    
   3236.000      -14.46630       10.27373    
   3238.000      -14.41624       10.27321    
   3241.000      -14.34610       10.27235    
   3243.000      -14.30249       10.27173    
   3246.000      -14.24161       10.27071    
   3248.000      -14.20394       10.26999    
   3251.000      -14.15166       10.26882    
   3253.000      -14.11956       10.26799    
   3256.000      -14.07544       10.26666    
   3258.000      -14.04869       10.26573    
   3261.000      -14.01251       10.26425    
   3263.000      -13.99102       10.26322    
   3266.000      -13.96274       10.26158    
   3268.000      -13.94655       10.26045    
   3271.000      -13.92633       10.25866    
   3273.000      -13.91562       10.25742    
   3278.000      -13.89898       10.25414    
   3283.000      -13.89786       10.25060    
   3288.000      -13.91414       10.24682    
   3293.000      -13.95064       10.24277    
   3298.000      -14.01164       10.23848    
   3300.000      -14.04427       10.23669    
   3303.000      -14.10378       10.23394    
   3308.000      -14.23799       10.22914    
   3313.000      -14.43382       10.22410    
   3318.000      -14.73154       10.21881    
   3323.000      -15.23693       10.21327    
   3328.000      -16.46404       10.20748    
   3333.000      -16.20037       13.77696    
   3338.000      -14.92950       13.77388    
   3343.000      -14.28290       13.77044    
   3348.000      -13.82938       13.76664    
   3353.000      -13.47204       13.76248    
   3358.000      -13.17281       13.75796    
   3363.000      -12.91281       13.75309    
   3368.000      -12.68119       13.74786    
   3373.000      -12.47124       13.74228    
   3378.000      -12.27840       13.73635    
   3383.000      -12.09952       13.73007    
   3388.000      -11.93228       13.72344    
   3393.000      -11.77496       13.71646    
   3398.000      -11.62619       13.70914    
   3400.000      -11.56884       13.70611    
   3403.000      -11.48493       13.70147    
   3408.000      -11.35034       13.69347    
   3413.000      -11.22171       13.68512    
   3418.000      -11.09850       13.67643    
   3423.000      -10.98023       13.66741    
   3428.000      -10.86650       13.65805    
   3500.000      -9.607114       13.48725    
   3507.000      -9.516952       13.46717    
   3512.000      -9.456094       13.45247    
   3517.000      -9.398320       13.43746    
   3522.000      -9.343773       13.42216    
   3527.000      -9.292649       13.40656    
   3532.000      -9.245189       13.39067    
   3537.000      -9.201705       13.37449    
   3542.000      -9.162590       13.35802    
   3547.000      -9.128353       13.34126    
   3552.000      -9.099651       13.32422    
   3557.000      -9.077361       13.30690    
   3562.000      -9.062658       13.28929    
   3567.000      -9.057184       13.27141    
   3572.000      -9.063308       13.25325    
   3577.000      -9.084612       13.23483    
   3582.000      -9.126896       13.21612    
   3587.000      -9.200444       13.19715    
   3592.000      -9.326306       13.17792    
   3597.000      -9.559665       13.15842    
   3600.000      -9.827909       13.14660    
   3602.000      -10.16836       13.13866    
   3607.000      -10.00039       14.98174    
   3612.000      -9.305012       14.95970    
   3617.000      -8.935664       14.93740    
   3622.000      -8.667227       14.91486    
   3627.000      -8.449004       14.89208    
   3632.000      -8.261131       14.86905    
   3637.000      -8.093699       14.84579    
   3642.000      -7.941078       14.82228    
   3647.000      -7.799720       14.79854    
   3652.000      -7.667282       14.77457    
   3657.000      -7.542096       14.75037    
   3662.000      -7.422966       14.72594    
   3667.000      -7.308975       14.70129    
   3672.000      -7.199431       14.67641    
   3677.000      -7.093771       14.65132    
