  Element 84: Po      Atomic mass:  209.0000

  Edge          keV         A
    K        93.1050    0.1332
    L-I      16.9393    0.7319
    L-II     16.2443    0.7632
    L-III    13.8138    0.8975
    M1        4.1494    2.9880
    M2        3.8541    3.2169
    M3        3.3019    3.7549
    M4        2.7980    4.4312
    M5        2.6830    4.6211

Scattering factors as a function of energy: 

   1000.000      -29.98008       27.13431    
   1100.000      -27.55013       25.17858    
   1200.000      -26.05029       23.39963    
   1300.000      -24.95450       21.78164    
   1400.000      -24.16509       20.30556    
   1500.000      -23.62947       18.95752    
   1600.000      -23.30202       17.72468    
   1700.000      -23.11978       16.59300    
   1800.000      -23.15152       15.54287    
   1900.000      -23.62702       14.57803    
   2000.000      -24.02776       13.72470    
   2100.000      -24.83987       12.96735    
   2200.000      -25.69202       12.27089    
   2300.000      -26.88413       11.62863    
   2400.000      -28.62962       11.03491    
   2500.000      -31.57111       10.48481    
   2586.000      -37.34425       10.04339    
   2591.000      -37.94038       10.01857    
   2596.000      -38.59283       9.993837    
   2600.000      -39.16129       9.974118    
   2601.000      -39.31056       9.969196    
   2606.000      -40.10439       9.944645    
   2611.000      -40.98775       9.920181    
   2616.000      -41.97728       9.895807    
   2621.000      -43.09413       9.871519    
   2626.000      -44.36520       9.847320    
   2631.000      -45.82587       9.823206    
   2636.000      -47.52294       9.799180    
   2641.000      -49.52069       9.775238    
   2646.000      -51.90917       9.751384    
   2651.000      -54.82059       9.727613    
   2656.000      -58.45740       9.703928    
   2661.000      -63.15263       9.680326    
   2666.000      -69.50549       9.656810    
   2671.000      -78.76568       9.633376    
   2676.000      -94.29839       9.610024    
   2681.000      -133.7445       9.586758    
   2686.000      -116.5206       115.1449    
   2691.000      -76.75197       104.4903    
   2696.000      -57.73596       95.13213    
   2700.000      -48.03283       88.46079    
   2701.000      -46.08226       86.89577    
   2705.000      -39.65390       81.01253    
   2706.000      -38.33079       79.63059    
   2710.000      -33.91789       74.43150    
   2711.000      -33.00254       73.20928    
   2715.000      -29.94532       68.60532    
   2716.000      -29.31298       67.52163    
   2720.000      -27.22117       63.43647    
   2721.000      -26.79532       62.47417    
   2725.000      -25.42043       58.84218    
   2726.000      -25.15069       57.98558    
   2730.000      -24.32768       54.75028    
   2731.000      -24.18036       53.98669    
   2735.000      -23.79741       51.09932    
   2736.000      -23.74954       50.41704    
   2740.000      -23.73149       47.83547    
   2741.000      -23.76796       47.22505    
   2745.000      -24.06691       44.91277    
   2746.000      -24.17867       44.36541    
   2750.000      -24.76902       42.29079    
   2751.000      -24.95219       41.79939    
   2755.000      -25.82897       39.93478    
   2756.000      -26.08497       39.49279    
   2760.000      -27.26510       37.81446    
   2761.000      -27.60132       37.41629    
   2765.000      -29.12967       35.90314    
   2766.000      -29.56169       35.54392    
   2770.000      -31.52339       34.17789    
   2771.000      -32.07961       33.85334    
   2775.000      -34.62873       32.61828    
   2776.000      -35.36067       32.32467    
   2780.000      -38.78439       31.20674    
   2781.000      -39.79218       30.94079    
   2785.000      -44.69015       29.92756    
   2790.000      -54.12721       28.76719    
   2795.000      -74.65014       27.71348    
   2800.000      -83.25529       99.27804    
   2805.000      -49.08595       90.16742    
   2810.000      -34.92552       82.29209    
   2815.000      -26.73723       75.46378    
   2820.000      -22.32520       69.52707    
   2825.000      -18.02210       64.35121    
   2830.000      -15.69982       59.82750    
   2835.000      -14.16399       55.86393    
   2840.000      -13.18380       52.38378    
   2845.000      -12.60452       49.32167    
   2850.000      -12.31879       46.62283    
   2855.000      -12.24996       44.24031    
   2860.000      -12.34225       42.13465    
   2865.000      -12.55450       40.27180    
   2870.000      -12.85589       38.62310    
   2875.000      -13.22323       37.16369    
   2880.000      -13.63890       35.87252    
   2885.000      -14.08943       34.73152    
   2890.000      -14.56457       33.72503    
   2895.000      -15.05642       32.83982    
   2900.000      -15.55896       32.06435    
   3000.000      -24.83118       31.76425    
   3100.000      -22.27280       30.09130    
   3200.000      -21.01294       28.57004    
   3204.000      -20.99385       28.51216    
   3209.000      -20.97463       28.44011    
   3214.000      -20.96095       28.36840    
   3219.000      -20.95333       28.29702    
   3224.000      -20.95233       28.22598    
   3229.000      -20.95864       28.15526    
   3234.000      -20.97313       28.08488    
   3239.000      -20.99688       28.01482    
   3244.000      -21.03120       27.94509    
   3249.000      -21.07782       27.87568    
   3254.000      -21.13897       27.80659    
   3259.000      -21.21765       27.73782    
   3264.000      -21.31796       27.66936    
   3269.000      -21.44580       27.60122    
   3274.000      -21.61000       27.53339    
   3279.000      -21.82472       27.46587    
   3284.000      -22.11466       27.39866    
   3289.000      -22.52940       27.33175    
   3294.000      -23.19655       27.26515    
   3299.000      -24.64566       27.19885    
   3300.000      -25.27659       27.18563    
   3304.000      -25.05915       31.96424    
   3309.000      -23.09103       31.88089    
   3314.000      -22.18370       31.79806    
   3319.000      -21.56824       31.71572    
   3324.000      -21.09322       31.63390    
   3329.000      -20.70143       31.55257    
   3334.000      -20.36504       31.47174    
   3339.000      -20.06836       31.39140    
   3344.000      -19.80161       31.31154    
   3349.000      -19.55836       31.23217    
   3354.000      -19.33407       31.15327    
   3359.000      -19.12547       31.07486    
   3364.000      -18.93009       30.99690    
   3369.000      -18.74604       30.91942    
   3374.000      -18.57182       30.84240    
   3379.000      -18.40625       30.76584    
   3384.000      -18.24833       30.68974    
