  Element 59: Pr      Atomic mass:  140.9077

  Edge          keV         A
    K        41.9906    0.2953
    L-I       6.8348    1.8140
    L-II      6.4404    1.9251
    L-III     5.9643    2.0788
    M1        1.5110    8.2054
    M2        1.3374    9.2705
    M3        1.2422    9.9810

Scattering factors as a function of energy: 

   1000.000      -35.39924       35.87213    
   1100.000      -24.78184       30.27080    
   1145.000      -22.82962       28.32191    
   1150.000      -22.67460       28.12256    
   1155.000      -22.53140       27.92637    
   1160.000      -22.40012       27.73328    
   1165.000      -22.28096       27.54321    
   1170.000      -22.17427       27.35612    
   1175.000      -22.08056       27.17193    
   1180.000      -22.00055       26.99058    
   1185.000      -21.93521       26.81201    
   1190.000      -21.88588       26.63617    
   1195.000      -21.85441       26.46299    
   1200.000      -21.84336       26.29243    
   1205.000      -21.85635       26.12443    
   1210.000      -21.89871       25.95894    
   1215.000      -21.97858       25.79590    
   1220.000      -22.11200       25.63529    
   1225.000      -22.31747       25.47705    
   1230.000      -22.64685       25.32113    
   1235.000      -23.23067       25.16748    
   1240.000      -24.71943       25.01605    
   1240.000      -24.71943       25.01605    
   1245.000      -24.23925       29.17999    
   1245.000      -24.23925       29.17999    
   1250.000      -22.69225       28.98904    
   1250.000      -22.69225       28.98904    
   1255.000      -21.89249       28.80177    
   1255.000      -21.89249       28.80177    
   1260.000      -21.33338       28.61811    
   1260.000      -21.33338       28.61811    
   1265.000      -20.89804       28.43795    
   1265.000      -20.89804       28.43795    
   1270.000      -20.54019       28.26121    
   1270.000      -20.54019       28.26121    
   1275.000      -20.23678       28.08781    
   1275.000      -20.23678       28.08781    
   1280.000      -19.97479       27.91767    
   1280.000      -19.97479       27.91767    
   1285.000      -19.74631       27.75072    
   1285.000      -19.74631       27.75072    
   1290.000      -19.54643       27.58687    
   1290.000      -19.54643       27.58687    
   1295.000      -19.37219       27.42607    
   1295.000      -19.37219       27.42607    
   1300.000      -19.22216       27.26823    
   1305.000      -19.09629       27.11330    
   1305.000      -19.09629       27.11330    
   1310.000      -18.99630       26.96120    
   1310.000      -18.99630       26.96120    
   1315.000      -18.92629       26.81188    
   1315.000      -18.92629       26.81188    
   1320.000      -18.89503       26.66528    
   1320.000      -18.89503       26.66528    
   1325.000      -18.92179       26.52134    
   1325.000      -18.92179       26.52134    
   1330.000      -19.05867       26.38000    
   1330.000      -19.05867       26.38000    
   1335.000      -19.55647       26.24121    
   1335.000      -19.55647       26.24121    
   1340.000      -19.35311       27.93539    
   1340.000      -19.35311       27.93539    
   1345.000      -18.57794       27.78329    
   1350.000      -18.14559       27.63424    
   1355.000      -17.82189       27.48818    
   1360.000      -17.55461       27.34505    
   1365.000      -17.32313       27.20477    
   1370.000      -17.11703       27.06729    
   1375.000      -16.93029       26.93254    
   1380.000      -16.75904       26.80047    
   1385.000      -16.60068       26.67103    
   1390.000      -16.45332       26.54416    
   1395.000      -16.31557       26.41981    
   1400.000      -16.18636       26.29793    
   1405.000      -16.06488       26.17848    
   1410.000      -15.95045       26.06140    
   1413.000      -15.88497       25.99227    
   1415.000      -15.84257       25.94665    
   1418.000      -15.78080       25.87890    
   1420.000      -15.74082       25.83419    
   1423.000      -15.68257       25.76779    
   1425.000      -15.64487       25.72397    
   1428.000      -15.58999       25.65890    
   1430.000      -15.55450       25.61596    
   1433.000      -15.50287       25.55220    
   1435.000      -15.46952       25.51012    
   1438.000      -15.42108       25.44764    
   1443.000      -15.34456       25.34519    
   1448.000      -15.27333       25.24481    
   1453.000      -15.20752       25.14646    
   1458.000      -15.14735       25.05013    
   1463.000      -15.09318       24.95576    
   1468.000      -15.04558       24.86333    
   1473.000      -15.00539       24.77281    
   1478.000      -14.97390       24.68418    
   1483.000      -14.95310       24.59740    
   1488.000      -14.94627       24.51245    
   1493.000      -14.95921       24.42929    
   1498.000      -15.00361       24.34792    
   1500.000      -15.03549       24.31586    
   1503.000      -15.10892       24.26829    
   1508.000      -15.39935       24.19039    
   1513.000      -15.47700       25.28303    
   1518.000      -14.93926       25.20564    
   1523.000      -14.66954       25.12996    
   1528.000      -14.47262       25.05598    
   1533.000      -14.31098       24.98366    
   1538.000      -14.17055       24.91300    
   1543.000      -14.04447       24.84397    
   1548.000      -13.92886       24.77655    
   1553.000      -13.82130       24.71073    
   1558.000      -13.72017       24.64648    
   1563.000      -13.62432       24.58381    
   1568.000      -13.53291       24.52267    
   1573.000      -13.44481       24.46307    
   1578.000      -12.37016       24.39033    
   1583.000      -12.28449       24.31786    
   1588.000      -12.20163       24.24685    
   1593.000      -12.12801       24.17728    
   1598.000      -12.04995       24.10916    
   1600.000      -12.01932       24.08231    
   1603.000      -11.97399       24.04245    
   1608.000      -11.20672       23.97574    
   1700.000      -9.296958       22.42620    
   1800.000      -7.884249       20.88247    
   1900.000      -7.011915       19.45734    
   2000.000      -6.297867       18.17801    
   2100.000      -5.765477       17.01294    
   2200.000      -5.447993       15.96174    
   2300.000      -5.122776       15.00704    
   2400.000      -4.870578       14.13554    
   2500.000      -4.701158       13.33832    
   2600.000      -4.558095       12.61086    
   2700.000      -4.468590       11.94241    
   2800.000      -4.398971       11.32826    
   2900.000      -4.357187       10.76087    
   3000.000      -4.342983       10.23547    
   3100.000      -4.345390       9.752673    
   3200.000      -4.364304       9.304586    
   3300.000      -4.397645       8.887874    
