  Element 78: Pt      Atomic mass:  195.0800

  Edge          keV         A
    K        78.3948    0.1582
    L-I      13.8799    0.8933
    L-II     13.2726    0.9341
    L-III    11.5637    1.0722
    M1        3.2960    3.7617
    M2        3.0265    4.0966
    M3        2.6454    4.6868
    M4        2.2019    5.6308
    M5        2.1216    5.8439

Scattering factors as a function of energy: 

   1000.000      -26.89531       19.62125    
   1100.000      -25.87443       18.08330    
   1200.000      -25.23344       16.65518    
   1300.000      -25.10552       15.35828    
   1400.000      -25.58911       14.23877    
   1500.000      -25.91930       13.26482    
   1600.000      -26.51963       12.39209    
   1700.000      -27.45392       11.60555    
   1800.000      -28.86528       10.89314    
   1900.000      -31.12363       10.24504    
   2000.000      -35.71204       9.653326    
   2024.000      -37.84597       9.518913    
   2029.000      -38.40518       9.491261    
   2034.000      -39.01794       9.463728    
   2039.000      -39.69312       9.436312    
   2044.000      -40.44149       9.409016    
   2049.000      -41.27658       9.381835    
   2054.000      -42.21515       9.354772    
   2059.000      -43.27876       9.327823    
   2064.000      -44.49499       9.300990    
   2069.000      -45.90032       9.274270    
   2074.000      -47.54334       9.247664    
   2079.000      -49.52060       9.221289    
   2084.000      -51.86785       9.195103    
   2089.000      -54.75319       9.169030    
   2094.000      -58.39051       9.143067    
   2099.000      -63.12942       9.117216    
   2100.000      -64.25681       9.112060    
   2104.000      -69.59697       9.091473    
   2104.000      -69.59697       9.091473    
   2109.000      -79.07723       9.065841    
   2109.000      -79.07723       9.065841    
   2114.000      -94.90667       9.040315    
   2114.000      -94.90667       9.040315    
   2119.000      -132.3362       9.014898    
   2119.000      -132.3362       9.014898    
   2124.000      -130.5184       129.8852    
   2124.000      -130.5184       129.8852    
   2129.000      -78.76846       116.4262    
   2129.000      -78.76846       116.4262    
   2134.000      -55.99950       104.6532    
   2134.000      -55.99950       104.6532    
   2139.000      -42.63332       94.33664    
   2139.000      -42.63332       94.33664    
   2144.000      -34.14957       85.27882    
   2144.000      -34.14957       85.27882    
   2149.000      -28.68868       77.31234    
   2149.000      -28.68868       77.31234    
   2154.000      -25.29424       70.29230    
   2154.000      -25.29424       70.29230    
   2159.000      -23.42195       64.09570    
   2159.000      -23.42195       64.09570    
   2164.000      -22.75360       58.61565    
   2164.000      -22.75360       58.61565    
   2169.000      -23.12058       53.76118    
   2169.000      -23.12058       53.76118    
   2174.000      -24.47701       49.45292    
   2174.000      -24.47701       49.45292    
   2179.000      -26.91199       45.62311    
   2179.000      -26.91199       45.62311    
   2184.000      -30.72083       42.21242    
   2184.000      -30.72083       42.21242    
   2189.000      -36.62579       39.17007    
   2189.000      -36.62579       39.17007    
   2194.000      -46.59809       36.45144    
   2194.000      -46.59809       36.45144    
   2199.000      -69.33135       34.01821    
   2199.000      -69.33135       34.01821    
   2200.000      -79.45037       33.56268    
   2204.000      -75.01006       111.0927    
   2204.000      -75.01006       111.0927    
   2209.000      -38.91501       100.6976    
   2209.000      -38.91501       100.6976    
   2214.000      -23.66128       91.51576    
   2214.000      -23.66128       91.51576    
   2219.000      -14.74965       83.39061    
   2219.000      -14.74965       83.39061    
   2224.000      -9.056116       76.18873    
   2229.000      -5.303632       69.79364    
   2234.000      -2.836195       64.10583    
   2239.000      -1.257758       59.03808    
   2244.000     -0.3158095       54.51568    
   2249.000      0.1617101       50.47292    
   2254.000      0.2961663       46.85335    
   2259.000      0.1756410       43.60713    
   2264.000     -0.1347001       40.69139    
   2269.000     -0.5859646       38.06809    
   2274.000      -1.140979       35.70445    
   2279.000      -1.771386       33.57128    
   2284.000      -2.455276       31.64337    
   2289.000      -3.175851       29.89818    
   2294.000      -3.920014       28.31621    
   2299.000      -4.677786       26.87997    
   2300.000      -4.830240       26.60887    
   2400.000      -18.01046       13.95023    
   2500.000      -27.72141       11.30473    
   2548.000      -32.51408       11.08333    
   2553.000      -33.05478       11.08881    
   2558.000      -33.60673       11.09973    
   2563.000      -34.17100       11.11618    
   2568.000      -34.74885       11.13826    
   2573.000      -35.34159       11.16610    
   2578.000      -35.95081       11.19985    
   2583.000      -36.57822       11.23967    
   2588.000      -37.22593       11.28577    
   2593.000      -37.89636       11.33837    
   2598.000      -38.59258       11.39773    
   2600.000      -38.87907       11.42342    
   2603.000      -39.31833       11.46410    
   2608.000      -40.07866       11.53781    
   2613.000      -40.88032       11.61920    
   2618.000      -41.73324       11.70863    
   2623.000      -42.65272       11.80651    
   2628.000      -43.66531       11.91329    
   2633.000      -44.82385       12.02946    
   2638.000      -46.26461       12.15555    
   2643.000      -48.62908       12.29213    
   2648.000      -49.22940       17.10534    
   2653.000      -48.37268       17.24925    
   2658.000      -48.38900       17.40603    
   2663.000      -48.68945       17.57651    
   2668.000      -49.14525       17.76153    
   2673.000      -49.70722       17.96206    
   2678.000      -50.35185       18.17912    
   2683.000      -51.06672       18.41385    
   2688.000      -51.84477       18.66745    
   2693.000      -52.68224       18.94127    
   2698.000      -53.57712       19.23670    
   2700.000      -53.95101       19.36129    
   2703.000      -54.52887       19.55536    
   2708.000      -55.53770       19.89891    
   2713.000      -56.60469       20.26923    
   2718.000      -57.73130       20.66831    
   2723.000      -58.91969       21.09838    
   2728.000      -60.17218       21.56177    
   2733.000      -61.49176       22.06116    
   2738.000      -62.88153       22.59931    
   2743.000      -64.34521       23.17938    
