  Element 88: Ra      Atomic mass:  226.0254

  Edge          keV         A
    K       103.9219    0.1193
    L-I      19.2367    0.6445
    L-II     18.4843    0.6708
    L-III    15.4444    0.8028
    M1        4.8220    2.5712
    M2        4.4895    2.7616
    M3        3.7918    3.2698
    M4        3.2484    3.8168
    M5        3.1049    3.9932
    N1        1.2084   10.2602
    N2        1.0576   11.7232

Scattering factors as a function of energy: 

   1000.000      -33.08521       32.59144    
   1100.000      -30.00501       30.60966    
   1111.000      -29.69589       30.34731    
   1116.000      -29.56161       30.22859    
   1121.000      -29.43095       30.11021    
   1126.000      -29.30374       29.99219    
   1131.000      -29.17990       29.87451    
   1136.000      -29.05939       29.75720    
   1141.000      -28.94220       29.64026    
   1146.000      -28.82835       29.52369    
   1151.000      -28.71791       29.40751    
   1156.000      -28.61102       29.29170    
   1161.000      -28.50788       29.17630    
   1166.000      -28.40877       29.06129    
   1171.000      -28.31415       28.94667    
   1176.000      -28.22465       28.83247    
   1181.000      -28.14131       28.71868    
   1186.000      -28.06580       28.60531    
   1191.000      -28.00110       28.49236    
   1196.000      -28.51066       28.38034    
   1200.000      -28.50235       28.29584    
   1201.000      -28.50560       28.27478    
   1206.000      -28.60966       28.16982    
   1211.000      -28.50122       28.62220    
   1216.000      -28.21860       28.51738    
   1221.000      -28.03823       28.41320    
   1226.000      -27.88977       28.30965    
   1231.000      -27.75768       28.20672    
   1236.000      -27.63587       28.10442    
   1241.000      -27.52132       28.00274    
   1246.000      -27.41229       27.90167    
   1251.000      -27.30770       27.80122    
   1256.000      -27.20680       27.70137    
   1261.000      -27.10908       27.60212    
   1266.000      -27.05538       27.50368    
   1271.000      -26.96359       27.40587    
   1276.000      -26.87406       27.30867    
   1281.000      -26.78661       27.21205    
   1286.000      -26.70109       27.11603    
   1291.000      -26.61737       27.02059    
   1296.000      -26.53535       26.92573    
   1300.000      -26.47089       26.85025    
   1301.000      -26.45493       26.83144    
   1306.000      -26.37603       26.73773    
   1400.000      -25.05687       25.06775    
   1500.000      -24.05537       23.44072    
   1600.000      -23.26999       21.96790    
   1700.000      -22.71348       20.61266    
   1800.000      -22.33442       19.36991    
   1900.000      -22.11000       18.22739    
   2000.000      -22.02536       17.17459    
   2100.000      -22.07209       16.20248    
   2200.000      -22.25479       15.30471    
   2300.000      -22.56360       14.47338    
   2400.000      -23.01625       13.70214    
   2500.000      -23.87502       13.01007    
   2600.000      -24.88457       12.38123    
   2700.000      -25.97646       11.80486    
   2800.000      -27.46292       11.26795    
   2900.000      -29.61601       10.76689    
   3000.000      -33.18420       10.29850    
   3007.000      -33.53800       10.26811    
   3012.000      -33.80416       10.24649    
   3017.000      -34.08269       10.22496    
   3022.000      -34.37484       10.20349    
   3027.000      -34.68203       10.18210    
   3032.000      -35.00598       10.16078    
   3037.000      -35.34867       10.13953    
   3042.000      -35.71262       10.11836    
   3047.000      -36.10080       10.09726    
   3052.000      -36.51703       10.07623    
   3057.000      -36.96615       10.05527    
   3062.000      -37.45457       10.03438    
   3067.000      -37.99092       10.01356    
   3072.000      -38.58744       9.992811    
   3077.000      -39.26220       9.972133    
   3082.000      -40.04390       9.951523    
   3087.000      -40.98220       9.930984    
   3092.000      -42.17604       9.910512    
   3097.000      -43.87341       9.890110    
   3100.000      -45.45335       9.877901    
   3102.000      -47.13449       9.869775    
   3107.000      -48.32087       19.37237    
   3112.000      -44.94752       19.51834    
   3117.000      -43.59723       19.66492    
   3122.000      -42.79090       19.81206    
   3127.000      -42.24097       19.95971    
   3132.000      -41.84057       20.10778    
   3137.000      -41.53832       20.25624    
   3142.000      -41.30590       20.40500    
   3147.000      -41.12611       20.55401    
   3151.000      -41.01267       20.67335    
   3152.000      -40.98798       20.70320    
   3156.000      -40.90246       20.82264    
   3157.000      -40.88418       20.85251    
   3161.000      -40.82249       20.97200    
   3162.000      -40.80979       21.00187    
   3166.000      -40.76917       21.12135    
   3167.000      -40.76148       21.15122    
   3171.000      -40.74018       21.27065    
   3172.000      -40.73717       21.30049    
   3176.000      -40.73420       21.41980    
   3177.000      -40.73571       21.44961    
   3181.000      -40.75075       21.56875    
   3182.000      -40.75677       21.59851    
   3186.000      -40.79012       21.71744    
   3187.000      -40.80082       21.74713    
   3191.000      -40.85342       21.86578    
   3192.000      -40.86910       21.89540    
   3196.000      -40.94265       22.01372    
   3197.000      -40.96386       22.04325    
   3200.000      -41.03477       22.13173    
   3201.000      -41.06094       22.16118    
   3202.000      -41.08847       22.19061    
   3206.000      -41.21294       22.30811    
   3211.000      -41.40540       22.45441    
   3216.000      -41.64839       22.60005    
   3221.000      -41.95737       22.74492    
   3226.000      -42.35759       22.88899    
   3231.000      -42.89384       23.03217    
   3236.000      -43.65777       23.17440    
   3241.000      -44.88801       23.31560    
   3246.000      -47.71713       23.45572    
   3251.000      -47.38604       31.83349    
   3256.000      -44.48180       32.02633    
   3261.000      -43.04570       32.21738    
   3266.000      -42.04856       32.40658    
   3271.000      -41.26477       32.59384    
   3276.000      -40.60654       32.77910    
   3281.000      -40.03067       32.96227    
   3286.000      -39.51255       33.14329    
   3291.000      -39.03696       33.32207    
   3296.000      -38.59373       33.49856    
   3300.000      -38.25765       33.63804    
   3301.000      -38.17581       33.67268    
   3306.000      -37.77811       33.84435    
   3311.000      -37.39676       34.01351    
