  Element 37: Rb      Atomic mass:   85.4678

  Edge          keV         A
    K        15.1997    0.8157
    L-I       2.0651    6.0038
    L-II      1.8639    6.6519
    L-III     1.8044    6.8712

Scattering factors as a function of energy: 

   1000.000      -7.191930       5.839890    
   1100.000      -7.389704       5.146033    
   1200.000      -7.697274       4.572954    
   1300.000      -8.126775       4.093475    
   1400.000      -8.703774       3.688421    
   1500.000      -9.501592       3.342439    
   1600.000      -10.68656       3.044278    
   1700.000      -12.77499       2.785290    
   1707.000      -12.99349       2.768445    
   1712.000      -13.15950       2.756508    
   1717.000      -13.33480       2.744650    
   1722.000      -13.52044       2.732871    
   1727.000      -13.71769       2.721169    
   1732.000      -13.92804       2.709544    
   1737.000      -14.15329       2.697995    
   1742.000      -14.39568       2.686522    
   1747.000      -14.65797       2.675123    
   1752.000      -14.94368       2.663799    
   1757.000      -15.25738       2.652548    
   1762.000      -15.60512       2.641370    
   1766.000      -15.91333       2.632480    
   1767.000      -15.99525       2.630265    
   1771.000      -16.34568       2.621432    
   1772.000      -16.43964       2.619231    
   1776.000      -16.84591       2.610454    
   1777.000      -16.95613       2.608268    
   1781.000      -17.43991       2.599548    
   1782.000      -17.57336       2.597375    
   1786.000      -18.17227       2.588711    
   1787.000      -18.34174       2.586552    
   1791.000      -19.13054       2.577943    
   1792.000      -19.36372       2.575798    
   1796.000      -20.52832       2.567244    
   1797.000      -20.90541       2.565112    
   1800.000      -22.44430       2.558733    
   1801.000      -23.20407       2.556612    
   1802.000      -24.22793       2.554494    
   1806.000      -25.44689       11.73474    
   1807.000      -24.02778       11.71960    
   1811.000      -21.33142       11.65950    
   1812.000      -20.92970       11.64458    
   1816.000      -19.74828       11.58537    
   1817.000      -19.52294       11.57067    
   1821.000      -18.79307       11.51233    
   1822.000      -18.64373       11.49785    
   1826.000      -18.14287       11.44036    
   1827.000      -18.03796       11.42610    
   1831.000      -17.68419       11.36945    
   1832.000      -17.61052       11.35539    
   1836.000      -17.36827       11.29958    
   1837.000      -17.32018       11.28572    
   1841.000      -17.17648       11.23072    
   1842.000      -17.15291       11.21706    
   1846.000      -17.11232       11.16285    
   1847.000      -17.11695       11.14940    
   1851.000      -17.20914       11.09597    
   1852.000      -17.25474       11.08271    
   1856.000      -17.57479       11.03005    
   1857.000      -17.70502       11.01698    
   1861.000      -18.70396       10.96508    
   1862.000      -19.25251       10.95219    
   1866.000      -18.87826       15.42714    
   1867.000      -18.25874       15.40856    
   1871.000      -16.84710       15.33477    
   1872.000      -16.60591       15.31646    
   1876.000      -15.83202       15.24373    
   1877.000      -15.67094       15.22568    
   1881.000      -15.10815       15.15400    
   1882.000      -14.98340       15.13621    
   1886.000      -14.53091       15.06556    
   1887.000      -14.42754       15.04803    
   1891.000      -14.04484       14.97839    
   1892.000      -13.95587       14.96111    
   1896.000      -13.62235       14.89246    
   1897.000      -13.54395       14.87542    
   1900.000      -13.31915       14.82460    
   1901.000      -13.24743       14.80775    
   1902.000      -13.17721       14.79096    
   1906.000      -12.90997       14.72425    
   1911.000      -12.60304       14.64192    
   1916.000      -12.32166       14.56076    
   1921.000      -12.06215       14.48074    
   1926.000      -11.82166       14.40184    
   1931.000      -11.59795       14.32405    
   1936.000      -11.38924       14.24734    
   1941.000      -11.19405       14.17170    
   1946.000      -11.01119       14.09711    
   1951.000      -10.83967       14.02356    
   1956.000      -10.67865       13.95101    
   1961.000      -10.52747       13.87947    
   1968.000      -10.33124       13.78096    
   1973.000      -10.20150       13.71175    
   1978.000      -10.08004       13.64349    
   1983.000      -9.966635       13.57616    
   1988.000      -9.861110       13.50974    
   1993.000      -9.763399       13.44423    
   1998.000      -9.673534       13.37961    
   2000.000      -9.639815       13.35400    
   2003.000      -9.591664       13.31585    
   2008.000      -9.518077       13.25296    
   2013.000      -9.453236       13.19092    
   2018.000      -9.397856       13.12971    
   2023.000      -9.352977       13.06932    
   2028.000      -9.320143       13.00973    
   2033.000      -9.301672       12.95095    
   2038.000      -9.301170       12.89295    
   2043.000      -9.324594       12.83572    
   2048.000      -9.382680       12.77925    
   2053.000      -9.497683       12.72354    
   2058.000      -9.729075       12.66856    
   2063.000      -10.38024       12.61431    
   2068.000      -10.09275       14.48062    
   2073.000      -9.402822       14.42305    
   2078.000      -9.018011       14.36626    
   2083.000      -8.735566       14.31022    
   2088.000      -8.505292       14.25490    
   2093.000      -8.307204       14.20030    
   2098.000      -8.131226       14.14641    
   2100.000      -8.074006       14.12505    
   2103.000      -7.979918       14.09324    
   2108.000      -7.832911       14.04076    
   2113.000      -7.696112       13.98897    
   2118.000      -7.567756       13.93784    
   2123.000      -7.446568       13.88738    
   2128.000      -7.331553       13.83757    
   2133.000      -7.221956       13.78840    
   2138.000      -7.117153       13.73986    
   2143.000      -7.016655       13.69195    
   2148.000      -6.920037       13.64466    
   2153.000      -6.826958       13.59798    
   2158.000      -6.737125       13.55190    
   2163.000      -6.650274       13.50640    
   2200.000      -6.082548       13.18749    
   2300.000      -4.957455       12.46434    
   2400.000      -3.723798       11.81241    
   2500.000      -2.856547       11.12716    
   2600.000      -2.313247       10.49672    
   2700.000      -1.818937       9.925252    
   2800.000      -1.458529       9.386215    
   2900.000      -1.164839       8.890760    
   3000.000     -0.9236702       8.434196    
   3100.000     -0.7243764       8.012201    
