  Element 75: Re      Atomic mass:  186.2070

  Edge          keV         A
    K        71.6764    0.1730
    L-I      12.5267    0.9898
    L-II     11.9587    1.0368
    L-III    10.5353    1.1768
    M1        2.9317    4.2291
    M2        2.6816    4.6235
    M3        2.3673    5.2374
    M4        1.9489    6.3618
    M5        1.8829    6.5847

Scattering factors as a function of energy: 

   1000.000      -26.95243       16.30092    
   1100.000      -26.61830       14.97383    
   1200.000      -26.59635       13.81408    
   1300.000      -26.87445       12.79127    
   1400.000      -27.47879       11.88223    
   1500.000      -28.49025       11.06897    
   1600.000      -30.10677       10.33733    
   1700.000      -32.90639       9.675930    
   1785.000      -38.30305       9.162207    
   1790.000      -38.86515       9.133428    
   1795.000      -39.48252       9.104784    
   1800.000      -40.16454       9.076275    
   1805.000      -40.92278       9.047899    
   1810.000      -41.77164       9.019656    
   1815.000      -42.72935       8.991544    
   1820.000      -43.81908       8.963563    
   1825.000      -45.07099       8.935712    
   1830.000      -46.52486       8.907990    
   1835.000      -48.23422       8.880396    
   1840.000      -50.27290       8.852930    
   1845.000      -52.74575       8.825590    
   1850.000      -55.80705       8.798376    
   1851.000      -56.50875       8.792949    
   1855.000      -59.69468       8.771288    
   1856.000      -60.60168       8.765885    
   1860.000      -64.79861       8.744323    
   1861.000      -66.01811       8.738945    
   1865.000      -71.81595       8.717482    
   1866.000      -73.55206       8.712128    
   1870.000      -82.16719       8.690763    
   1871.000      -84.87823       8.685432    
   1875.000      -99.48197       8.664165    
   1876.000      -104.5758       8.658860    
   1880.000      -139.4488       8.637689    
   1881.000      -157.4249       8.632408    
   1885.000      -147.6478       149.8715    
   1886.000      -126.7356       145.9100    
   1890.000      -82.03992       131.2770    
   1891.000      -75.13559       127.9010    
   1895.000      -55.20686       115.4152    
   1896.000      -51.55347       112.5309    
   1900.000      -40.34296       101.8504    
   1901.000      -38.20616       99.37997    
   1905.000      -31.59777       90.22092    
   1906.000      -30.34867       88.09976    
   1910.000      -26.61585       80.22601    
   1911.000      -25.95671       78.40024    
   1915.000      -24.23415       71.61484    
   1916.000      -24.01036       70.03950    
   1920.000      -23.85527       64.17784    
   1921.000      -23.99321       62.81530    
   1925.000      -25.23850       57.73946    
   1926.000      -25.72760       56.55816    
   1930.000      -28.47032       52.15235    
   1931.000      -29.37603       51.12575    
   1935.000      -34.12265       47.29252    
   1936.000      -35.65837       46.39828    
   1940.000      -43.94268       43.05534    
   1941.000      -46.78484       42.27468    
   1945.000      -64.82365       39.35268    
   1946.000      -72.82496       38.66953    
   1950.000      -100.4679       130.4439    
   1951.000      -78.53909       127.3027    
   1955.000      -41.42735       115.6368    
   1956.000      -36.21432       112.9311    
   1960.000      -21.52781       102.8709    
   1961.000      -18.87443       100.5348    
   1965.000      -10.74705       91.83854    
   1966.000      -9.191138       89.81676    
   1970.000      -4.307427       82.28176    
   1971.000      -3.359029       80.52789    
   1975.000     -0.3835158       73.98380    
   1976.000      0.1851366       72.45879    
   1980.000       1.938866       66.76217    
   1981.000       2.262753       65.43310    
   1986.000       3.350577       59.30190    
   1991.000       3.757202       53.93911    
   1996.000       3.688109       49.23816    
   2000.000       3.387362       45.89241    
   2001.000       3.285452       45.10825    
   2006.000       2.649785       41.47187    
   2011.000       1.853509       38.26344    
   2016.000      0.9491417       35.42630    
   2021.000     -2.4744410E-02   32.91249    
   2026.000      -1.039988       30.68033    
   2031.000      -2.075762       28.69443    
   2036.000      -3.117027       26.92390    
   2041.000      -4.152815       25.34244    
   2046.000      -5.173426       23.92698    
   2100.000      -14.68824       15.21097    
   2200.000      -26.87276       10.90646    
   2270.000      -35.00131       10.52625    
   2275.000      -35.65609       10.54956    
   2280.000      -36.32722       10.57995    
   2285.000      -37.01630       10.61763    
   2290.000      -37.72499       10.66286    
   2295.000      -38.45523       10.71596    
   2300.000      -39.20904       10.77725    
   2305.000      -39.98884       10.84713    
   2310.000      -40.79725       10.92604    
   2315.000      -41.63751       11.01447    
   2320.000      -42.51329       11.11297    
   2325.000      -43.42930       11.22215    
   2330.000      -44.39130       11.34268    
   2335.000      -45.40720       11.47532    
   2340.000      -46.48788       11.62088    
   2345.000      -47.65016       11.78028    
   2350.000      -48.92210       11.95452    
   2355.000      -50.35936       12.14472    
   2360.000      -52.10395       12.35207    
   2365.000      -54.83669       12.57795    
   2370.000      -55.63328       17.54090    
   2375.000      -55.14349       17.78790    
   2380.000      -55.53268       18.05866    
   2385.000      -56.23154       18.35513    
   2390.000      -57.11472       18.67950    
   2395.000      -58.13541       19.03413    
   2400.000      -59.27280       19.42170    
   2405.000      -60.51700       19.84508    
   2410.000      -61.86417       20.30752    
   2415.000      -63.31361       20.81253    
   2420.000      -64.86718       21.36409    
   2425.000      -66.52805       21.96648    
   2430.000      -68.30101       22.62458    
   2435.000      -70.19170       23.34364    
   2440.000      -72.20712       24.12963    
   2445.000      -74.35538       24.98904    
   2450.000      -33.17860       25.52770    
   2455.000      -33.56570       25.60414    
   2460.000      -33.98322       25.69266    
   2465.000      -34.43216       25.79421    
   2500.000      -38.83359       26.97497    
   2584.000      -15.78683       28.43073    
   2589.000      -15.72532       28.34748    
   2594.000      -15.66707       28.26472    
   2599.000      -15.61224       28.18246    
   2600.000      -15.60170       28.16607    
   2604.000      -15.56101       28.10069    
   2609.000      -15.51362       28.01941    
