  Element 45: Rh      Atomic mass:  102.9055

  Edge          keV         A
    K        23.2199    0.5340
    L-I       3.4119    3.6339
    L-II      3.1461    3.9409
    L-III     3.0038    4.1276

Scattering factors as a function of energy: 

   1000.000      -7.101655       14.50493    
   1100.000      -6.426809       12.91092    
   1200.000      -5.982980       11.55928    
   1300.000      -5.804556       10.41600    
   1400.000      -5.674335       9.442636    
   1500.000      -5.628779       8.602312    
   1600.000      -5.650738       7.871156    
   1700.000      -5.723420       7.230370    
   1800.000      -5.841033       6.665165    
   1900.000      -5.999276       6.163774    
   2000.000      -6.238095       5.717567    
   2100.000      -6.503277       5.323274    
   2200.000      -6.785703       4.971879    
   2300.000      -7.118780       4.654998    
   2400.000      -7.515037       4.368124    
   2500.000      -7.994919       4.107481    
   2600.000      -8.605175       3.871055    
   2700.000      -9.386759       3.655046    
   2800.000      -10.49272       3.457026    
   2900.000      -12.34938       3.275002    
   2906.000      -12.51122       3.264551    
   2911.000      -12.65354       3.255880    
   2916.000      -12.80338       3.247245    
   2921.000      -12.96161       3.238645    
   2926.000      -13.12924       3.230079    
   2931.000      -13.30748       3.221548    
   2936.000      -13.49780       3.213052    
   2941.000      -13.70201       3.204590    
   2946.000      -13.92237       3.196161    
   2951.000      -14.16171       3.187767    
   2956.000      -14.42377       3.179406    
   2961.000      -14.71348       3.171079    
   2966.000      -15.03762       3.162786    
   2971.000      -15.40584       3.154525    
   2976.000      -15.83265       3.146297    
   2981.000      -16.34118       3.138103    
   2986.000      -16.97200       3.129940    
   2991.000      -17.80636       3.121810    
   2996.000      -19.05048       3.113713    
   3000.000      -20.84454       3.107258    
   3001.000      -21.60383       3.105672    
   3006.000      -22.22420       10.89013    
   3011.000      -19.29791       10.86728    
   3016.000      -18.01095       10.84445    
   3021.000      -17.18435       10.82163    
   3026.000      -16.58029       10.79882    
   3031.000      -16.10872       10.77602    
   3036.000      -15.72569       10.75324    
   3041.000      -15.40657       10.73048    
   3046.000      -15.13614       10.70772    
   3049.000      -14.99297       10.69408    
   3051.000      -14.90446       10.68499    
   3054.000      -14.78114       10.67135    
   3056.000      -14.70473       10.66226    
   3059.000      -14.59816       10.64864    
   3061.000      -14.53214       10.63956    
   3064.000      -14.44015       10.62594    
   3066.000      -14.38327       10.61687    
   3069.000      -14.30429       10.60326    
   3071.000      -14.25569       10.59419    
   3074.000      -14.18863       10.58059    
   3076.000      -14.14771       10.57153    
   3079.000      -14.09186       10.55794    
   3081.000      -14.05826       10.54889    
   3084.000      -14.01324       10.53531    
   3086.000      -13.98682       10.52626    
   3089.000      -13.95257       10.51270    
   3091.000      -13.93339       10.50365    
   3094.000      -13.91019       10.49010    
   3096.000      -13.89854       10.48106    
   3099.000      -13.88704       10.46752    
   3100.000      -13.88486       10.46301    
   3101.000      -13.88353       10.45849    
   3104.000      -13.88489       10.44496    
   3109.000      -13.90655       10.42241    
   3114.000      -13.95649       10.39989    
   3119.000      -14.04182       10.37738    
   3124.000      -14.17443       10.35489    
   3129.000      -14.37586       10.33242    
   3134.000      -14.69094       10.30997    
   3139.000      -15.23940       10.28755    
   3144.000      -16.63240       10.26514    
   3149.000      -16.13725       14.10948    
   3154.000      -14.80449       14.08020    
   3159.000      -14.10704       14.05095    
   3164.000      -13.61399       14.02170    
   3169.000      -13.22450       13.99247    
   3174.000      -12.89836       13.96325    
   3179.000      -12.61542       13.93405    
   3184.000      -12.36404       13.90486    
   3189.000      -12.13696       13.87569    
   3194.000      -11.92924       13.84653    
   3199.000      -11.73743       13.81740    
   3200.000      -11.70074       13.81157    
   3204.000      -11.55899       13.78827    
   3209.000      -11.39199       13.75917    
   3214.000      -11.23497       13.73008    
   3219.000      -11.08672       13.70101    
   3224.000      -10.94632       13.67196    
   3229.000      -10.81297       13.64293    
   3234.000      -10.68605       13.61392    
   3239.000      -10.56501       13.58493    
   3244.000      -10.44942       13.55596    
   3300.000      -9.445956       13.23296    
   3314.000      -9.265326       13.15268    
   3319.000      -9.207327       13.12405    
   3324.000      -9.152866       13.09545    
   3329.000      -9.102059       13.06688    
   3334.000      -9.055073       13.03833    
   3339.000      -9.012127       13.00981    
   3344.000      -8.973499       12.98131    
   3349.000      -8.939561       12.95285    
   3354.000      -8.910786       12.92441    
   3359.000      -8.887802       12.89600    
   3364.000      -8.871438       12.86762    
   3369.000      -8.862823       12.83926    
   3374.000      -8.863525       12.81094    
   3379.000      -8.875802       12.78264    
   3384.000      -8.903061       12.75438    
   3389.000      -8.950767       12.72614    
   3394.000      -9.028508       12.69793    
   3399.000      -9.155489       12.66976    
   3400.000      -9.190023       12.66413    
   3404.000      -9.380177       12.64161    
   3409.000      -9.910168       12.61350    
   3414.000      -10.03818       14.45937    
   3419.000      -9.246167       14.42922    
   3424.000      -8.864408       14.39910    
   3429.000      -8.595590       14.36902    
   3434.000      -8.381170       14.33899    
   3439.000      -8.199121       14.30899    
   3444.000      -8.038685       14.27904    
   3449.000      -7.893826       14.24913    
   3454.000      -7.760778       14.21925    
   3459.000      -7.637055       14.18942    
   3464.000      -7.520922       14.15963    
   3469.000      -7.411101       14.12989    
   3474.000      -7.306652       14.10018    
   3479.000      -7.206831       14.07052    
   3484.000      -7.111070       14.04090    
   3489.000      -7.018894       14.01132    
   3494.000      -6.929934       13.98179    
