  Element 86: Rn      Atomic mass:  222.0000

  Edge          keV         A
    K        98.4040    0.1260
    L-I      18.0490    0.6869
    L-II     17.3371    0.7151
    L-III    14.6194    0.8481
    M1        4.4820    2.7663
    M2        4.1590    2.9811
    M3        3.5380    3.5044
    M4        3.0215    4.1034
    M5        2.8924    4.2866
    N1        1.0970   11.3021

Scattering factors as a function of energy: 

   1000.000      -30.99310       29.33323    
   1100.000      -29.30775       27.74952    
   1200.000      -26.98144       25.81777    
   1300.000      -25.58058       24.06408    
   1400.000      -24.53788       22.47263    
   1500.000      -23.75811       21.01619    
   1600.000      -23.21356       19.68024    
   1700.000      -22.85771       18.45400    
   1800.000      -22.67084       17.32583    
   1900.000      -22.63956       16.28613    
   2000.000      -22.75804       15.32646    
   2100.000      -23.02809       14.43941    
   2200.000      -23.72363       13.63535    
   2300.000      -24.54556       12.91603    
   2400.000      -25.39740       12.26574    
   2500.000      -26.56441       11.66314    
   2600.000      -28.24471       11.10355    
   2700.000      -31.00929       10.58287    
   2795.000      -37.07132       10.12099    
   2800.000      -37.65633       10.09750    
   2805.000      -38.29551       10.07410    
   2810.000      -38.99718       10.05078    
   2815.000      -39.77158       10.02754    
   2820.000      -40.63116       10.00438    
   2825.000      -41.59152       9.981297    
   2830.000      -42.67210       9.958292    
   2835.000      -43.89795       9.935365    
   2840.000      -45.30138       9.912517    
   2845.000      -46.92552       9.889744    
   2850.000      -48.82824       9.867049    
   2855.000      -51.09177       9.844427    
   2860.000      -53.83575       9.821883    
   2865.000      -57.24145       9.799414    
   2870.000      -61.60419       9.777020    
   2875.000      -67.45172       9.754702    
   2880.000      -75.86503       9.732458    
   2885.000      -89.67271       9.710289    
   2890.000      -122.3323       9.688194    
   2895.000      -117.9630       108.6403    
   2900.000      -76.05597       94.71932    
   2905.000      -57.79975       83.22652    
   2910.000      -47.45512       73.69218    
   2915.000      -41.13262       65.74705    
   2920.000      -37.18885       59.09659    
   2924.000      -35.15835       54.54980    
   2925.000      -34.76903       53.50727    
   2929.000      -33.58907       49.67226    
   2930.000      -33.37579       48.79107    
   2934.000      -32.78917       45.54475    
   2935.000      -32.70096       44.79772    
   2939.000      -32.54218       42.04071    
   2940.000      -32.54565       41.40516    
   2944.000      -32.70596       39.05700    
   2945.000      -32.77909       38.51512    
   2949.000      -33.18669       36.51035    
   2950.000      -33.31509       36.04713    
   2954.000      -33.92361       34.33239    
   2955.000      -34.09811       33.93600    
   2959.000      -34.87963       32.46754    
   2960.000      -35.09517       32.12800    
   2964.000      -36.03587       30.87017    
   2965.000      -36.29059       30.57937    
   2969.000      -37.38906       29.50259    
   2970.000      -37.68402       29.25386    
   2974.000      -38.95029       28.33406    
   2975.000      -39.28956       28.12192    
   2979.000      -40.74682       27.33907    
   2980.000      -41.13803       27.15901    
   2984.000      -42.82553       26.49684    
   2985.000      -43.28111       26.34516    
   2989.000      -45.26191       25.79020    
   2990.000      -45.80153       25.66389    
   2994.000      -48.17579       25.20532    
   2999.000      -51.76659       24.73093    
   3000.000      -52.59295       24.64850    
   3004.000      -56.38925       24.35904    
   3009.000      -62.77651       24.08216    
   3014.000      -72.82843       23.89505    
   3019.000      -95.38316       23.79433    
   3024.000      -94.82032       91.67433    
   3029.000      -67.89321       86.62834    
   3034.000      -55.70247       82.10756    
   3039.000      -40.23029       77.79021    
   3044.000      -34.15146       73.79094    
   3049.000      -29.60163       70.11987    
   3054.000      -26.09620       66.74721    
   3059.000      -23.34615       63.64547    
   3064.000      -21.16430       60.79049    
   3069.000      -19.42116       58.15989    
   3074.000      -18.02422       55.73398    
   3079.000      -16.90318       53.49452    
   3084.000      -16.00563       51.42533    
   3089.000      -15.29039       49.51174    
   3094.000      -14.72485       47.74022    
   3099.000      -14.28295       46.09883    
   3100.000      -14.20748       45.78518    
   3104.000      -13.94355       44.57642    
   3109.000      -13.68942       43.16318    
   3114.000      -13.50635       41.84991    
   3119.000      -13.38264       40.62850    
   3200.000      -14.75236       28.97718    
   3300.000      -17.55586       23.73488    
   3400.000      -19.98619       21.44340    
   3440.000      -21.04862       20.86210    
   3445.000      -21.19436       20.79821    
   3450.000      -21.34430       20.73605    
   3455.000      -21.49897       20.67558    
   3460.000      -21.65906       20.61674    
   3465.000      -21.82530       20.55950    
   3470.000      -21.99866       20.50381    
   3475.000      -22.18024       20.44962    
   3480.000      -22.37146       20.39691    
   3485.000      -22.57408       20.34563    
   3490.000      -22.79039       20.29576    
   3495.000      -23.02341       20.24727    
   3500.000      -23.27731       20.20013    
   3505.000      -23.55798       20.15431    
   3510.000      -23.87419       20.10979    
   3515.000      -24.24000       20.06656    
   3520.000      -24.67981       20.02458    
   3525.000      -25.24233       19.98385    
   3530.000      -26.04933       19.94435    
   3535.000      -27.61312       19.90606    
   3540.000      -28.30486       24.68398    
   3545.000      -26.44298       24.63199    
   3550.000      -25.68179       24.58138    
   3555.000      -25.21660       24.53212    
   3560.000      -24.89301       24.48421    
   3565.000      -24.65321       24.43764    
   3570.000      -24.46919       24.39243    
   3575.000      -24.32522       24.34855    
   3580.000      -24.21160       24.30601    
   3585.000      -24.12189       24.26481    
   3590.000      -24.05165       24.22495    
   3595.000      -23.99767       24.18645    
   3600.000      -23.95755       24.14929    
   3605.000      -23.92947       24.11350    
   3610.000      -23.91203       24.07908    
