  Element 44: Ru      Atomic mass:  101.0700

  Edge          keV         A
    K        22.1172    0.5606
    L-I       3.2240    3.8457
    L-II      2.9669    4.1789
    L-III     2.8379    4.3689

Scattering factors as a function of energy: 

   1000.000      -6.860278       13.19118    
   1100.000      -6.318153       11.72231    
   1200.000      -6.050775       10.49038    
   1300.000      -5.884812       9.450051    
   1400.000      -5.818544       8.560656    
   1500.000      -5.829315       7.793478    
   1600.000      -5.898687       7.126300    
   1700.000      -6.018744       6.541929    
   1800.000      -6.184506       6.026824    
   1900.000      -6.432611       5.573399    
   2000.000      -6.713088       5.174308    
   2100.000      -7.020802       4.818658    
   2200.000      -7.388896       4.499420    
   2300.000      -7.834527       4.211646    
   2400.000      -8.395284       3.951811    
   2500.000      -9.106811       3.716254    
   2600.000      -10.08528       3.501659    
   2700.000      -11.61366       3.305546    
   2740.000      -12.56586       3.231792    
   2745.000      -12.71059       3.222751    
   2750.000      -12.86303       3.213748    
   2755.000      -13.02403       3.204784    
   2760.000      -13.19463       3.195858    
   2765.000      -13.37608       3.186970    
   2770.000      -13.56985       3.178120    
   2775.000      -13.77782       3.169307    
   2780.000      -14.00224       3.160533    
   2785.000      -14.24607       3.151795    
   2790.000      -14.51304       3.143094    
   2795.000      -14.80821       3.134430    
   2800.000      -15.13844       3.125802    
   2805.000      -15.51358       3.117211    
   2810.000      -15.94830       3.108656    
   2815.000      -16.46607       3.100137    
   2820.000      -17.10781       3.091654    
   2825.000      -17.95547       3.083205    
   2830.000      -19.21526       3.074793    
   2835.000      -21.77073       3.066415    
   2840.000      -22.61156       11.03152    
   2845.000      -19.53292       11.00508    
   2850.000      -18.20118       10.97854    
   2855.000      -17.34975       10.95188    
   2860.000      -16.72957       10.92511    
   2865.000      -16.24689       10.89824    
   2869.000      -15.92845       10.87667    
   2870.000      -15.85630       10.87127    
   2874.000      -15.59263       10.84962    
   2875.000      -15.53233       10.84420    
   2879.000      -15.31047       10.82247    
   2880.000      -15.25942       10.81703    
   2884.000      -15.07095       10.79522    
   2885.000      -15.02748       10.78976    
   2889.000      -14.86672       10.76788    
   2890.000      -14.82962       10.76240    
   2894.000      -14.69267       10.74044    
   2895.000      -14.66115       10.73494    
   2899.000      -14.54533       10.71292    
   2900.000      -14.51884       10.70740    
   2904.000      -14.42237       10.68530    
   2905.000      -14.40057       10.67976    
   2909.000      -14.32239       10.65759    
   2910.000      -14.30508       10.65204    
   2914.000      -14.24481       10.62980    
   2915.000      -14.23199       10.62424    
   2919.000      -14.18987       10.60193    
   2920.000      -14.18168       10.59635    
   2924.000      -14.15871       10.57398    
   2925.000      -14.15551       10.56838    
   2929.000      -14.15362       10.54594    
   2930.000      -14.15604       10.54033    
   2934.000      -14.17853       10.51783    
   2935.000      -14.18762       10.51220    
   2939.000      -14.23992       10.48964    
   2944.000      -14.34875       10.46138    
   2949.000      -14.52476       10.43305    
   2954.000      -14.80815       10.40464    
   2959.000      -15.30098       10.37617    
   2964.000      -16.44201       10.34763    
   2969.000      -16.72595       14.27299    
   2974.000      -15.10133       14.29263    
   2979.000      -14.32142       14.30839    
   2984.000      -13.76940       14.32013    
   2989.000      -13.32519       14.32776    
   2994.000      -12.94405       14.33118    
   2999.000      -12.60441       14.33032    
   3000.000      -12.54032       14.32963    
   3004.000      -12.29624       14.32563    
   3009.000      -12.01081       14.31683    
   3014.000      -11.74294       14.30379    
   3019.000      -11.48937       14.28647    
   3024.000      -11.24786       14.26486    
   3029.000      -11.01676       14.23896    
   3034.000      -10.79488       14.20879    
   3039.000      -10.58132       14.17438    
   3044.000      -10.37541       14.13577    
   3049.000      -10.17665       14.09301    
   3054.000      -9.984664       14.04617    
   3059.000      -9.799166       13.99533    
   3064.000      -9.619967       13.94059    
   3100.000      -8.507746       13.44173    
   3127.000      -9.058349       13.10123    
   3132.000      -8.998871       13.05825    
   3137.000      -8.943528       13.01563    
   3142.000      -8.892420       12.97338    
   3147.000      -8.845683       12.93148    
   3152.000      -8.803521       12.88993    
   3157.000      -8.766200       12.84873    
   3162.000      -8.734083       12.80788    
   3167.000      -8.707646       12.76736    
   3172.000      -8.687530       12.72719    
   3177.000      -8.674590       12.68734    
   3182.000      -8.670007       12.64783    
   3187.000      -8.675434       12.60863    
   3192.000      -8.693287       12.56977    
   3197.000      -8.727251       12.53121    
   3200.000      -8.757709       12.50823    
   3202.000      -8.783329       12.49298    
   3207.000      -8.872282       12.45505    
   3212.000      -9.016373       12.41744    
   3217.000      -9.275349       12.38012    
   3222.000      -9.961427       12.34311    
   3227.000      -9.659089       14.18606    
   3232.000      -9.011804       14.14733    
   3237.000      -8.662724       14.10891    
   3242.000      -8.410850       14.07079    
   3247.000      -8.208317       14.03296    
   3252.000      -8.035934       13.99543    
   3257.000      -7.884077       13.95819    
   3262.000      -7.747181       13.92123    
   3267.000      -7.621769       13.88456    
   3272.000      -7.505484       13.84817    
   3277.000      -7.396684       13.81205    
   3282.000      -7.294147       13.77622    
   3287.000      -7.196967       13.74066    
   3292.000      -7.104424       13.70536    
   3297.000      -7.015962       13.67034    
   3300.000      -6.964648       13.64945    
   3302.000      -6.931119       13.63558    
   3307.000      -6.849530       13.60108    
   3312.000      -6.770875       13.56684    
   3317.000      -6.694899       13.53287    
   3322.000      -6.621373       13.49914    
