  Element 51: Sb      Atomic mass:  121.7500

  Edge          keV         A
    K        30.4912    0.4066
    L-I       4.6983    2.6389
    L-II      4.3804    2.8304
    L-III     4.1322    3.0004

Scattering factors as a function of energy: 

   1000.000      -11.80711       24.04015    
   1100.000      -9.505189       21.63727    
   1200.000      -7.983030       19.55356    
   1300.000      -6.937045       17.73706    
   1400.000      -6.199494       16.15649    
   1500.000      -5.661477       14.77380    
   1600.000      -5.315005       13.55524    
   1700.000      -5.055348       12.48680    
   1800.000      -4.883482       11.53821    
   1900.000      -4.797727       10.69303    
   2000.000      -4.748501       9.936948    
   2100.000      -4.742525       9.257375    
   2200.000      -4.890482       8.655450    
   2300.000      -4.945248       8.113972    
   2400.000      -5.024939       7.621761    
   2500.000      -5.127174       7.172884    
   2600.000      -5.250607       6.762289    
   2700.000      -5.394918       6.385658    
   2800.000      -5.561098       6.039280    
   2900.000      -5.757222       5.720049    
   3000.000      -5.994437       5.425198    
   3100.000      -6.222447       5.161564    
   3200.000      -6.477096       4.917472    
   3300.000      -6.765496       4.691054    
   3400.000      -7.091969       4.480657    
   3500.000      -7.468798       4.284714    
   3600.000      -7.912734       4.101889    
   3700.000      -8.450916       3.930999    
   3800.000      -9.132996       3.771023    
   3900.000      -10.05588       3.621086    
   4000.000      -11.49109       3.480281    
   4035.000      -12.26530       3.433017    
   4040.000      -12.39764       3.426346    
   4045.000      -12.53718       3.419696    
   4050.000      -12.68478       3.413067    
   4055.000      -12.84142       3.406457    
   4060.000      -13.00835       3.399868    
   4065.000      -13.18703       3.393298    
   4070.000      -13.37927       3.386748    
   4075.000      -13.58734       3.380218    
   4080.000      -13.81419       3.373708    
   4085.000      -14.06357       3.367217    
   4090.000      -14.34055       3.360745    
   4095.000      -14.65212       3.354294    
   4100.000      -15.00836       3.347861    
   4105.000      -15.42443       3.341448    
   4110.000      -15.92482       3.335053    
   4115.000      -16.55297       3.328679    
   4120.000      -17.39820       3.322323    
   4125.000      -18.69591       3.315986    
   4130.000      -21.61562       3.309667    
   4135.000      -21.02710       11.06989    
   4140.000      -18.47883       11.03836    
   4145.000      -17.24737       11.00703    
   4150.000      -16.42999       10.97591    
   4155.000      -15.81923       10.94498    
   4160.000      -15.33313       10.91426    
   4165.000      -14.93064       10.88373    
   4170.000      -14.58841       10.85339    
   4175.000      -14.29177       10.82325    
   4180.000      -14.03097       10.79331    
   4185.000      -13.79909       10.76355    
   4190.000      -13.59117       10.73398    
   4195.000      -13.40348       10.70459    
   4200.000      -13.23316       10.67540    
   4205.000      -13.07793       10.64639    
   4210.000      -12.93603       10.61755    
   4215.000      -12.80599       10.58891    
   4220.000      -12.68668       10.56044    
   4225.000      -12.57708       10.53215    
   4230.000      -12.47643       10.50404    
   4283.000      -11.84502       10.21658    
   4288.000      -11.82186       10.19042    
   4293.000      -11.80506       10.16443    
   4298.000      -11.79486       10.13859    
   4300.000      -11.79271       10.12830    
   4303.000      -11.79162       10.11291    
   4308.000      -11.79578       10.08739    
   4313.000      -11.80796       10.06202    
   4318.000      -11.82891       10.03681    
   4323.000      -11.85965       10.01175    
   4328.000      -11.90151       9.986842    
   4333.000      -11.95625       9.962086    
   4338.000      -12.02622       9.937481    
   4343.000      -12.11484       9.913022    
   4348.000      -12.22689       9.888711    
   4353.000      -12.36969       9.864546    
   4358.000      -12.55505       9.840529    
   4363.000      -12.80395       9.816654    
   4368.000      -13.15910       9.792922    
   4373.000      -13.73182       9.769332    
   4378.000      -15.04990       9.745885    
   4383.000      -14.90222       13.57064    
   4388.000      -13.52772       13.53626    
   4393.000      -12.85290       13.50208    
   4398.000      -12.39108       13.46813    
   4400.000      -12.23893       13.45460    
   4403.000      -12.03474       13.43438    
   4408.000      -11.74198       13.40083    
   4413.000      -11.49199       13.36750    
   4418.000      -11.27291       13.33437    
   4423.000      -11.07733       13.30145    
   4428.000      -10.90027       13.26872    
   4433.000      -10.73827       13.23620    
   4438.000      -10.58879       13.20388    
   4443.000      -10.44995       13.17176    
   4448.000      -10.32025       13.13983    
   4453.000      -10.19854       13.10810    
   4458.000      -10.08389       13.07656    
   4463.000      -9.975549       13.04522    
   4468.000      -9.872877       13.01406    
   4473.000      -9.775362       12.98309    
   4478.000      -9.682563       12.95232    
   4500.000      -9.321861       12.81909    
   4600.000      -8.350879       12.25607    
   4601.000      -8.345910       12.25077    
   4606.000      -8.322629       12.22437    
   4611.000      -8.302059       12.19813    
   4616.000      -8.284369       12.17204    
   4621.000      -8.269765       12.14611    
   4626.000      -8.258502       12.12033    
   4631.000      -8.250902       12.09470    
   4636.000      -8.247368       12.06922    
   4641.000      -8.248412       12.04389    
   4646.000      -8.254697       12.01871    
   4651.000      -8.267096       11.99367    
   4656.000      -8.286781       11.96878    
   4661.000      -8.315382       11.94404    
   4666.000      -8.355250       11.91944    
   4671.000      -8.409937       11.89498    
   4676.000      -8.485182       11.87067    
   4681.000      -8.591166       11.84650    
   4686.000      -8.748684       11.82247    
   4691.000      -9.012354       11.79857    
   4696.000      -9.646976       11.77482    
   4700.000      -9.793721       13.59795    
   4701.000      -9.514109       13.59295    
   4706.000      -8.859342       13.56806    
   4711.000      -8.526525       13.54332    
   4716.000      -8.293218       13.51871    
   4721.000      -8.109350       13.49423    
   4726.000      -7.955288       13.46990    
