  Element 21: Sc      Atomic mass:   44.9559

  Edge          keV         A
    K         4.4928    2.7596

Scattering factors as a function of energy: 

   1000.000     -0.4411558       5.388802    
   1100.000     -0.3083948       4.665937    
   1200.000     -0.2475782       4.080729    
   1300.000     -0.2307526       3.599941    
   1400.000     -0.2413787       3.199874    
   1500.000     -0.2693366       2.863248    
   1600.000     -0.3082824       2.577204    
   1700.000     -0.3665871       2.333758    
   1800.000     -0.4165620       2.123830    
   1900.000     -0.4689413       1.941231    
   2000.000     -0.5227498       1.781349    
   2100.000     -0.5855800       1.641592    
   2200.000     -0.6407905       1.517919    
   2300.000     -0.6962765       1.407910    
   2400.000     -0.7520561       1.309596    
   2500.000     -0.8082454       1.221357    
   2600.000     -0.8650396       1.141844    
   2700.000     -0.9227026       1.069929    
   2800.000     -0.9815634       1.004663    
   2900.000      -1.042021      0.9452407    
   3000.000      -1.104552      0.8909779    
   3100.000      -1.169806      0.8417146    
   3200.000      -1.238344      0.7965026    
   3300.000      -1.311029      0.7549031    
   3400.000      -1.388939      0.7165356    
   3500.000      -1.473455      0.6810688    
   3600.000      -1.566391      0.6482134    
   3700.000      -1.670215      0.6177155    
   3800.000      -1.788404      0.5893518    
   3900.000      -1.926102      0.5629247    
   4000.000      -2.091390      0.5382596    
   4100.000      -2.298044      0.5152012    
   4200.000      -2.572488      0.4936109    
   4300.000      -2.976047      0.4733650    
   4395.000      -3.662092      0.4552757    
   4400.000      -3.716537      0.4543529    
   4405.000      -3.774195      0.4534328    
   4410.000      -3.835443      0.4525156    
   4415.000      -3.900750      0.4516012    
   4420.000      -3.970656      0.4506895    
   4425.000      -4.045828      0.4497807    
   4430.000      -4.127075      0.4488747    
   4435.000      -4.215437      0.4479713    
   4440.000      -4.312212      0.4470708    
   4445.000      -4.419092      0.4461730    
   4450.000      -4.538327      0.4452779    
   4455.000      -4.673048      0.4443856    
   4460.000      -4.827684      0.4434959    
   4465.000      -5.008895      0.4426089    
   4470.000      -5.227315      0.4417247    
   4475.000      -5.501655      0.4408431    
   4480.000      -5.869371      0.4399641    
   4485.000      -6.425488      0.4390879    
   4490.000      -7.584563      0.4382143    
   4495.000      -7.855746       4.030246    
   4500.000      -6.486320       4.021785    
   4505.000      -5.872309       4.013361    
   4510.000      -5.469852       4.004973    
   4515.000      -5.169240       3.996622    
   4520.000      -4.928773       3.988307    
   4525.000      -4.728136       3.980028    
   4530.000      -4.555845       3.971784    
   4535.000      -4.404791       3.963577    
   4540.000      -4.270219       3.955404    
   4545.000      -4.148847       3.947266    
   4550.000      -4.038280       3.939163    
   4555.000      -3.936738       3.931096    
   4560.000      -3.842821       3.923063    
   4565.000      -3.755460       3.915063    
   4570.000      -3.673788       3.907098    
   4575.000      -3.597110       3.899168    
   4580.000      -3.524832       3.891270    
   4585.000      -3.456478       3.883406    
   4590.000      -3.391643       3.875576    
   4600.000      -3.271200       3.860015    
   4700.000      -2.455686       3.711390    
   4800.000      -1.970302       3.574543    
   4900.000      -1.629534       3.448282    
   5000.000      -1.371155       3.331563    
   5100.000      -1.166146       3.223468    
   5200.000     -0.9984443       3.123189    
   5300.000     -0.8581572       3.030011    
   5400.000     -0.7387304       2.943301    
   5500.000     -0.6355819       2.862494    
   5600.000     -0.5453770       2.787090    
   5700.000     -0.4656088       2.716637    
   5800.000     -0.3943399       2.650733    
   5900.000     -0.2641746       2.582338    
   6000.000     -0.2025860       2.512516    
   6100.000     -0.1472687       2.445473    
   6200.000     -9.7434171E-02   2.381062    
   6300.000     -5.2423436E-02   2.319145    
   6400.000     -1.1680476E-02   2.259594    
   6500.000      2.5269106E-02   2.202289    
   6600.000      5.8832426E-02   2.147116    
   6700.000      8.9361392E-02   2.093971    
   6800.000      0.1171622       2.042753    
   6900.000      0.1425020       1.993370    
   7000.000      0.1656162       1.945735    
   7100.000      0.1867122       1.899765    
   7200.000      0.2059738       1.855384    
   7300.000      0.2235644       1.812517    
   7400.000      0.2396298       1.771097    
   7500.000      0.2543005       1.731059    
   7600.000      0.2673613       1.692344    
   7700.000      0.2793846       1.654898    
   7800.000      0.2905375       1.618661    
   7900.000      0.3006985       1.583580    
   8000.000      0.3099451       1.549606    
   8100.000      0.3183472       1.516693    
   8200.000      0.3259679       1.484797    
   8300.000      0.3328637       1.453876    
   8400.000      0.3390849       1.423890    
   8500.000      0.3446746       1.394803    
   8600.000      0.3496672       1.366579    
   8700.000      0.3540809       1.339183    
   8800.000      0.3578898       1.312584    
   8900.000      0.3608067       1.286751    
   9000.000      0.3639498       1.261742    
   9100.000      0.3667098       1.237451    
   9200.000      0.3691145       1.213850    
   9300.000      0.3711892       1.190913    
   9400.000      0.3728839       1.168616    
   9500.000      0.3743347       1.146935    
   9600.000      0.3755389       1.125847    
   9700.000      0.3764984       1.105332    
   9800.000      0.3772302       1.085367    
   9900.000      0.3777503       1.065934    
   10000.00      0.3780736       1.047013    
   10100.00      0.3782138       1.028586    
   10200.00      0.3781837       1.010638    
   10300.00      0.3779954      0.9931496    
   10400.00      0.3776598      0.9761070    
   10500.00      0.3771874      0.9594943    
   10600.00      0.3765877      0.9432973    
   10700.00      0.3758698      0.9275024    
   10800.00      0.3750420      0.9120959    
   10900.00      0.3741121      0.8970655    
   11000.00      0.3730875      0.8823988    
   11100.00      0.3719749      0.8680840    
