  Element 34: Se      Atomic mass:   78.9600

  Edge          keV         A
    K        12.6578    0.9795
    L-I       1.6539    7.4965
    L-II      1.4762    8.3989
    L-III     1.4358    8.6352

Scattering factors as a function of energy: 

   1000.000      -8.607587       3.997403    
   1100.000      -9.287859       3.517751    
   1200.000      -10.31635       3.124169    
   1300.000      -12.10092       2.796254    
   1338.000      -13.28116       2.685705    
   1343.000      -13.48082       2.671672    
   1348.000      -13.69537       2.657754    
   1353.000      -13.92708       2.643950    
   1358.000      -14.17870       2.630258    
   1363.000      -14.45364       2.616676    
   1368.000      -14.75623       2.603205    
   1373.000      -15.09194       2.589842    
   1378.000      -15.46790       2.576586    
   1379.000      -15.54869       2.573948    
   1383.000      -15.89350       2.563437    
   1384.000      -15.98562       2.560819    
   1388.000      -16.38143       2.550392    
   1389.000      -16.48793       2.547795    
   1393.000      -16.94920       2.537451    
   1394.000      -17.07437       2.534874    
   1398.000      -17.62182       2.524612    
   1399.000      -17.77190       2.522056    
   1400.000      -17.92794       2.519505    
   1403.000      -18.43624       2.511875    
   1404.000      -18.62070       2.509339    
   1408.000      -19.44982       2.499238    
   1409.000      -19.68380       2.496722    
   1413.000      -20.75721       2.486700    
   1414.000      -21.06686       2.484204    
   1418.000      -22.52894       2.474260    
   1419.000      -22.96437       2.471784    
   1423.000      -25.11563       2.461917    
   1424.000      -25.79060       2.459460    
   1428.000      -29.42310       2.449671    
   1429.000      -30.69157       2.447232    
   1433.000      -39.45566       2.437519    
   1434.000      -44.06836       2.435100    
   1438.000      -40.27527       36.67175    
   1439.000      -35.52129       35.85484    
   1443.000      -25.25735       32.81315    
   1444.000      -23.66784       32.10558    
   1448.000      -19.09896       29.46757    
   1449.000      -18.27035       28.85309    
   1453.000      -15.78679       26.55917    
   1454.000      -15.33431       26.02413    
   1458.000      -14.05723       24.02426    
   1459.000      -13.85842       23.55720    
   1463.000      -13.52047       21.80920    
   1464.000      -13.55551       21.40051    
   1468.000      -14.29500       19.86888    
   1469.000      -14.67803       19.51033    
   1473.000      -17.87801       18.16499    
   1474.000      -19.62782       17.84966    
   1478.000      -19.56322       33.59214    
   1479.000      -16.73189       32.92500    
   1483.000      -10.84654       30.42723    
   1484.000      -9.933128       29.84310    
   1488.000      -7.253278       27.65348    
   1489.000      -6.751348       27.14078    
   1493.000      -5.174428       25.21665    
   1494.000      -4.864782       24.76557    
   1498.000      -3.872366       23.07075    
   1499.000      -3.675332       22.67296    
   1500.000      -3.495345       22.28489    
   1503.000      -3.044989       21.17665    
   1504.000      -2.921086       20.82504    
   1508.000      -2.533345       19.50100    
   1509.000      -2.459693       19.18952    
   1513.000      -2.241368       18.01531    
   1514.000      -2.203493       17.73875    
   1518.000      -2.107159       16.69520    
   1519.000      -2.095246       16.44914    
   1523.000      -2.088105       15.51973    
   1524.000      -2.095296       15.30035    
   1528.000      -2.154073       14.47090    
   1529.000      -2.175435       14.27491    
   1533.000      -2.283216       13.53319    
   1534.000      -2.315128       13.35777    
   1539.000      -2.499189       12.53591    
   1544.000      -2.716264       11.79806    
   1549.000      -2.957443       11.13447    
   1554.000      -3.217309       10.53664    
   1556.000      -3.325028       10.31423    
   1559.000      -3.489973       9.997177    
   1561.000      -3.601857       9.796264    
   1564.000      -3.772096       9.509634    
   1566.000      -3.886956       9.327869    
   1569.000      -4.060957       9.068377    
   1571.000      -4.177922       8.903708    
   1574.000      -4.354575       8.668472    
   1576.000      -4.473023       8.519104    
   1581.000      -4.771073       8.169949    
   1586.000      -5.071338       7.852637    
   1591.000      -5.373468       7.563993    
   1596.000      -5.677459       7.301220    
   1600.000      -5.922210       7.107956    
   1601.000      -5.983646       7.061850    
   1606.000      -6.292718       6.843699    
   1611.000      -6.605778       6.644843    
   1616.000      -6.924477       6.463566    
   1621.000      -7.251215       6.298368    
   1626.000      -7.589640       6.147903    
   1631.000      -7.945537       6.010984    
   1636.000      -8.328918       5.886558    
   1641.000      -8.759643       5.773692    
   1646.000      -9.287421       5.671560    
   1651.000      -10.12447       5.579432    
   1656.000      -10.54661       7.410464    
   1661.000      -10.02905       7.331000    
   1666.000      -9.930598       7.259910    
   1671.000      -9.947311       7.196757    
   1676.000      -10.01961       7.141166    
   1681.000      -10.12524       7.092814    
   1686.000      -10.25357       7.051428    
   1691.000      -10.39876       7.016779    
   1696.000      -10.55733       6.988683    
   1700.000      -10.69235       6.970825    
   1701.000      -10.72713       6.966995    
   1706.000      -10.90676       6.951608    
   1711.000      -11.09535       6.942452    
   1716.000      -11.29233       6.939495    
   1721.000      -11.49739       6.942735    
   1726.000      -11.71040       6.952209    
   1731.000      -11.93133       6.967986    
   1736.000      -12.16029       6.990170    
   1741.000      -12.39745       7.018898    
   1746.000      -12.64306       7.054344    
   1751.000      -12.89744       7.096718    
   1800.000      -15.95655       7.950431    
   1900.000      -9.887308       11.71486    
   2000.000      -3.048110       11.41847    
   2100.000      -2.365687       10.62943    
   2200.000      -1.785446       9.921059    
   2300.000      -1.372942       9.273848    
   2400.000      -1.049832       8.689712    
   2500.000     -0.7946336       8.160489    
   2600.000     -0.5921067       7.679322    
   2700.000     -0.4311810       7.240413    
   2800.000     -0.3037920       6.838830    
   2900.000     -0.1879250       6.469453    
   3000.000     -0.1122350       6.126599    
   3100.000     -4.9625028E-02   5.811957    
