  Element 14: Si      Atomic mass:   28.0855

  Edge          keV         A
    K         1.8389    6.7423

Scattering factors as a function of energy: 

   1000.000      -1.159144      0.9795402    
   1100.000      -1.279749      0.8391941    
   1200.000      -1.412147      0.7275814    
   1300.000      -1.563150      0.6372429    
   1400.000      -1.743897      0.5630152    
   1500.000      -1.974347      0.5012268    
   1600.000      -2.296294      0.4492060    
   1700.000      -2.824439      0.4049686    
   1741.000      -3.183199      0.3887196    
   1746.000      -3.238067      0.3868059    
   1751.000      -3.296263      0.3849063    
   1756.000      -3.358186      0.3830208    
   1761.000      -3.424309      0.3811493    
   1766.000      -3.495201      0.3792916    
   1771.000      -3.571553      0.3774475    
   1776.000      -3.654215      0.3756170    
   1781.000      -3.744248      0.3737999    
   1786.000      -3.843007      0.3719961    
   1791.000      -3.952247      0.3702054    
   1796.000      -4.074312      0.3684277    
   1800.000      -4.183317      0.3670148    
   1801.000      -4.212418      0.3666628    
   1806.000      -4.371161      0.3649108    
   1811.000      -4.557423      0.3631713    
   1816.000      -4.782206      0.3614444    
   1821.000      -5.064743      0.3597298    
   1826.000      -5.443529      0.3580275    
   1831.000      -6.015597      0.3563374    
   1836.000      -7.196784      0.3546593    
   1841.000      -7.566669       4.107737    
   1846.000      -6.094049       4.099518    
   1851.000      -5.442249       4.091171    
   1856.000      -5.015176       4.082699    
   1861.000      -4.695544       4.074104    
   1866.000      -4.440960       4.065392    
   1871.000      -4.226328       4.056562    
   1876.000      -4.041349       4.047616    
   1881.000      -3.878540       4.038553    
   1886.000      -3.732941       4.029377    
   1891.000      -3.601098       4.020088    
   1896.000      -3.480507       4.010690    
   1900.000      -3.390862       4.003093    
   1901.000      -3.369295       4.001183    
   1906.000      -3.266026       3.991570    
   1911.000      -3.169573       3.981852    
   1916.000      -3.079035       3.972032    
   1921.000      -2.993682       3.962111    
   1926.000      -2.912913       3.952090    
   1931.000      -2.836224       3.941973    
   1936.000      -2.763202       3.931760    
   2000.000      -2.043206       3.793387    
   2100.000      -1.324596       3.554941    
   2200.000     -0.8399754       3.299916    
   2300.000     -0.4931771       3.038321    
   2400.000     -0.4120762       2.784712    
   2500.000     -0.2494500       2.607946    
   2600.000     -0.1225061       2.448381    
   2700.000     -2.1708747E-02   2.303792    
   2800.000      5.7711814E-02   2.172316    
   2900.000      0.1238331       2.052446    
   3000.000      0.1783595       1.942747    
   3100.000      0.2226369       1.840041    
   3200.000      0.2588204       1.745167    
   3300.000      0.2883761       1.657344    
   3400.000      0.3124629       1.575884    
   3500.000      0.3320079       1.500185    
   3600.000      0.3477601       1.429713    
   3700.000      0.3587739       1.364046    
   3800.000      0.3685383       1.302914    
   3900.000      0.3760767       1.245765    
   4000.000      0.3817334       1.192258    
   4100.000      0.3857957       1.142089    
   4200.000      0.3885047       1.094983    
   4300.000      0.3900633       1.050696    
   4400.000      0.3906433       1.009004    
   4500.000      0.3903904      0.9697098    
   4600.000      0.3894287      0.9326306    
   4700.000      0.3878643      0.8976030    
   4800.000      0.3857881      0.8644778    
   4900.000      0.3832780      0.8331195    
   5000.000      0.3804014      0.8034045    
   5100.000      0.3772160      0.7752196    
   5200.000      0.3736726      0.7484620    
   5300.000      0.3700128      0.7230371    
   5400.000      0.3661751      0.6988574    
   5500.000      0.3621920      0.6758429    
   5600.000      0.3580917      0.6539198    
   5700.000      0.3538987      0.6330205    
   5800.000      0.3496343      0.6130821    
   5900.000      0.3453169      0.5940469    
   6000.000      0.3409625      0.5758613    
   6100.000      0.3365852      0.5584755    
   6200.000      0.3321970      0.5418436    
   6300.000      0.3278083      0.5259225    
   6400.000      0.3234283      0.5106729    
   6500.000      0.3190649      0.4960573    
   6600.000      0.3147247      0.4820414    
   6700.000      0.3104137      0.4685931    
   6800.000      0.3061368      0.4556821    
   6900.000      0.3018983      0.4432804    
   7000.000      0.2977018      0.4313619    
   7100.000      0.2935504      0.4199018    
   7200.000      0.2894466      0.4088771    
   7300.000      0.2853926      0.3982661    
   7400.000      0.2813901      0.3880486    
   7500.000      0.2774406      0.3782057    
   7600.000      0.2735451      0.3687191    
   7700.000      0.2697045      0.3595722    
   7800.000      0.2659195      0.3507491    
   7900.000      0.2621907      0.3422347    
   8000.000      0.2561471      0.3340432    
   8100.000      0.2525428      0.3261929    
   8200.000      0.2489963      0.3186090    
   8300.000      0.2455082      0.3112795    
   8400.000      0.2420780      0.3041933    
   8500.000      0.2387053      0.2973396    
   8600.000      0.2353895      0.2907086    
   8700.000      0.2321299      0.2842907    
   8800.000      0.2289258      0.2780770    
   8900.000      0.2257764      0.2720590    
   9000.000      0.2226551      0.2662452    
   9100.000      0.2195887      0.2606121    
   9200.000      0.2165764      0.2551525    
   9300.000      0.2136173      0.2498592    
   9400.000      0.2107105      0.2447257    
   9500.000      0.2078550      0.2397455    
   9600.000      0.2050501      0.2349127    
   9700.000      0.2022946      0.2302215    
   9800.000      0.1995878      0.2256664    
   9900.000      0.1969287      0.2212423    
   10000.00      0.1943163      0.2169442    
   10100.00      0.1917498      0.2127673    
   10200.00      0.1892283      0.2087073    
   10300.00      0.1867508      0.2047597    
   10400.00      0.1843165      0.2009206    
   10500.00      0.1819246      0.1971859    
   10600.00      0.1795741      0.1935520    
   10700.00      0.1772643      0.1900152    
   10800.00      0.1749943      0.1865722    
