  Element 62: Sm      Atomic mass:  150.3600

  Edge          keV         A
    K        46.8342    0.2647
    L-I       7.7368    1.6025
    L-II      7.3118    1.6957
    L-III     6.7162    1.8460
    M1        1.7228    7.1967
    M2        1.5407    8.0473
    M3        1.4198    8.7325
    M4        1.1060   11.2101
    M5        1.0802   11.4779

Scattering factors as a function of energy: 

   1000.000      -40.04320       7.194139    
   1100.000      -51.96742       84.95920    
   1200.000      -15.44530       12.69807    
   1300.000      -38.52256       8.756061    
   1322.000      -44.39940       9.210564    
   1327.000      -45.93294       9.383953    
   1332.000      -47.56161       9.589790    
   1337.000      -49.29790       9.832320    
   1342.000      -51.15585       10.11663    
   1347.000      -53.15139       10.44879    
   1352.000      -55.30261       10.83606    
   1357.000      -57.63018       11.28714    
   1362.000      -60.15786       11.81239    
   1367.000      -62.91301       12.42425    
   1372.000      -65.92738       13.13763    
   1377.000      -69.23795       13.97046    
   1382.000      -72.88815       14.94434    
   1387.000      -76.93377       16.08539    
   1392.000      -81.42789       17.42512    
   1397.000      -86.45046       19.00183    
   1400.000      -89.75658       20.08060    
   1402.000      -92.09802       20.86211    
   1407.000      -43.88991       21.98717    
   1412.000      -46.08344       22.36760    
   1417.000      -49.19318       22.82829    
   1422.000      -51.39196       27.81043    
   1427.000      -51.80728       28.44300    
   1432.000      -53.42739       29.21206    
   1437.000      -55.62091       30.14437    
   1442.000      -20.63629       30.16492    
   1443.000      -20.55077       30.13085    
   1447.000      -20.23587       29.99544    
   1448.000      -20.16305       29.96181    
   1452.000      -19.89113       29.82814    
   1453.000      -19.82747       29.79494    
   1457.000      -19.58763       29.66298    
   1458.000      -19.53104       29.63020    
   1462.000      -19.31649       29.49992    
   1463.000      -19.26559       29.46755    
   1467.000      -19.07187       29.33891    
   1468.000      -19.02575       29.30696    
   1472.000      -18.84979       29.17994    
   1473.000      -18.80782       29.14838    
   1477.000      -18.64750       29.02295    
   1478.000      -18.60924       28.99178    
   1482.000      -18.46312       28.86791    
   1483.000      -18.42828       28.83714    
   1487.000      -18.29543       28.71480    
   1488.000      -18.26382       28.68440    
   1492.000      -18.14379       28.56357    
   1493.000      -18.11536       28.53355    
   1497.000      -18.00806       28.41420    
   1498.000      -17.98286       28.38454    
   1500.000      -17.93446       28.32545    
   1502.000      -17.88878       28.26665    
   1503.000      -17.86700       28.23736    
   1507.000      -17.78726       28.12090    
   1508.000      -17.76928       28.09196    
   1512.000      -17.70597       27.97692    
   1513.000      -17.69247       27.94833    
   1517.000      -17.64933       27.83467    
   1518.000      -17.64157       27.80642    
   1523.000      -17.62585       27.66622    
   1528.000      -17.66462       27.52770    
   1533.000      -17.80803       27.39083    
   1538.000      -18.28111       27.25558    
   1543.000      -18.22713       28.99398    
   1548.000      -17.39218       28.84471    
   1553.000      -16.94531       28.69753    
   1558.000      -16.61345       28.55241    
   1563.000      -16.33972       28.40932    
   1568.000      -16.10222       28.26823    
   1573.000      -15.89007       28.12908    
   1578.000      -15.69702       27.99186    
   1583.000      -15.51916       27.85652    
   1588.000      -15.35384       27.72304    
   1593.000      -15.19918       27.59139    
   1598.000      -15.05379       27.46154    
   1600.000      -14.99799       27.41009    
   1603.000      -14.91664       27.33345    
   1608.000      -14.78690       27.20710    
   1613.000      -14.66393       27.08246    
   1618.000      -14.54724       26.95951    
   1623.000      -14.43641       26.83822    
   1625.000      -14.39364       26.79016    
   1628.000      -14.33111       26.71856    
   1630.000      -14.29048       26.67115    
   1633.000      -14.23110       26.60052    
   1635.000      -14.19254       26.55375    
   1638.000      -14.13620       26.48406    
   1640.000      -14.09963       26.43792    
   1645.000      -14.01167       26.32364    
   1650.000      -13.92860       26.21091    
   1655.000      -13.85044       26.09968    
   1660.000      -13.77727       25.98995    
   1665.000      -13.70927       25.88169    
   1670.000      -13.64672       25.77488    
   1675.000      -13.59003       25.66951    
   1680.000      -13.53982       25.56555    
   1685.000      -13.49699       25.46299    
   1690.000      -13.46289       25.36181    
   1695.000      -13.43960       25.26199    
   1700.000      -13.43051       25.16353    
   1705.000      -13.44165       25.06639    
   1710.000      -13.48522       24.97057    
   1715.000      -13.59230       24.87606    
   1720.000      -13.89886       24.78283    
   1725.000      -13.91309       25.86988    
   1730.000      -13.39321       25.77633    
   1735.000      -13.12288       25.68407    
   1740.000      -12.92350       25.59309    
   1745.000      -12.75899       25.50337    
   1750.000      -12.61561       25.41491    
   1755.000      -12.48662       25.32770    
   1760.000      -12.36820       25.24171    
   1765.000      -12.25797       25.15694    
   1770.000      -12.15433       25.07338    
   1775.000      -12.05614       24.99101    
   1780.000      -11.96259       24.90984    
   1785.000      -11.87304       24.82983    
   1790.000      -11.78700       24.75099    
   1795.000      -11.70407       24.67331    
   1800.000      -11.62395       24.59678    
   1805.000      -11.54636       24.52138    
   1810.000      -11.47107       24.44711    
   1815.000      -11.39790       24.37396    
   1820.000      -11.32669       24.30192    
   1900.000      -9.756663       23.11602    
   2000.000      -8.754862       21.78297    
   2100.000      -7.578724       20.49522    
   2200.000      -6.703575       19.32001    
   2300.000      -5.975915       18.19463    
   2400.000      -5.517998       17.15481    
   2500.000      -5.277109       16.20587    
   2600.000      -4.982756       15.33453    
   2700.000      -4.749552       14.53083    
   2800.000      -4.567328       13.78781    
   2900.000      -4.447063       13.10154    
   3000.000      -4.349853       12.46611    
